business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.8369017, 'lng': 67.05018249999999}, 'viewport': {'northeast': {'lat': 24.8382938802915, 'lng': 67.0515340802915}, 'southwest': {'lat': 24.8355959197085, 'lng': 67.04883611970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafeteria Public,{'open_now': True},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117864400116136077071"">Raja Safeer</a>'], 'photo_reference': 'AUGGfZnGOdnR8vrqZsYOTEUZo--ZYb3j8Z1QNwEW5eOxt3Q5klAAJSUUowZuHsJjGV4HwCljwLA0ZtpWyYkicKXQ89n3GuSyuhPTzN9xcgFcEGD1YFs53uhiguZKJn4U0C9qN_pEi3Qi0nakG6DgBo1it7-_qDbIXcdND08lo_YkQ1LZw4Gt', 'width': 4000}]",ChIJAQAAkDM8sz4R_N0VIhaRvqM,4.3,ChIJAQAAkDM8sz4R_N0VIhaRvqM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,"R3P2+Q37, PNS Shifa Hospital, Lily Bridge Rd, Karachi Cantonment, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8412147, 'lng': 67.0503439}, 'viewport': {'northeast': {'lat': 24.8425708802915, 'lng': 67.0516791802915}, 'southwest': {'lat': 24.8398729197085, 'lng': 67.04898121970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,samosa chaat۔ سموسہ چاٹ,,,ChIJFeW08ug9sz4RNBLBdtA7U2g,4.7,ChIJFeW08ug9sz4RNBLBdtA7U2g,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"R3R2+F4Q, opposite m e s complain office, pns shifa Karachi Cantonment, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8388232, 'lng': 67.0569403}, 'viewport': {'northeast': {'lat': 24.84019458029151, 'lng': 67.0583153802915}, 'southwest': {'lat': 24.8374966197085, 'lng': 67.05561741970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,CPSP Dining building,,,ChIJqwmCKEc9sz4R4XWVy0lehnE,,ChIJqwmCKEc9sz4R4XWVy0lehnE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"R3Q4+GQG, 7th Central Street, D.H.A. Phase 2 Phase 2 Defence Housing Authority, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8364782, 'lng': 67.04821609999999}, 'viewport': {'northeast': {'lat': 24.8378367802915, 'lng': 67.0494466802915}, 'southwest': {'lat': 24.8351388197085, 'lng': 67.04674871970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dr Cafe,{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112929660697458528397"">Farooq Rathore</a>'], 'photo_reference': 'AUGGfZk_qEDdHg7G58OgFoF5EPS6lO27dqzgVMUnH3Gwry_l9sEuJhjPN_BJy6rGznCYP7sPuzPA5Wjc0rd79sk9jgvc0z-n6itCNrwOeKcK0gEBMzxC01U4MSSpLBos4x3s3GvjGxObOQHL88nX7owSKN9QPplX8_8Me8cdGbL5SJUWbsKh', 'width': 2048}]",ChIJl_6CQjM8sz4RlZQzUf4uXZM,4.4,ChIJl_6CQjM8sz4RlZQzUf4uXZM,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",25.0,"R2PX+H7W, Karachi Cantonment, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8368289, 'lng': 67.04783789999999}, 'viewport': {'northeast': {'lat': 24.8381747802915, 'lng': 67.0492663302915}, 'southwest': {'lat': 24.8354768197085, 'lng': 67.04656836970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shifa Cafe - Cafeteria PNS Shifa,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103986666610771505073"">Basit AwaN</a>'], 'photo_reference': 'AUGGfZlMi0K2qc6rqJhtZS0B2Y__j89Wtfpl93R1ej3mw-yzeXPir93znSBgKiqGgpcMrOygEnZtEI1gIc2yEZ9XweKnST3DuuKvUdhqxwTQD-upajV-u_EmXzx2Q6PFMAwUTrCHSRq62r_WbUfvJiUwcpW176wX53SJVDVlKT_mKwXhuY-o', 'width': 4608}]",ChIJFf6ngGU9sz4R6PDc2IV-97Q,4.4,ChIJFf6ngGU9sz4R6PDc2IV-97Q,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",5.0,"Cardiac Block, PNS Shifa Hospital،, Karachi Cantonment, Karachi","{'compound_code': 'R2PX+P4 Karachi Cantonment, Karachi, Pakistan', 'global_code': '7JP9R2PX+P4'}",,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8424972, 'lng': 67.0494741}, 'viewport': {'northeast': {'lat': 24.84384848029151, 'lng': 67.0508277302915}, 'southwest': {'lat': 24.8411505197085, 'lng': 67.0481297697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shobi chai wala,,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100798472256031298824"">kashif saleem</a>'], 'photo_reference': 'AUGGfZkP5ZucEGkgg879s-OpsQNCLCgBEXQA8DCKOX9ExcJShhtFKqe7CLhFMZK1U2-Xt3LLr1KrmuLf_mI1bGT1gtFL82rtipYzpWBqfUwLJSYNE7qqFBaTnyc615AQhMvN9BrDpkFdVX7SCclIz0DxZ2LWzqinU5zb05ArmlLz8nUCw2xH', 'width': 2084}]",ChIJ-crlTw89sz4RVFXx-GnNMG8,4.5,ChIJ-crlTw89sz4RVFXx-GnNMG8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"R2RX+XQX, Jamhoria Colony Street, Karachi Cantonment, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8436446, 'lng': 67.0550918}, 'viewport': {'northeast': {'lat': 24.8449671802915, 'lng': 67.0564640802915}, 'southwest': {'lat': 24.8422692197085, 'lng': 67.05376611970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Jaanu Chaiwala۔ جانو چائے والا,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113375429742738310287"">Jaanu Chaiwala۔ جانو چائے والا</a>'], 'photo_reference': 'AUGGfZlVTLlTxRBU_hGVVVvsfwnHGh-RxBk14yVNUnz1wUps3CFWPL2GS5SCVZkEbrQWOuCdakP2sWHOEYhaz9YE01zRJqTWMXuaTaPFO902yGEVVgoYw7O6K-8h6lqqm3zd5xKy3rTG4Ncb29O_9MeeyWbC1UNyjXWkXU8Fl5zBhFNIZ1Eg', 'width': 1080}]",ChIJ20Gzkt49sz4R4IqG7PoFSEE,4.0,ChIJ20Gzkt49sz4R4IqG7PoFSEE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",165.0,"130-D, Commercial Area, Phase I Sector B Defence Housing Authority, Karachi","{'compound_code': 'R3V4+F2 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9R3V4+F2'}",,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8437696, 'lng': 67.0547704}, 'viewport': {'northeast': {'lat': 24.8451350802915, 'lng': 67.0561354302915}, 'southwest': {'lat': 24.8424371197085, 'lng': 67.0534374697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sattar Cafe sindh,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102845531362813984091"">primitive Village</a>'], 'photo_reference': 'AUGGfZm10IRYBp1yphQxOP0e2LnvaO03JebBD55hxCdZ-I9tOhKJrMZ4AEhE9KFJT8CjW2U4c-509H3kt5RS_v1KUkWFfm237IOdpsJlYnj5Nx2uHayJnxkNppeNcB2qXYMAiKIywiUWwwJL4B911Exqg5TiPHIrfH3gU8auf6ja_Lj35Tjc', 'width': 1080}]",ChIJ3VqnNy48sz4R86U4KHwkv5s,3.8,ChIJ3VqnNy48sz4R86U4KHwkv5s,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"R3V3+GW2, Commercial Area B, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8438165, 'lng': 67.0546856}, 'viewport': {'northeast': {'lat': 24.8451868802915, 'lng': 67.0560707802915}, 'southwest': {'lat': 24.84248891970849, 'lng': 67.0533728197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Rehman Pakwaan,{'open_now': False},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104312750965279857853"">Najam Ul Saqib</a>'], 'photo_reference': 'AUGGfZnaMRHxHhz1gO-Nmv-npk7CjSei8SFQUUw_XxPt7sJsgHr6fNu4kJLnnswYpBz9mN5KSFDClh2RWrPSiaViHA5f1f6IMvU5CrEwKPMj_dhH-OWN0miWrbEiQDdgkCM6HMmLNrY9g5NK0DNwguoGw4Zg041aq0dw50DA0FdZQjSb2_5t', 'width': 1536}]",ChIJUX2ONy48sz4R2gFe8W8GTpw,3.3,ChIJUX2ONy48sz4R2gFe8W8GTpw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"Old Main Korangi Road, Commercial Area B, Karachi","{'compound_code': 'R3V3+GV Commercial Area B Karachi, Pakistan', 'global_code': '7JP9R3V3+GV'}",,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8437255, 'lng': 67.05504739999999}, 'viewport': {'northeast': {'lat': 24.8450895802915, 'lng': 67.0564171302915}, 'southwest': {'lat': 24.8423916197085, 'lng': 67.0537191697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Kodu chai wala,,,ChIJAcMZxXM9sz4Re856IJggvKA,5.0,ChIJAcMZxXM9sz4Re856IJggvKA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.0,"Plot 130 D, Commercial Area B Defence Housing Authority, Karachi","{'compound_code': 'R3V4+F2 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9R3V4+F2'}",,8642e4417ffffff
