business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,permanently_closed,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.8528413, 'lng': 67.11708229999999}, 'viewport': {'northeast': {'lat': 24.85424113029151, 'lng': 67.11842013029151}, 'southwest': {'lat': 24.8515431697085, 'lng': 67.1157221697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New quetta special hotel,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106382842981334337868"">Noman Hasan</a>'], 'photo_reference': 'AUGGfZlyEVLDCnfMwdqVYfEXxQqxVVpOv4RdSG7-ioNBdYdE3sgMrIFThs__r5kvhXxreYWRJdIt7TccvCZpC5gOklszJ_psx_CkCRn_QJ3rGruhJCbXvZd9cmM2JiAaOAPeRenOQYeogVy-jD1pEWbCXqffvhh82v16J5Xx-feMg1I9_XWq', 'width': 4080}]",ChIJ11NDalw7sz4Rf8UYs7OcyLQ,"{'compound_code': 'V438+4R Korangi, Karachi, Pakistan', 'global_code': '7JP9V438+4R'}",4.0,ChIJ11NDalw7sz4Rf8UYs7OcyLQ,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"ST 35, Mehran Town Korangi, Karachi",,,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8481742, 'lng': 67.1081853}, 'viewport': {'northeast': {'lat': 24.8495053302915, 'lng': 67.1094647802915}, 'southwest': {'lat': 24.8468073697085, 'lng': 67.1067668197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Malik Agha Hotel,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106880112358194010796"">Nisar Agha</a>'], 'photo_reference': 'AUGGfZkScEPfYUr-NglyO9KOz3PdDKXRKEm9kIDWCNmzkYkfhDfQ1vPS4bk1B4FEPLtmsLLFYFlqR4FmSrA4MV45T0prk_eEZvgIMfxZG1Euwz7hlHKFYtZttLJuOAf-CugFXQ0MtxK5YLEiXNJLf_DydxQHDKaFBDy946I3vqfRRBjUT5Kh', 'width': 1080}]",ChIJ9_QwEoY7sz4RkXfF6h51g7w,,4.3,ChIJ9_QwEoY7sz4RkXfF6h51g7w,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",20.0,"R4X5+777, Mehran Town Korangi Industrial Area, Karachi",{'open_now': True},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8363056, 'lng': 67.1111679}, 'viewport': {'northeast': {'lat': 24.8378136302915, 'lng': 67.11248003029151}, 'southwest': {'lat': 24.8351156697085, 'lng': 67.1097820697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ALPHA TEA,,ChIJTXy6v5M7sz4R_iUZKHXv1hg,"{'compound_code': 'R4P6+GF Korangi Industrial Area, Karachi, Pakistan', 'global_code': '7JP9R4P6+GF'}",4.8,ChIJTXy6v5M7sz4R_iUZKHXv1hg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",13.0,"Plot No, 17 Road, Main Sector 23 Korangi Industrial Area, Karachi",{'open_now': False},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8358581, 'lng': 67.1092724}, 'viewport': {'northeast': {'lat': 24.8373961302915, 'lng': 67.1105997302915}, 'southwest': {'lat': 24.8346981697085, 'lng': 67.10790176970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Korangi industrial area,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115558907089859997219"">Waris Ali</a>'], 'photo_reference': 'AUGGfZlYKTIa9FEAsv30bU8suTFJsy8_JuQe66uKK4IY6nmOmyzz8I9nfWa4_xOB3q6CKQUmzZladc0LZEqbkqwX23yKAKACDlKhKSS_HSu7vaz2QG0P24bHDJSBwTol0EDSEKzGdrUNpK2cVvFWq_6iWZgEePK1O2fTNN5Y-xkasPCbB0sd', 'width': 4160}]",ChIJr68lltA7sz4RBMqhNPHIEfI,,4.0,ChIJr68lltA7sz4RBMqhNPHIEfI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"JBS LOUNGE, main gate, Korangi Industrial Area, Karachi",{'open_now': True},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8346207, 'lng': 67.12135870000002}, 'viewport': {'northeast': {'lat': 24.83596033029151, 'lng': 67.12270958029151}, 'southwest': {'lat': 24.8332623697085, 'lng': 67.1200116197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Darvesh Payala Hotel,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107619364459816799075"">Sheraz Khan</a>'], 'photo_reference': 'AUGGfZk13PSfASIXl02ArwGW4KoLdxZhs20xiG9hM6bGmQoiYAu1W6E0JaXWd6aJufX7rUuUd__iX7WjQZfOue_qHJrnmzYK2R_jcALwBkZzxuNVcHFKBW4g8oafOkyFPp7MZpTj8jEU20G6fFyr3pwbTahTlZB_vh8w2QN-kBEC1HqaQMns', 'width': 4096}]",ChIJ0Q3TUbw7sz4R5fCJoHiAgso,"{'compound_code': 'R4MC+RG Korangi, Karachi, Pakistan', 'global_code': '7JP9R4MC+RG'}",3.8,ChIJ0Q3TUbw7sz4R5fCJoHiAgso,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,"Main Korangi Rd, Sector 31-D, Korangi 1, Karachi, Sindh",{'open_now': True},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8464478, 'lng': 67.1006249}, 'viewport': {'northeast': {'lat': 24.8477711802915, 'lng': 67.10199343029151}, 'southwest': {'lat': 24.8450732197085, 'lng': 67.0992954697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Al-Emiraat Hotel,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114919578576120156049"">Badar Siddiqi</a>'], 'photo_reference': 'AUGGfZkeuBZMkPuOlx1sg_CA44L3iERJvr3HbEQYutzWiDjScmfvGrlXKL3yInk-SL_HjpiOSOC3bvSXl8aKhXykdGziQqn5tx5VVwTwyIX4nhAFua7zJtDj5gOCO-D0Ftji6cJuS5KXhBMdVpY0iyQDaOaOmygBtXISarUkaG8Qfb0G_OL2', 'width': 4160}]",ChIJrwlHOZg7sz4R39lL2bTtHWo,"{'compound_code': 'R4W2+H6 Korangi, Karachi, Pakistan', 'global_code': '7JP9R4W2+H6'}",3.0,ChIJrwlHOZg7sz4R39lL2bTtHWo,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"243-B Anwarul Uloom Road, Mehran Town Sector 6 F Korangi, Karachi",{'open_now': True},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.851166, 'lng': 67.1323488}, 'viewport': {'northeast': {'lat': 24.8524686302915, 'lng': 67.13370998029151}, 'southwest': {'lat': 24.8497706697085, 'lng': 67.1310120197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کویٹہ چراغ ہوٹل,,ChIJJ_wpSgA7sz4REVh3lSWRsAU,"{'compound_code': 'V42J+FW Korangi Industrial Area, Karachi, Pakistan', 'global_code': '7JP9V42J+FW'}",,ChIJJ_wpSgA7sz4REVh3lSWRsAU,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Plot L, 1, Sector 8 D Korangi Industrial Area, Karachi",,,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.85306619999999, 'lng': 67.1317102}, 'viewport': {'northeast': {'lat': 24.8544200802915, 'lng': 67.1330835802915}, 'southwest': {'lat': 24.8517221197085, 'lng': 67.13038561970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Salman Net Cafe,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116040742569585647907"">Salman Net Cafe</a>'], 'photo_reference': 'AUGGfZnQha90ENCAZdpFc6yBb3pO4CE9TuGYo4nxnn1wRMVIcX2w0e3qnqi-r1bYWeerBPe9PWFyYnVIV5qgbTnr1xvL9dtLATGTFpSdWkgnluaky_qX-sVmCKium9zEBQU1ztgp8exx5okNYqwhXUylkan9iSWfhK79xkERxGkWPiKs5csv', 'width': 640}]",ChIJzYIYDT87sz4RbYZ0kJ1QmPk,"{'compound_code': 'V43J+6M Korangi, Karachi, Pakistan', 'global_code': '7JP9V43J+6M'}",2.3,ChIJzYIYDT87sz4RbYZ0kJ1QmPk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"Gulzar Colony Sector 8 D Korangi, Karachi",{'open_now': True},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8447256, 'lng': 67.1004732}, 'viewport': {'northeast': {'lat': 24.8460336802915, 'lng': 67.10183353029151}, 'southwest': {'lat': 24.8433357197085, 'lng': 67.0991355697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Masha Allah Hotel,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115895402617680585247"">NabeelShan786</a>'], 'photo_reference': 'AUGGfZnyMG9NdL70jS46f9LwMIJMlasc7tArok4_VII-J61EGiio5c8gdHYrgNAsh6ypQkDWBQaun0OGc0Z-0kyXRrCTUR8TyJPB5eqna6-Iw2bfQcKx27nz10VcPJse8C5FRj5JVrZ9F2zztcA1L3Aa8FKl2_Ps33zuG-OEGSbtFeqsCBB6', 'width': 540}]",ChIJS1J1aos7sz4R_TKie1ROysY,,3.8,ChIJS1J1aos7sz4R_TKie1ROysY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"R4V2+V5X, Mehran Town Sector 6 F Korangi, Karachi",{'open_now': True},,,8642e441fffffff
OPERATIONAL,"{'location': {'lat': 24.8337117, 'lng': 67.12334539999999}, 'viewport': {'northeast': {'lat': 24.8350820802915, 'lng': 67.12468943029151}, 'southwest': {'lat': 24.8323841197085, 'lng': 67.12199146970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Paras Communication,"[{'height': 1272, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116115336822852321541"">Sabzali1901 gfy</a>'], 'photo_reference': 'AUGGfZl0FcKnBqZ_PsVLXTg75CWjwD0bti_0vaDvZbnFqctkS9Mlhu10DtfxEVU68nRqt1crBQgA02ggMXj4cE9Tu8UX7wWEbbJ7PsoD6gOwSND9htHOhYYmc2Pk4wR1DWJBEI9Sl44vvgkg1Gdsa82atvZsRJ5LeJjLWX6z6VCpskWZmy3o', 'width': 640}]",ChIJ1dWiyFY7sz4RCG9fLJLojUk,,5.0,ChIJ1dWiyFY7sz4RCG9fLJLojUk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"R4MF+F8Q, Zia Colony Korangi Sector 32 A Korangi, Karachi",,,,8642e441fffffff
