business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9269518, 'lng': 67.03288959999999}, 'viewport': {'northeast': {'lat': 24.9283223802915, 'lng': 67.0342589802915}, 'southwest': {'lat': 24.9256244197085, 'lng': 67.03156101970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dunkin' Donuts,{'open_now': True},"[{'height': 1108, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117125274692586226985"">Zulfiqar Ali</a>'], 'photo_reference': 'AUGGfZl8Ye76wjWbZuph4MvHkqk_TmsPIDWEPvmWBMRg2asBrnSX3USdqvg9LeNejrxpbYwDbe0dlsPlJMhpTksabyBAmLQ78L8C2pf2laVcs8eFv-sGC9meWc0zkGHhoK9RjwfW_Vt3zQ8ahJXxjMhtPt8_00S5_Rz3fAPfJFeMDm8WEtYg', 'width': 1478}]",ChIJDcakQZA_sz4R7tfw-szxVNM,2.0,4.1,ChIJDcakQZA_sz4R7tfw-szxVNM,GOOGLE,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",1654.0,"W2GM+Q5J, Sharah-e-Sher Shah Suri, Block A North Nazimabad Town, Karachi",,,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9344576, 'lng': 67.0450262}, 'viewport': {'northeast': {'lat': 24.9358519802915, 'lng': 67.0463129302915}, 'southwest': {'lat': 24.9331540197085, 'lng': 67.0436149697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chaibaaz-Tea Cafe,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112716062028301993192"">Faz Ansari</a>'], 'photo_reference': 'AUGGfZmCTK6E8Nx8919vpTMIWIfWvokAp3jxdWieRs0ckcIe1FnsVVq4Tn055fsODwLHvQ6NOZciELvDSpKXwDVhCqr05_aGL2dcMevyynmQMf6-Vku99rUvrWIp0t2pRmxKvr2V7aSYVj6xf2AEiC_Xw3n8qx4gBnF6_RANs8PLecz5kOUe', 'width': 3264}]",ChIJ5VMQaoI_sz4R1G2OEWmKKUA,,3.4,ChIJ5VMQaoI_sz4R1G2OEWmKKUA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",33.0,"Qari Zahir, Qasmi Road, Block G Block G North Nazimabad Town, Karachi",,,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9335181, 'lng': 67.0311703}, 'viewport': {'northeast': {'lat': 24.9348590802915, 'lng': 67.03246688029151}, 'southwest': {'lat': 24.9321611197085, 'lng': 67.02976891970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Karachi Shandar Hotel,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114509390051928124492"">Abbas Ali</a>'], 'photo_reference': 'AUGGfZkZRBoiD4IN-vJ1LRvkjqTOT6rZ1c4Wjx1rur4jr5EkdOceQjpo9M2T0I8CjRsxxb2wWWQDd9xp0vfHJv4Erkk21Oc--cWQdILfRK5YGfsnbvAztr-vqRD0IjuYlZMBlCKoSO3vBmfSFyqko1-EOzNrA1RJAlTgysUQjan0t8PbeEis', 'width': 2268}]",ChIJlwJS0Y4_sz4RhoduB04ZAx0,,4.3,ChIJlwJS0Y4_sz4RhoduB04ZAx0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"W2MJ+CF3, Block A North Nazimabad Town, Karachi",,,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9340912, 'lng': 67.0283962}, 'viewport': {'northeast': {'lat': 24.9354647302915, 'lng': 67.0296919302915}, 'southwest': {'lat': 24.9327667697085, 'lng': 67.0269939697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Fazal (Habib) cafe,{'open_now': True},,ChIJ2-DVVLg_sz4R7TqKVmNGdR0,,5.0,ChIJ2-DVVLg_sz4R7TqKVmNGdR0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"161, Block A North Nazimabad Town, Karachi","{'compound_code': 'W2MH+J9 North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2MH+J9'}",,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9301392, 'lng': 67.03561909999999}, 'viewport': {'northeast': {'lat': 24.9314226302915, 'lng': 67.03706013029151}, 'southwest': {'lat': 24.9287246697085, 'lng': 67.0343621697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,N Ali's Cafe,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108763578370439285646"">imzeeshankhan</a>'], 'photo_reference': 'AUGGfZm4YX89XrMT3sQjoDGem2kVjaajZNFJDeGPQbLRTFuWNTeDcCdEMIPDYahSScQSH5qGDRAmFXgTXbB0V8sSYUusn63OjB53vTP-J3Mm4z540kUYFX5c5xtUiaJumr5az68YnYev6udFTAo6zQfsbCBKVb9WKrlALDmNa4D9NCxxzzLP', 'width': 3264}]",ChIJLxCyVMQ_sz4RUZjBNwa4fNY,,4.5,ChIJLxCyVMQ_sz4RUZjBNwa4fNY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",11.0,"D 13, Block A North Nazimabad Town, Karachi","{'compound_code': 'W2JP+36 North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2JP+36'}",,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9271406, 'lng': 67.0295924}, 'viewport': {'northeast': {'lat': 24.9284584302915, 'lng': 67.03090983029149}, 'southwest': {'lat': 24.9257604697085, 'lng': 67.02821186970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,25 Ghantay Hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108382379655270909411"">Nawal Ali</a>'], 'photo_reference': 'AUGGfZlwwtHlyVhU20hAXUb69cmF9IUEpBqu580dB16jebOW3usldehvkwitbltIyKddPOUPGhVkvoEulCQyesVeBHiLAYL0LjMBUKZjLTPS5nbodXbVR5h3ki7wa7GUvxWmzKQGwBMzUNLKcQJiyUFm4GNcG9pDfJaQzdz82mGstZ8SMcmS', 'width': 1080}]",ChIJQaXOEpE_sz4RyLdEmq2XqFw,,4.1,ChIJQaXOEpE_sz4RyLdEmq2XqFw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",8.0,"SD 17/1, Block A North Nazimabad Town, Karachi","{'compound_code': 'W2GH+VR North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2GH+VR'}",,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.927016, 'lng': 67.0297652}, 'viewport': {'northeast': {'lat': 24.92832898029151, 'lng': 67.0310793802915}, 'southwest': {'lat': 24.9256310197085, 'lng': 67.0283814197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta star hotel,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101842791315798027325"">Zakir Khan</a>'], 'photo_reference': 'AUGGfZn0a4d8aoQv1aKQR7ShsGTHAUGflwdX-n8nipmvnZYsDwkKTYRtO8uENsnIik4PXtSkGhPbt99vt5IgszmSzwrgcdXyT-f9lCw5u_-RZL4q6Yk0PJmvLhGpVBguw0o9jDXOLglkxLWoqsn3em3ql1PGsjKyeVJRwyMqHKVbWGg_dkNM', 'width': 1080}]",ChIJ-SHIXoo_sz4R9bLmUOMT3Cc,,5.0,ChIJ-SHIXoo_sz4R9bLmUOMT3Cc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"SD 15, Block A North Nazimabad Town, Karachi","{'compound_code': 'W2GH+RW North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2GH+RW'}",,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9370177, 'lng': 67.03323189999999}, 'viewport': {'northeast': {'lat': 24.93839708029151, 'lng': 67.0345818802915}, 'southwest': {'lat': 24.9356991197085, 'lng': 67.03188391970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Kakar Hotel,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117410671973590362529"">mubashir jamal</a>'], 'photo_reference': 'AUGGfZlNtQ40WZlm3I_gMvUWKRG-Y-IQ8N0K6qlxSyHt81MUmGZEUK-vNuVysRUsq8IAzTYet0a0INNcd1IkaQbpA13jQHQO-1jNRy4Jpq7NIYAW9xKwuc3z-nwLINykCnVo1tVOrgW51oYLOyFQgFMoAS61w7icxGSgxcyQk3iqiUU-xqdy', 'width': 4160}]",ChIJM9YB2Sc_sz4RcW8j6XO1STs,,5.0,ChIJM9YB2Sc_sz4RcW8j6XO1STs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"SC, 4, Block C North Nazimabad Town, Karachi","{'compound_code': 'W2PM+R7 North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2PM+R7'}",,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9267553, 'lng': 67.0303243}, 'viewport': {'northeast': {'lat': 24.9281866802915, 'lng': 67.0317512302915}, 'southwest': {'lat': 24.9254887197085, 'lng': 67.0290532697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Cafe Al-Mehran,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101948094132737838895"">Aurangzeb Afridi</a>'], 'photo_reference': 'AUGGfZli4ROUng50ExbgfFYGAKn1jTXHVv37K287Xs224ekA5VbYzyxjV8G-xqr85scYaSg-PqcIh_3M_znNd7wX-zAtH8IKs23sO_KFqaPotBlqs2_Y2WxM86kqCI2277-1wc6QGdrQCK6neQvSfTHUf58rEH3XaFP-3037XMj9RJofWir7', 'width': 1920}]",ChIJ3dl-wJE_sz4Rq4tKlKXBZIs,,4.1,ChIJ3dl-wJE_sz4Rq4tKlKXBZIs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",50.0,"SD 14, Block A North Nazimabad Town, Karachi","{'compound_code': 'W2GJ+P4 North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2GJ+P4'}",,8642e4427ffffff
OPERATIONAL,"{'location': {'lat': 24.9273929, 'lng': 67.033447}, 'viewport': {'northeast': {'lat': 24.9287418802915, 'lng': 67.0347959802915}, 'southwest': {'lat': 24.9260439197085, 'lng': 67.03209801970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ کیفے اباسین,{'open_now': True},,ChIJRS4jI2I_sz4RFOGAfKQKtSE,,,ChIJRS4jI2I_sz4RFOGAfKQKtSE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"North Service Road, Block A North Nazimabad Town, Karachi","{'compound_code': 'W2GM+X9 North Nazimabad Town, Karachi, Pakistan', 'global_code': '7JP9W2GM+X9'}",,8642e4427ffffff
