business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.8670826, 'lng': 67.025592}, 'viewport': {'northeast': {'lat': 24.8685037302915, 'lng': 67.0270919802915}, 'southwest': {'lat': 24.8658057697085, 'lng': 67.0243940197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,IBA Aman Tower Cafe,{'open_now': False},"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112779419383702828971"">Masood Zalmay</a>'], 'photo_reference': 'AUGGfZkL-jx34DsbMP8gz-bnqr1yib1KmtSV-At_emYwv6-zxLn9yH7unjOFLOp2qd9HX9dKZruAELWR_vE_oGm1w28Z1Gu14B95XwFycy0tLnXC4ckQdmUW_gNvvhuajkBFtknhuYINPfwuwrDbmYDWvMHgWJbJ9fl24JhLwO5PF_XMh3Dm', 'width': 2232}]",ChIJk_V8dWs-sz4RPKH_ul7Nbew,"{'compound_code': 'V28G+R6 Saddar Karachi, Pakistan', 'global_code': '7JP9V28G+R6'}",2.0,4.3,ChIJk_V8dWs-sz4RPKH_ul7Nbew,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",90.0,"IBA Aman Tower, 5th floor, saddar, Saddar, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8754505, 'lng': 67.0142353}, 'viewport': {'northeast': {'lat': 24.8768186802915, 'lng': 67.0156078302915}, 'southwest': {'lat': 24.87412071970849, 'lng': 67.01290986970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,BISMILLAH milk shop and dairy,{'open_now': True},,ChIJq06Chjs-sz4Rz1wI0dsDK6k,"{'compound_code': 'V2G7+5M Usmanabad, Karachi, Pakistan', 'global_code': '7JP9V2G7+5M'}",,4.5,ChIJq06Chjs-sz4Rz1wI0dsDK6k,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",17.0,"Badshahi Road, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8765161, 'lng': 67.002946}, 'viewport': {'northeast': {'lat': 24.8778581302915, 'lng': 67.0043466802915}, 'southwest': {'lat': 24.8751601697085, 'lng': 67.00164871970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Gafoor hotel,,,ChIJdXj2BwM_sz4Rbj8n0TqwLDU,,,3.5,ChIJdXj2BwM_sz4Rbj8n0TqwLDU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.0,"V2G3+H74, New Kumbhar Wara Road, Kumhar Wara Singo Lane, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.87304869999999, 'lng': 67.009068}, 'viewport': {'northeast': {'lat': 24.8744064802915, 'lng': 67.01044578029152}, 'southwest': {'lat': 24.87170851970849, 'lng': 67.00774781970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ بلوچستان ہوٹل,{'open_now': True},,ChIJkRqzs9w_sz4Ry--XtjFLSSE,"{'compound_code': 'V2F5+6J Nawa Lane, Karachi, Pakistan', 'global_code': '7JP9V2F5+6J'}",,,ChIJkRqzs9w_sz4Ry--XtjFLSSE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Jagdal Street, Nawa Lane, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8744438, 'lng': 67.0151803}, 'viewport': {'northeast': {'lat': 24.8758053802915, 'lng': 67.01654678029149}, 'southwest': {'lat': 24.8731074197085, 'lng': 67.01384881970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ ترین ھوتل,,,ChIJHbxfAQA_sz4RjB5REnGKcVE,,,,ChIJHbxfAQA_sz4RjB5REnGKcVE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"V2F8+Q3F, Badshahi Road, Garden West Azeem Plaza Garden, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8853609, 'lng': 67.0159414}, 'viewport': {'northeast': {'lat': 24.8867189802915, 'lng': 67.01727528029151}, 'southwest': {'lat': 24.8840210197085, 'lng': 67.01457731970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Enayat chai hotel,,,ChIJG2IOf98_sz4REIBOIiKjscg,"{'compound_code': 'V2P8+49 United Colony, Karachi, Pakistan', 'global_code': '7JP9V2P8+49'}",,4.2,ChIJG2IOf98_sz4REIBOIiKjscg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"Golimar United Colony, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8719294, 'lng': 67.0081881}, 'viewport': {'northeast': {'lat': 24.8732579302915, 'lng': 67.00951538029152}, 'southwest': {'lat': 24.8705599697085, 'lng': 67.0068174197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Azam Khan Tea Hotel,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101989172903279982774"">Ameem Hussain</a>'], 'photo_reference': 'AUGGfZmEPmzCKsY78hlcNPz6lCwwDc64G_pfDkuikEiZqk_ySyx873PcgWL09Y5gQVOTPiizUHUVTANl2AMEbVK1S8CXC4YL8KXb8ktbOMB3zyeEnJYIeEfqNoKP6Rw4rBRcWcJIWQivvLGmGE9JM-aYwum5Jr7mbm8Z_gL7mr5lrZu8e2Yb', 'width': 1080}]",ChIJbTbi0lo_sz4RYonL3OAwf6U,,,4.3,ChIJbTbi0lo_sz4RYonL3OAwf6U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",25.0,"V2C5+Q7G, Nawa Lane, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8743559, 'lng': 67.0027731}, 'viewport': {'northeast': {'lat': 24.8757044302915, 'lng': 67.00412563029153}, 'southwest': {'lat': 24.8730064697085, 'lng': 67.0014276697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta all rahman hotal,,,ChIJi5xO7xc_sz4Rt0iyCtEXhaE,,,5.0,ChIJi5xO7xc_sz4Rt0iyCtEXhaE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"V2F3+P4R, New Kumbhar Wara Road, Kumhar Wara Singo Lane, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8717318, 'lng': 67.0086649}, 'viewport': {'northeast': {'lat': 24.8730378302915, 'lng': 67.0099828802915}, 'southwest': {'lat': 24.87033986970849, 'lng': 67.0072849197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,cheel chowk cafe,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107182017303990413595"">Maalik Baloch</a>'], 'photo_reference': 'AUGGfZlc0aZjv1yMcdnhfBhFU6nloctmxuyAF-TYyMWHYviVE-IU0Sg-V83WCzePvZUMg_-Bfp7HEkLuVaA3qQOJcFisZko4yJKwleg9h6GAb2gv5LicbgeMf0c5Rgam-TmYEMSy1OquI10zNieb5_VvBpA2NKAIji3F-Cal8Qd6DNVAf2Ee', 'width': 2296}]",ChIJQ1uq3hg_sz4RPVm9cWtUV7I,,,4.0,ChIJQ1uq3hg_sz4RPVm9cWtUV7I,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"V2C5+MFV, Mehrab Khan Essa Khan Road, Usmanabad Usmanabad, Karachi",,8642e4437ffffff
OPERATIONAL,"{'location': {'lat': 24.8771804, 'lng': 67.01903159999999}, 'viewport': {'northeast': {'lat': 24.8784920802915, 'lng': 67.0203619802915}, 'southwest': {'lat': 24.8757941197085, 'lng': 67.01766401970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Hotel,{'open_now': True},"[{'height': 3780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100640908962680659280"">Muhammad Hammad</a>'], 'photo_reference': 'AUGGfZnvGchRSSU5OCau0wSzMyBTYigxPuSrpxBi1i9JmkNHKxwGfluKKY7DUjTmKazWY_mhBozqf-RLn-XseVDZE4Y_UhYQo6eoud_MAGctsrvDehVOXBF0IT5YZro5aj2y2YTCLxmMLLj75H4ZaSagHfSxOIN_aK00Q4lqtHBB8EV4sKkC', 'width': 3024}]",ChIJIZgdIzk-sz4R9y5ZpeVKPrs,,1.0,4.1,ChIJIZgdIzk-sz4R9y5ZpeVKPrs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",178.0,"V2G9+VJF, Madras Road, Garden West Area, Karachi",,8642e4437ffffff
