business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,reference,scope,types,vicinity,rating,user_ratings_total,price_level,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9125531, 'lng': 67.1982767}, 'viewport': {'northeast': {'lat': 24.9138969802915, 'lng': 67.1996900302915}, 'southwest': {'lat': 24.9111990197085, 'lng': 67.19699206970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Crave corner,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103844669774239793482"">Ali Khan</a>'], 'photo_reference': 'AUGGfZlcPYQVaT4UWPSGJCtMFF7aIe4miOj5vWybIUvf7hX_J61KM5ESqNepqvDYMipO8d6LT69OJxhRlpG56ZYtHli3lgEtezRHMynvIixVfIwDkVJ5yillNibVjwYigMPqSDFjC8OCB_C8WWP7mABDz0GR5GaqkPPUun3tceLSr_01P0G_', 'width': 4032}]",ChIJKWIAXr43sz4RMfSolgQId2E,"{'compound_code': 'W57X+28 Malir Cantonment, Karachi, Pakistan', 'global_code': '7JP9W57X+28'}",ChIJKWIAXr43sz4RMfSolgQId2E,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Malir Cantt Check Post No 2, Malir Cantonment, Karachi",,,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.915401, 'lng': 67.1998062}, 'viewport': {'northeast': {'lat': 24.9166929302915, 'lng': 67.20111283029149}, 'southwest': {'lat': 24.9139949697085, 'lng': 67.19841486970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Library Cafe,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117597084326886317886"">Hassan Asif</a>'], 'photo_reference': 'AUGGfZnyaflBUXStkPYkvZjPe2Ar46_U1HfPhJ1NwuYrE4wdcd2dE7zlupxPMt5eejovS_cyOYTeqbdQ-gpde0HmRFQ4eFlvqqyTEZDMxgJrSL1r-IkrCOUTM9Vn4Ei0tdym6CE-NMaHhmzVNO5MwiWccC2_20NJGNQxZhMb04vwPc4hlZj1', 'width': 1080}]",ChIJI07qyOg3sz4RuIz8hJOd4eY,,ChIJI07qyOg3sz4RuIz8hJOd4eY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W58X+5W7, Jinnah Avenue, Malir Cantonment, Karachi",4.3,18.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.906272, 'lng': 67.21001509999999}, 'viewport': {'northeast': {'lat': 24.9075654802915, 'lng': 67.2114063302915}, 'southwest': {'lat': 24.9048675197085, 'lng': 67.20870836970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Cafe Ajwa,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109558298803360104616"">Sohail Siddiqi</a>'], 'photo_reference': 'AUGGfZnjCt5ltuhSj0jedVqwaHczJD7ZWqBsX3E2LCOGD-zxCJu5a_eC91oM5ZvNaTtpN5UEUG5dkB0EIKqSPBKJRJqH94z0MPtB3vK8-Wu-WJt6yIOn6dUvMuAC6ikc9U6-Hzkp1R5mZLYC9EIflbLmyBBD8h7PNxDnXOPtPzyfwQ56Dy7k', 'width': 720}]",ChIJK4-bBZQ3sz4RTIdd3tIkjOE,,ChIJK4-bBZQ3sz4RTIdd3tIkjOE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W646+G22, Muzaffarabad Colony, Karachi",4.1,23.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9106136, 'lng': 67.1932647}, 'viewport': {'northeast': {'lat': 24.9119215802915, 'lng': 67.1946079302915}, 'southwest': {'lat': 24.9092236197085, 'lng': 67.19190996970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Hotel,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110969824698177833547"">Abdullah Malik</a>'], 'photo_reference': 'AUGGfZlDFQO8pZkHp6qqlOApe6rU5ST5gdzgN00Sd8MZCyXyBlKDkX-NX9h4juzAHbdX7ZwlD94qF6kYiufL3FW1XUnucFk4zcCi9XaQg8lZklVYY_hzYG1dqPXsqcHyJKifFA9X_wX19S3JrLQYtUbkodnLq3NzMzqj__pIhlt4YF5wjwzX', 'width': 1908}]",ChIJJVvRI2g3sz4RZIcCHI0kQhw,,ChIJJVvRI2g3sz4RZIcCHI0kQhw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W56V+68R, Unnamed Road, Block 19 Model Colony, Karachi",4.1,80.0,1.0,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9069332, 'lng': 67.2108391}, 'viewport': {'northeast': {'lat': 24.9082701802915, 'lng': 67.2121723302915}, 'southwest': {'lat': 24.9055722197085, 'lng': 67.20947436970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,SUPER ZALZALA CAfe,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113100016254733400950"">Syed Sohaib</a>'], 'photo_reference': 'AUGGfZn76SOI7D8en2CmsyGxh5uQm4hrARw8IEnIESFthNEBTWG5ry3XpgERv_sh-ehbx_oAdVPwjqBuK7BrNzUNPiXf-1CArlGZvZ2ETZ8Wisom9gY9YHVqLfBFJVmiBvvsCT4pra0fmaEGJ7X6Xf2VCT7_mpCT385rRx-klO4lrQ76ueKd', 'width': 4032}]",ChIJE1FAVa83sz4RroPfTybtl44,,ChIJE1FAVa83sz4RroPfTybtl44,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W646+R85, Liaqat Road, Muzaffarabad Colony, Karachi",5.0,3.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9105451, 'lng': 67.1924047}, 'viewport': {'northeast': {'lat': 24.91188788029151, 'lng': 67.1937766802915}, 'southwest': {'lat': 24.9091899197085, 'lng': 67.19107871970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta MashAllah Hotel,,,ChIJr61eWQA3sz4RzLeHzUByUl4,,ChIJr61eWQA3sz4RzLeHzUByUl4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W56R+6XP, Model Colony Block 17 Model Colony, Karachi",,,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9068859, 'lng': 67.1923868}, 'viewport': {'northeast': {'lat': 24.9082397802915, 'lng': 67.19372008029151}, 'southwest': {'lat': 24.9055418197085, 'lng': 67.19102211970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta agha hotel,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109034552059615491206"">Muhammad Ali shah</a>'], 'photo_reference': 'AUGGfZn8Nw0hfjPnh3JvYHZF8uh8JXs-dsiiEHNPnsKcbvmyXzUt1jngL5n_9p5jBLKnIDWMyLqGSU_scmav9cof3iK5NpFkWWnvtvKI_EyXp2ABSsSohq6yegzSrp1FCqqg0ArtDcCNYBHamW5FASJybH2ZDDmCO-j_-iHCWelc5OIrmop9', 'width': 720}]",ChIJj3PCsJ43sz4RsAXv2bGsSWw,,ChIJj3PCsJ43sz4RsAXv2bGsSWw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W54R+QXM, Model Colony Nishterabad, Karachi",5.0,1.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9000152, 'lng': 67.2013127}, 'viewport': {'northeast': {'lat': 24.9013662302915, 'lng': 67.20267273029151}, 'southwest': {'lat': 24.89866826970849, 'lng': 67.1999747697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Green Hotel Angar Agha,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108243684636049719852"">Muhammad Ahsan Nadeem</a>'], 'photo_reference': 'AUGGfZnjdGvMrqYqbXG-_3g-dD8gzJf4KNPfCIiHK5n3qynQDCmvmoF5DkIyWg0HQqduQB-BKMErcVNmQAeFpw0_aHhd3cMOWBsq5rQzWNN4nV8FvCBLReZp5G3eG0PKrmiGC2daTWL_utoZYTSJoWkKTKbS3Qw7T0AERAHoD7Lt690briuf', 'width': 1920}]",ChIJ_1KP9sQ3sz4RmI_A6O1Qd_I,,ChIJ_1KP9sQ3sz4RmI_A6O1Qd_I,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W622+2G4, Jinnah Square Road, Karachi",4.3,9.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.90179449999999, 'lng': 67.1957329}, 'viewport': {'northeast': {'lat': 24.9031223302915, 'lng': 67.1971121302915}, 'southwest': {'lat': 24.90042436970849, 'lng': 67.19441416970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shah G chai hotel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116198412971320474858"">Faraz Shah</a>'], 'photo_reference': 'AUGGfZkJaNSaACz9R1nEJo1030f3nCGftwSKdv0xq0KX9r3-h2b1M-VT0WkHlr3CtxCI9KpGbu_eFUUikDUW1RbBNqRiI90NGQ9KM8TWpbo-mYOZbLwrTYLAdzDWiZwm4AiheBBrOhbSfYaNC9ru1YTDDnCMc0voSMVsRb3XcO1QNVBuOsMX', 'width': 1920}]",ChIJE8QIKog3sz4RFU4AT6hoL9Q,,ChIJE8QIKog3sz4RFU4AT6hoL9Q,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W52W+P79, Karachi",5.0,2.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9016047, 'lng': 67.2080778}, 'viewport': {'northeast': {'lat': 24.9029616802915, 'lng': 67.2094167802915}, 'southwest': {'lat': 24.90026371970849, 'lng': 67.2067188197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Al Makkah Cut Hotel,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102514093370090714500"">Imbesat Xaidi</a>'], 'photo_reference': 'AUGGfZn_ySRh21J2jFjKtMwNjCBhySqqJ0Zx0bzjjv6wCpx5y-WlwlJDQzpS2xVW-7mjEjKrc9s09F4nxfAta7DiDWzqcUdmS8Y0Is2zhnx8BRQMqkMX7Nwazz2PpbJjVgJJZTt0symAJTls0SIu22LEYHoEmRfB35bq7CmGoNaT2GD0IocR', 'width': 1709}]",ChIJYzqBFwA3sz4Ra1h9JLsv-u0,,ChIJYzqBFwA3sz4Ra1h9JLsv-u0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W625+J69, Block FN Khokhrapar, Karachi",,,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9020556, 'lng': 67.2091867}, 'viewport': {'northeast': {'lat': 24.9033869802915, 'lng': 67.21057448029151}, 'southwest': {'lat': 24.9006890197085, 'lng': 67.2078765197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Khadd Bayrozgar Chowk,,,ChIJc6AjBmw3sz4R4_KSao0Sf-E,,ChIJc6AjBmw3sz4R4_KSao0Sf-E,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W625+RMF, Khokhrapar 1 Khokhrapar, Karachi",4.0,1.0,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9016598, 'lng': 67.1939378}, 'viewport': {'northeast': {'lat': 24.9029577302915, 'lng': 67.1952425302915}, 'southwest': {'lat': 24.9002597697085, 'lng': 67.19254456970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Tea Hotel,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103046842268276204999"">Mohammad Umair</a>'], 'photo_reference': 'AUGGfZliF-zHRwDK7qeGPjx-IroyQFGvbc2gC9XreLfSBc_0swgxRd-tIDnjOb9_casHSMx5CVhb6ZlsL-wXZ4yqa2aTVjog4JfKBny00HGkmUXooaxG87IY0fBVLbd1Odhvw7Mc8dg_XaHKSFUpEfoVMfElxHShZM_Zm41NRvY8bXoNp9f4', 'width': 720}]",ChIJBZAepL03sz4R-zTGUEkof5o,,ChIJBZAepL03sz4R-zTGUEkof5o,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W52V+MH8, Nishterabad, Karachi",,,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.8999456, 'lng': 67.1962544}, 'viewport': {'northeast': {'lat': 24.90129458029151, 'lng': 67.19760338029151}, 'southwest': {'lat': 24.8985966197085, 'lng': 67.1949054197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hussain Cafe,{'open_now': False},,ChIJfS0lY0Q3sz4RJ0GQiD15jc0,"{'compound_code': 'V5XW+XG Saudabad, Karachi, Pakistan', 'global_code': '7JP9V5XW+XG'}",ChIJfS0lY0Q3sz4RJ0GQiD15jc0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Model Colony Road, Karachi",,,,,8642e4457ffffff
OPERATIONAL,"{'location': {'lat': 24.9013073, 'lng': 67.19417609999999}, 'viewport': {'northeast': {'lat': 24.9026562802915, 'lng': 67.19552508029149}, 'southwest': {'lat': 24.8999583197085, 'lng': 67.19282711970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,musa shah,,,ChIJXbxWAwA3sz4RFUejr2YClnA,,ChIJXbxWAwA3sz4RFUejr2YClnA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W52V+GMF, Model Colony Road, Model Colony Block 10 Nishterabad, Karachi",,,,,8642e4457ffffff
