business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,price_level,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9477834, 'lng': 67.1588666}, 'viewport': {'northeast': {'lat': 24.94910053029151, 'lng': 67.1602550802915}, 'southwest': {'lat': 24.9464025697085, 'lng': 67.1575571197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Awaami Zamidaar Hotel,{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116832402527110283248"">Tamour Tahir</a>'], 'photo_reference': 'AUGGfZmheejeXza5bc6S-8JwbAUOb_1nMecr8F2XRpn8_KS3di3bdckgvpTbL3GL5FEwvv2D0XmQwrPFSrWX4b4RWFtyYR8Jtj06isDqN4bESOBvqUR5GbsVZo_HPAtCb_NkQeFteW9cU25Du7DEO0THNccHc6tEGT3ce6IjmL6fDSP6ahJK', 'width': 4624}]",ChIJRzWBLf05sz4RnZpzS-cJgJI,4.3,ChIJRzWBLf05sz4RnZpzS-cJgJI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",119.0,"W5X5+4G9, Wasif Road, Sector 35 A Gulzar E Hijri Scheme 33, Karachi",,,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9476737, 'lng': 67.1587747}, 'viewport': {'northeast': {'lat': 24.9489931302915, 'lng': 67.1601608302915}, 'southwest': {'lat': 24.9462951697085, 'lng': 67.1574628697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Ernesto Che Hotel,,,ChIJMS03SQA5sz4RZOjURfAS1Oc,5.0,ChIJMS03SQA5sz4RZOjURfAS1Oc,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"W5X5+3GP, Wasif Road, Sector 35 A Gulzar E Hijri Scheme 33, Karachi",,,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9467392, 'lng': 67.1557298}, 'viewport': {'northeast': {'lat': 24.9480279302915, 'lng': 67.1570880302915}, 'southwest': {'lat': 24.9453299697085, 'lng': 67.1543900697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Koyta Kafe hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106114479567671295146"">hassam ali</a>'], 'photo_reference': 'AUGGfZn3yy3jZnNK7N3FlQXZGM8uzxQZKTnSqmmJG04e-HWGYo_LjIYBtxYINIfQGCtcMuYaqQ9K6zOCpr95d-cF7qtDZ-Xl0O39a0X6RiCO7uPzaCXeWaobiQ4EyU30ScMoit7RXN3DVmRURyYA3UlT90gT3Zbqbcvf1ytH8EpiUkh_aT7b', 'width': 1080}]",ChIJ_4kdPQA5sz4RytTp0E8bbV4,4.5,ChIJ_4kdPQA5sz4RytTp0E8bbV4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"W5W4+M7X, Gulzar-e-Hijri Sector 34 A Gulzar E Hijri Scheme 33, Karachi",,,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9524003, 'lng': 67.1512387}, 'viewport': {'northeast': {'lat': 24.9538128302915, 'lng': 67.1526484802915}, 'southwest': {'lat': 24.95111486970849, 'lng': 67.14995051970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,NEW QUETTA MAKKAH PIYALA HOTEL,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101819971570443439336"">waseem kanjoo</a>'], 'photo_reference': 'AUGGfZmmsyOqx-C9nO_Ws88uvfJsEa6utgQO2jhMImcvinZoUZRTy3z-K0-xw8jBHir-JW4U526ym8fzuoUSHJSvG_4tvctAJ3es-vj8s4Q9raD6kH3qIbXHhMa2re9jKY2At2YpkQkM5FazSuxtu0JZ6ZaOUs897fb8gInmVnLIaX1q0bEJ', 'width': 1080}]",ChIJ4W5e7Go5sz4R07h4w_qAMuI,4.2,ChIJ4W5e7Go5sz4R07h4w_qAMuI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"Plot D 57, Gulzar-e-Hijri New Rizvia Society Sector 34 B Gulzar E Hijri Scheme 33, Karachi","{'compound_code': 'X522+XF Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9X522+XF'}",,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9524065, 'lng': 67.1512363}, 'viewport': {'northeast': {'lat': 24.9538177802915, 'lng': 67.1526448802915}, 'southwest': {'lat': 24.9511198197085, 'lng': 67.14994691970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ مکہ پیالہ ہوٹل,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101819971570443439336"">waseem kanjoo</a>'], 'photo_reference': 'AUGGfZnsrYgelTrFeh_zIEDJFQx5R7GkjvxU-ywmER5RD4PpM7aR3kplql6MIYBhU_rFKNaAfyoyjdnSGu6mZGHYzclQzQ7Y_t7UjvFcCfRrhffnR6HglWaELTIfq9Xi3AKYdz1YjfjNqyCJ3GwF19h0n3P_r4Ewep2tvVawXOKuO60eS8_b', 'width': 1920}]",ChIJ-Ztamug5sz4RGCLDkr3Fuu8,,ChIJ-Ztamug5sz4RGCLDkr3Fuu8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"X522+XF9, Capital Cooperative Housing Society Sector 35 A Gulzar E Hijri Scheme 33, Karachi",,,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9423125, 'lng': 67.1525625}, 'viewport': {'northeast': {'lat': 24.9435772302915, 'lng': 67.1538317302915}, 'southwest': {'lat': 24.9408792697085, 'lng': 67.1511337697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Sharjah Hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103652721376402895665"">Azam Khan</a>'], 'photo_reference': 'AUGGfZmzO0exxljOfoChmRxXTeMix0e6sbtHz2cnM3-PPhvG71LJ6Bq37WwPXoKjW2IWa32uh6zpZy9yOR-8LqwPfLo1DZshIKMDHnlCPEjbvSnKxlyaCYe7a-OYhFWt7ZQCPkI2uED5wTWDP3iyp_GAVyGkkyc-fV21iNpC7qYhpYLC_tKr', 'width': 1080}]",ChIJ9amSB0M5sz4RqmVBGsgLjH0,4.3,ChIJ9amSB0M5sz4RqmVBGsgLjH0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,Karachi,"{'compound_code': 'W5R3+W2 Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9W5R3+W2'}",,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9405617, 'lng': 67.15982629999999}, 'viewport': {'northeast': {'lat': 24.9418475302915, 'lng': 67.16117128029148}, 'southwest': {'lat': 24.9391495697085, 'lng': 67.15847331970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کیفے کوئٹہ ماشاءالله,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108685222104949730993"">Zeeshan Waheed</a>'], 'photo_reference': 'AUGGfZkAF802tEYFuIplyHfSTxPEAfjSH1nSopvMR1koeRWeptRB_BSKRWNA2WTtMyo1Kbpn3WwURzMh58lPnhOozdTr65yMnpQy_4ZKoTTuAfYLAWyexyNumPfNA7vnW-4wk-tNg5i4qRpz4OSZjCDQBoCJWK-mVppJdXJqQZXeEN9_q-Kx', 'width': 3024}]",ChIJtQ7__eM5sz4R7kAFegqM0zs,4.6,ChIJtQ7__eM5sz4R7kAFegqM0zs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"W5R5+6WG, Main University Road, Kesc Society Gulzar E Hijri Scheme 33, Karachi",,,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9594691, 'lng': 67.15067309999999}, 'viewport': {'northeast': {'lat': 24.9608550302915, 'lng': 67.1520577802915}, 'southwest': {'lat': 24.95815706970849, 'lng': 67.1493598197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Hotel,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108438792509427729228"">Dawood Khemtio</a>'], 'photo_reference': 'AUGGfZmmqqjS1-N52FfjGE3aDOAzRODhcFfzVwzlPeFcPL3X8kUR251lJP0YKRpPjhA_AbF0UONDCUsC82dRsg7QK6_0ULyKCSiMlReBS0jdsMcbrldj9hI6Zmdy9Aoluz4sWR_S0ODVWh4SMzErU_uGlWxTzU4264HroziFVryNkDhxnVyv', 'width': 1944}]",ChIJBzoIeIdHsz4RcJEKDEtrCw8,4.1,ChIJBzoIeIdHsz4RcJEKDEtrCw8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",36.0,"X552+Q7M, Doctor Abdus Salam Road, Sector 30 Gulzar E Hijri Scheme 33, Karachi",,,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.9453256, 'lng': 67.1486705}, 'viewport': {'northeast': {'lat': 24.9466059802915, 'lng': 67.1499543802915}, 'southwest': {'lat': 24.9439080197085, 'lng': 67.14725641970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Mama Darbar Hotel,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100435471541689902293"">Muhammad Abid Ali</a>'], 'photo_reference': 'AUGGfZkDc7LiuPzYeThML2NMkzdQ7I-RzCRf5H_ccP1TOryT5TIwlQT0d7Er8V3DbqiQZx_AUbD6FchWX6N1Snm-SKyt-SdDYAaHh6RtVaUoq7oFLpRXmBc5umtTLQWb4hyJqs8nMHqmaDtX_Rrcyh2ZZXbzKcW3B2yRMRPAX19aCWvnU2M9', 'width': 4000}]",ChIJg1FNkGQ4sz4Ro025V4CHb3s,4.1,ChIJg1FNkGQ4sz4Ro025V4CHb3s,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",117.0,"Iqbal Kiran Hospital Road, Al Muslim Society Sector 34 A Gulzar E Hijri Scheme 33, Karachi","{'compound_code': 'W4WX+4F Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9W4WX+4F'}",,,8642e4477ffffff
OPERATIONAL,"{'location': {'lat': 24.94173839999999, 'lng': 67.1528598}, 'viewport': {'northeast': {'lat': 24.9430906302915, 'lng': 67.15421198029149}, 'southwest': {'lat': 24.94039266970849, 'lng': 67.15151401970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,CAFE DARBAR,{'open_now': True},"[{'height': 1236, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105725891645292027936"">Ghazala Shah</a>'], 'photo_reference': 'AUGGfZm2FUbMifHtCueBnitwt5uCe-gtCReYgNhBc2OOGM-gpbNgk_yp1_uyMMaBJEDKNarajaMXrnfqoCNJV9vg3xPlA-OHLdSOpPEiwWxOfLH2Q5KHOnUnF1S5TQoXxhrnNd7T57xxJbBBUUfqcUXVrUZaB0lUj_u1XLsilaS2t9W-a3EX', 'width': 2543}]",ChIJ-_9ybBE5sz4RgtdJcn6XiCs,4.7,ChIJ-_9ybBE5sz4RgtdJcn6XiCs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",15.0,"W5R3+M4X, Kiran Hospital Road, Gulzar-e-Hijri Rizwan Chs Scheme 33, Karachi",,,,8642e4477ffffff
