business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.794566, 'lng': 67.0485315}, 'viewport': {'northeast': {'lat': 24.7959467302915, 'lng': 67.04984188029151}, 'southwest': {'lat': 24.7932487697085, 'lng': 67.04714391970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,MOCCA COFFEE,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107289078020420924749"">Dr Junaid Mahmood Alam</a>'], 'photo_reference': 'AUGGfZmw2jqKOluEdM7uMr2PraEiValf4UMYonaadUrnEcUUXjmeUKh42hKHrchRAzaqxFGiyrUjT7CC-wdqHb6jbJFNYxFkYPs6wUYPz3-LEYUJj2kjT1d9ubtnBHB7ewynxOJOakKt4-2Gu5whhzWdbLK25wy8sd_hK_xdh7YOviRnpUrC', 'width': 4608}]",ChIJt2wE9OI8sz4RtXVbnXWIa-8,"{'compound_code': 'Q2VX+RC Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q2VX+RC'}",3.0,4.2,ChIJt2wE9OI8sz4RtXVbnXWIa-8,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1400.0,"48-C Khayaban-e-Shahbaz, D.H.A Phase 6 Commercial Area Phase 6 Defence Housing Authority, Karachi",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.8023509, 'lng': 67.0288709}, 'viewport': {'northeast': {'lat': 24.8036482802915, 'lng': 67.03017328029149}, 'southwest': {'lat': 24.8009503197085, 'lng': 67.02747531970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Gloria Jean's Coffees Dolmen,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114334787938854617156"">Faysal Ishrat</a>'], 'photo_reference': 'AUGGfZmkdKHMCV0BO67kTlJo4hOa7i4XajSCwjiPA6qBZlZHjucrYSF_joe4MDTELzyD4C5FnpAflcyNcfEyaLOTS0jn29ptbCXvBVTv9rg89nXExP9VD6BUdt3gWM_B2-kF8AoXp2-cKKiUmRSobThz_mAZT79PKcv0KzTgtOQHVNSKzP2d', 'width': 4000}]",ChIJ7UBtKAo9sz4R15lxcBFx8bs,"{'compound_code': 'R22H+WG Clifton, Karachi, Pakistan', 'global_code': '7JP9R22H+WG'}",3.0,4.1,ChIJ7UBtKAo9sz4R15lxcBFx8bs,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1165.0,"Dolmen Mall, Marine Promenade, Block 4 Clifton, Karachi",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.802162, 'lng': 67.029905}, 'viewport': {'northeast': {'lat': 24.8032855302915, 'lng': 67.03104403029151}, 'southwest': {'lat': 24.80058756970849, 'lng': 67.0283460697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cinnabon,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116567208974484270719"">Saqib Sajjad</a>'], 'photo_reference': 'AUGGfZmEFBJSZV2ReQdcQeuj_ORq23GhJSYatNT2zkJaSUKTQUHvyhRt8yhNkQnM8sTt7g97ommbUguQuNBPRBQQK5KHtiqpVYJmdfsiME06sLVUpr7lRt87GE9j8Fc-z8QpN_cV2NNgMih4zZ7mifkQ7WPpXyLzExmylVHQn03Oi73j0emr', 'width': 3000}]",ChIJubLTnwk9sz4Ru3YH8jDpD8k,"{'compound_code': 'R22H+VX Clifton, Karachi, Pakistan', 'global_code': '7JP9R22H+VX'}",,4.5,ChIJubLTnwk9sz4Ru3YH8jDpD8k,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",154.0,"Dolmen Mall, Clifton, Block 4 Clifton, Karachi",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.8038489, 'lng': 67.03263009999999}, 'viewport': {'northeast': {'lat': 24.80516018029151, 'lng': 67.0340576802915}, 'southwest': {'lat': 24.8024622197085, 'lng': 67.03135971970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Xander's Clifton,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106364353817378034103"">Xander&#39;s Clifton</a>'], 'photo_reference': 'AUGGfZltShLbhKnZ4glwS1umWFaKlW3W4KE9TiyHmzxo8kHNIgipSGV9owZS5E_qgajHdZG5cCCdBkgbRiFDybRvJDsxYvOw5OqDUzJzW0wn1O4hvlpXLHjOdQmsDFSs3oTxq8TwsJOXrDZavMiZCGyjFgcq5KHp7WNrilN5yXwZrgqqIWJN', 'width': 3024}]",ChIJLXpsRAg9sz4R8FH-nwG8Tjg,"{'compound_code': 'R23M+G3 Clifton, Karachi, Pakistan', 'global_code': '7JP9R23M+G3'}",3.0,4.3,ChIJLXpsRAg9sz4R8FH-nwG8Tjg,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",4663.0,"C32, E Street, Block 4 کلفٹن، کراچی, کراچی",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.7987302, 'lng': 67.0343192}, 'viewport': {'northeast': {'lat': 24.8000933302915, 'lng': 67.0356465802915}, 'southwest': {'lat': 24.7973953697085, 'lng': 67.03294861970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,McCafe,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116567208974484270719"">Saqib Sajjad</a>'], 'photo_reference': 'AUGGfZl-JN4jiAxcTVAGmnEHO3UI01kVeLTlnhJcBkMAQ2ptOme45rFQpV_hdwGQWFYrrXQzqFeHkXcySwXhnqt5CdlPAcYeDEnlZ9QMtL6gAUYBgzL8329Ut-deiWMxijyvdYoaNgG-M0-m3-6EK2j3AGLmAnfMHGdHaJr8156BqX46RDJA', 'width': 4000}]",ChIJ-XPV5rM9sz4R9SLlcyMFUZ0,,,4.3,ChIJ-XPV5rM9sz4R9SLlcyMFUZ0,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",297.0,"Q2XM+FPW, Sea View Road, Karachi",,8642e44a7ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.7995414, 'lng': 67.03488190000002}, 'viewport': {'northeast': {'lat': 24.8009065802915, 'lng': 67.03619463029152}, 'southwest': {'lat': 24.7982086197085, 'lng': 67.03349666970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,THC - The Hot Chick Seaview,,"[{'height': 5712, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115193714528910649389"">Zahra Hajyani</a>'], 'photo_reference': 'AUGGfZlYbPMkVU-6h0bi1eezzGM4VPyZzywQHF2YHTN8vTLE22GM4aAl-n8ozR1liwrZMaAXp1oy7AFkfKPh3sG_hapgkzTeLcVob8h05am4NPHRaRcQxzGnEbCBBdOLspr3JzeIzrckidxq5RrBMAzSngj89PVG64ZAH8-8WGTzjHsHMklx', 'width': 4284}]",ChIJ-ae9QUk9sz4Rb7jA1gwQeqE,"{'compound_code': 'Q2XM+RX Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q2XM+RX'}",,3.0,ChIJ-ae9QUk9sz4Rb7jA1gwQeqE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"V McDonald's Driveway, Phase Defence Housing Authority, Karachi",True,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.7998028, 'lng': 67.0344636}, 'viewport': {'northeast': {'lat': 24.8011517802915, 'lng': 67.03581258029149}, 'southwest': {'lat': 24.7984538197085, 'lng': 67.03311461970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Coffee Bean & Tea Leaf,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110159217797198948569"">Atif Ahmed</a>'], 'photo_reference': 'AUGGfZnTos3q88XvsGcmj7b_F0IxrT9lNcmzVZgqW6rft4olMDX1Tc0gIBOgAMy_Z9l9F3lvMzXfnDzEniIyawfDlRUfX4f9JpZ3Qzet-sKUo1GrmGc8u4TeFRRsCD_Ssa4sQndIYKAW8MRkjBxuAl0WOp1L8cPlGaDxryBe4spKs1NL01W9', 'width': 3000}]",ChIJFeRpL709sz4R0W6HhmfWeUE,"{'compound_code': 'Q2XM+WQ DHA Phase 5 Defence V Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q2XM+WQ'}",,,ChIJFeRpL709sz4R0W6HhmfWeUE,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Byco Petrol Pump, Sea View Road, DHA Phase 5, Karachi",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.800379, 'lng': 67.0371791}, 'viewport': {'northeast': {'lat': 24.8017566302915, 'lng': 67.0385510302915}, 'southwest': {'lat': 24.7990586697085, 'lng': 67.0358530697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Mamtu - کیفے ممتو,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117383792082220452064"">Videos Hub007</a>'], 'photo_reference': 'AUGGfZlajBHWySu0hmPYIBuZnujpZglgkD61uwl4bUUxpmEFds1kuGgvHW3D0qWVN9783OWDyYP8-CRAp9t7LTqRQcfB52IxFaNs15ltkNNMBr-PQvBMrl7QjWMABqeH5VH11mngNDLsnzDe5K-HqLJAYK4sHWvs53Q9Hq6cCSAiHTuK2ewj', 'width': 4608}]",ChIJ_8T0-fE9sz4Rp2RhdM7kmBM,,,5.0,ChIJ_8T0-fE9sz4Rp2RhdM7kmBM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"R22P+5V3, 32nd Street, DHA Phase 5 Defence V Defence Housing Authority, Karachi",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.8006041, 'lng': 67.0373163}, 'viewport': {'northeast': {'lat': 24.8019298302915, 'lng': 67.03869233029151}, 'southwest': {'lat': 24.7992318697085, 'lng': 67.0359943697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Wrakes & Shakes,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115321920210892528232"">Abeera Khan</a>'], 'photo_reference': 'AUGGfZmBca0bdRdhhC1gZLVstULZ6qnpn7Z0iuhrqeo6nmXaynD7T6BZzCLHCyHyQSM6a-UrM0NjnxGIxchUpeCibtdsppJouWoGJ8eSYOwIYQh0-XNOq-Z_sXNCuvgCNOVBDBQJS-dB-9sES8hMPR3bA8tvjNHyIlcSM4MHCcIzBTfNWfWy', 'width': 4032}]",ChIJozk5oA49sz4RuIsjW3mNCqw,,,4.5,ChIJozk5oA49sz4RuIsjW3mNCqw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"R22P+6WW, 32nd Street, Saba Commercial Area Saba Commercial Area Defence V Defence Housing Authority, Karachi",,8642e44a7ffffff
OPERATIONAL,"{'location': {'lat': 24.8007411, 'lng': 67.0370101}, 'viewport': {'northeast': {'lat': 24.8020895802915, 'lng': 67.03835963029151}, 'southwest': {'lat': 24.7993916197085, 'lng': 67.0356616697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Kohi Coffees,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107769740480206277748"">Kohi Coffee</a>'], 'photo_reference': 'AUGGfZmb4zu4alvE-kM-atgYTiorXqPEK39x7QACP_e0-uFg6EexeQi8JBzbSdpsnkF3gAAPfzxqOOMG9rfh0XS4E4V8zrISccKOqWM_6vxqXE0a-OrZkDAxa8sOJIdp6Td48nRvb3G9GOYQuyN3bJbBiu7LiBpgQRhthROYSu8ZwwY1D-V0', 'width': 1600}]",ChIJW7ZcCVM9sz4RpH9OLhMgMs0,"{'compound_code': 'R22P+7R Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9R22P+7R'}",,4.3,ChIJW7ZcCVM9sz4RpH9OLhMgMs0,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",442.0,"31 C, opposite Mcdonald Seaview, 2 Saba Avenue, DHA Phase 5 Saba Commercial Area Defence V Defence Housing Authority, Karachi",,8642e44a7ffffff
