business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 24.7938832, 'lng': 67.0814537}, 'viewport': {'northeast': {'lat': 24.7951829302915, 'lng': 67.0825940302915}, 'southwest': {'lat': 24.79248496970849, 'lng': 67.0798960697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sync.Cafe,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113645357262500086458"">Fasiha Batool</a>'], 'photo_reference': 'AUGGfZkdq7eRilQIj4aqMlHndnXp0RkpoCk1Vhiw2RF7g2LuTPDIzAGdTpXmeHesWScZa-2YER9laye1Ym6t6KaS9j1sdCpZl5Lpsvi2rb4-d80YIERMBgP-KroPUTSfdW98dcd62fGFfg5o06owDMDBjhQxOpDiC9LjK4jzaKIBcDRTHUwI', 'width': 3000}]",ChIJN7_7OS09sz4RBEK2gVUoWVA,"{'compound_code': 'Q3VJ+HH Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3VJ+HH'}",3.8,ChIJN7_7OS09sz4RBEK2gVUoWVA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",334.0,"33 Zulfiqar Street 1, DHA Karachi Phase VIII Zone A Zone A Phase 8 Defence Housing Authority, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.788523, 'lng': 67.0825926}, 'viewport': {'northeast': {'lat': 24.7898837302915, 'lng': 67.0839266802915}, 'southwest': {'lat': 24.7871857697085, 'lng': 67.08122871970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Gustavo's Cafe,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113655179358732633810"">Gustavo&#39;s Cafe</a>'], 'photo_reference': 'AUGGfZk1CPkcLKLNylWrfzBOg6k-550ETAkJKxlbFrPsi-Cz8n7TjHiT9Ram0Jic_cBDPZqrQoFLIsxZm51eRgj2sG2yp0hVA7P5cxH96L5K7zZT-EAz7obtQLYO6139ElMqpY9Dob7iXyyUA5iKZ2V0qVnjXLdeX6BHmOER1hV22dK0Q3Bj', 'width': 3024}]",ChIJO-q6NAA9sz4Rx2u2Sa7Pg2U,"{'compound_code': 'Q3QM+C2 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3QM+C2'}",4.6,ChIJO-q6NAA9sz4Rx2u2Sa7Pg2U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",9.0,"222 Al-Murtaza Commercial Lane 3, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7881843, 'lng': 67.0810589}, 'viewport': {'northeast': {'lat': 24.7895315802915, 'lng': 67.0824100302915}, 'southwest': {'lat': 24.7868336197085, 'lng': 67.07971206970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Sino,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103111444245754107503"">Yaser Rafiq</a>'], 'photo_reference': 'AUGGfZkl1VwqCPloGLyvg3lsyNikZnS7TVhPpxJTQaiNzpgqLgKIf8z8iwDZwzZJURE4IBGqPa1Dky6zIBPm_hEdgWNO5bMBjKIeRYCtk8SIMH6_KJJaVm9Y0xN2WiVIBmeD6-dFsa99xQawjPoBiYxZGJTXRH6Z-8A2xme1UWktmzAutfcs', 'width': 4160}]",ChIJU3E-EfY8sz4R_ZiXRQYIXxU,"{'compound_code': 'Q3QJ+7C D.H.A. Phase 8 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3QJ+7C'}",3.7,ChIJU3E-EfY8sz4R_ZiXRQYIXxU,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",367.0,"Plot 134C, Al Murtaza Commmercial, Lane 1 Zulfiqar Avenue, D.H.A. Phase 8, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.797681, 'lng': 67.07902229999999}, 'viewport': {'northeast': {'lat': 24.7991204802915, 'lng': 67.0802382302915}, 'southwest': {'lat': 24.7964225197085, 'lng': 67.07754026970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cigar Room,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101580325746558009748"">Sohail Ahmed Khan</a>'], 'photo_reference': 'AUGGfZkR7L-3VuwwQ3H171beR7Uw_EWgq11D04O89qzIFNB-b4alG79aw9LcR8LH2ZQa9wN5BgcYHEo9Hop-aeQ0DUmVqRhzcvrjMGYqRSXwQJHGm5PshhmfEFapYl9GUfA67krqHN6GRGJix177G3bCDinhsQKpxd1J5dsns4PfYMJmT1O_', 'width': 3264}]",ChIJ9-Vllu49sz4RgKBPUCLL9S4,,5.0,ChIJ9-Vllu49sz4RgKBPUCLL9S4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Q3XH+3JJ, DHA Karachi Phase VIII Zone A Phase 8 Defence Housing Authority, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7877536, 'lng': 67.0810785}, 'viewport': {'northeast': {'lat': 24.7890706302915, 'lng': 67.08246463029151}, 'southwest': {'lat': 24.7863726697085, 'lng': 67.0797666697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Trevi Coffee,,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117681689485538029522"">Babar ur Rehman</a>'], 'photo_reference': 'AUGGfZkFVWeBHxZf4iZ_Uz0dsjy5SmzLVYyAQg27Q_fw25ZZazFSEbAn4p1_D-EcLMbj9t1K9M-UK2qAF5Mwn3YEx-NkfpEwmv-kDk_tk0XqVG7UZFookVA73WztQBX8rGU9h3s-GIT3FPNynJmx3zyFn2HO70h5y4UNjQRksty8uxJyHz5Y', 'width': 2084}]",ChIJ_aVHwig9sz4RRQ75Zp2h9WU,"{'compound_code': 'Q3QJ+4C Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3QJ+4C'}",4.7,ChIJ_aVHwig9sz4RRQ75Zp2h9WU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",3.0,"Zulfiqar & Al Murtaza, Office 401 - 403, 4th Floor. Building No 143-C، Lane 2، D.H.A. Phase 8, Commercial Area Zulfiqar & Al Murtaza Commercial Area Phase 8 Defence Housing Authority, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7875112, 'lng': 67.0810268}, 'viewport': {'northeast': {'lat': 24.7888620302915, 'lng': 67.08237348029151}, 'southwest': {'lat': 24.7861640697085, 'lng': 67.0796755197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Groove Coffee,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111616245414665260728"">Groove Coffee</a>'], 'photo_reference': 'AUGGfZlp6yeo12BzLuzAFCpJT2CSBMZ-KxCBSaQmBNbKrl1-J62S8GBL2rP5g3kBc89i6s_YzE4ieECSaRmGCuFyF0tH4uH0is7dZqHSwX5QMhdgTQzdPIXagwWXK2Gvv_TB8DHBIQhBUT9-W2HxGQEoKiPOnYlU91goXkTlfD5PfcBMTKb2', 'width': 851}]",ChIJe0hwfXM9sz4RUFOYxrhFOes,"{'compound_code': 'Q3QJ+2C Zulfiqar & Al Murtaza Commercial Area Phase 8 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3QJ+2C'}",4.0,ChIJe0hwfXM9sz4RUFOYxrhFOes,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",37.0,"Shop 2, 172-C, Zulfiqar & Al Murtaza Commercial Area, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7885807, 'lng': 67.0790597}, 'viewport': {'northeast': {'lat': 24.7899535302915, 'lng': 67.08037998029151}, 'southwest': {'lat': 24.7872555697085, 'lng': 67.07768201970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Chai Shai Phase 8 DHA,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102555485844121289612"">Cafe Chai Shai Phase 8 DHA</a>'], 'photo_reference': 'AUGGfZn8_F08-9FhZuXivDXdwzTg6QdCSC56tCjlH9Xp2zYeJd0Op-XgrH99iOuG3ixahfGKGupZKEOwnQPqXtcRxQ2oYIHu_e4oLrDMLv2pdvMF-D6QjD-VSn6iuJua1z0ZBHWBxHkTW2vkvpBHmCIPJYFnX4AsG-BkwuLGG0H9mwz73Z3g', 'width': 3024}]",ChIJJUBJhCk9sz4RFGw85nc9bR8,"{'compound_code': 'Q3QH+CJ Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3QH+CJ'}",4.8,ChIJJUBJhCk9sz4RFGw85nc9bR8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",20.0,"88-C, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7886549, 'lng': 67.0788639}, 'viewport': {'northeast': {'lat': 24.78998603029151, 'lng': 67.0801968802915}, 'southwest': {'lat': 24.7872880697085, 'lng': 67.07749891970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sugar Latte,{'open_now': True},"[{'height': 3104, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106193543031615880167"">Zarif Khan</a>'], 'photo_reference': 'AUGGfZnVnRrS8WHWg5NPCVW0P7X-1O6Lm3Z0h1a1Ou-EM5OwSeppSleGqnx2Fvljdj9REdEo5ICKD10emX9yhv88XDu9jEy3CqfsMeG3OxspsnC1kJX5kuC8V46VrhmTaYgTFptmN3R-Ru0C6IROX6KAYVfi7L1ELJZAW1nuBYywuloygLSR', 'width': 3104}]",ChIJ67eHTAA9sz4Ruhn76y7TQOc,,4.7,ChIJ67eHTAA9sz4Ruhn76y7TQOc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",14.0,"Q3QH+FH, DHA Karachi Phase VIII Zone A Zulfiqar & Al Murtaza Commercial Area Phase 8 Defence Housing Authority, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7887931, 'lng': 67.0787328}, 'viewport': {'northeast': {'lat': 24.79010593029151, 'lng': 67.0800523302915}, 'southwest': {'lat': 24.7874079697085, 'lng': 67.07735436970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Drip CoffeeBar,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107244427001775465630"">Drip CoffeeBar</a>'], 'photo_reference': 'AUGGfZnpQn0oy1dioN1v23_W5qnf3Z6L8Z6sMj_thevAboGqBQVfiFJh4ABZdtIW7gbX3owkA_G_HLCX43oVzKCOdDT6rIb3-RM2aI-8y4RqdCcA0W6OgBhm05mgzS40sOcd1y3A4_YoVN1AOEBvISKTUQpn32C3ExO6y8GxdV2aSi_x3RF8', 'width': 720}]",ChIJh9mms4A9sz4R8WiGKhYMQac,"{'compound_code': 'Q3QH+GF D.H.A. Phase 8 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3QH+GF'}",4.7,ChIJh9mms4A9sz4R8WiGKhYMQac,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",11.0,"Zone, Plot 62C, Zulfiqar & Al Murtaza Commercial, Street 4, A, D.H.A. Phase 8, Karachi",8642e44afffffff
OPERATIONAL,"{'location': {'lat': 24.7900216, 'lng': 67.0781731}, 'viewport': {'northeast': {'lat': 24.7913797302915, 'lng': 67.07953063029152}, 'southwest': {'lat': 24.7886817697085, 'lng': 67.07683266970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Amigos Inn Cafe,{'open_now': False},"[{'height': 702, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103108029513088676254"">Amigos Inn Cafe</a>'], 'photo_reference': 'AUGGfZmXUQn0_Y2D1xkpgE4_KFu0klhwg09K4LdSiRUKt-shz_0LI-KqnWBjAJppSdrZRwBRZ6CYpE30Tuc6z2Pil6y6QuUM_FmyxV91WHPHRTcq2DJUJdqMYemCrh_5w35oc13fN0WLlOBrVkhEpfVTVNyOnWVJ-MeunaT54ewrzvtx1Of6', 'width': 474}]",ChIJtT5O07Y9sz4RV6LrvPzEpPw,"{'compound_code': 'Q3RH+27 Defence Housing Authority, Karachi, Pakistan', 'global_code': '7JP9Q3RH+27'}",4.9,ChIJtT5O07Y9sz4RV6LrvPzEpPw,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",15.0,"No.2, Plot No.37-C, Zulfiqar Commercial Street, A, Phase 8 Defence Housing Authority, Karachi",8642e44afffffff
