business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.8066669, 'lng': 67.16080699999999}, 'viewport': {'northeast': {'lat': 24.8080140302915, 'lng': 67.1621466302915}, 'southwest': {'lat': 24.80531606970849, 'lng': 67.1594486697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quaita bilal hotel,{'open_now': True},"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102101293431180479520"">Ahmed boos</a>'], 'photo_reference': 'AUGGfZnpv9WxABB-rRhG3FJDrzaqeWfs2mXEx6ZguD_0VT72S855y-GMx9OyFvFpKDkQP0wXG3WPwweUTpKOkbqnfcfi1nkS9wMwifvVw-LbPSXVmSyHvpW-JoyY0u-k5TBx2BipsN8q4d7Ar1VccG0ldaSvC6K70n-EkBWe5iWZ8xSwb70G', 'width': 4480}]",ChIJJetpjLo7sz4Rp3G59UVmQK8,"{'compound_code': 'R546+M8 Korangi, Karachi, Pakistan', 'global_code': '7JP9R546+M8'}",3.8,ChIJJetpjLo7sz4Rp3G59UVmQK8,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.0,"100, Sector 50 C Korangi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.80888509999999, 'lng': 67.169585}, 'viewport': {'northeast': {'lat': 24.8102210802915, 'lng': 67.1708762802915}, 'southwest': {'lat': 24.8075231197085, 'lng': 67.16817831970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,CAFE COLOMBO (Quetta Hotel),{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111046112228087379654"">NooR (Sagar)</a>'], 'photo_reference': 'AUGGfZm_Zt14sSooF3VBE-iJwSLxGXLgj8SxMFM5X0woa9qyxl6kFC-qBkFjWjd8yxvz8eEqY2YH_marGNd8IKj68-rpSKnT44hO05ZmRZfPpm358iBTEwWM7ugAA0nXat6oVOBb54BZ804bNDdmUbpbRkT6pfeqmmY0OxJFjppXPNuboEM6', 'width': 4160}]",ChIJQVONIHY7sz4Rklv0oE0CUU4,,5.0,ChIJQVONIHY7sz4Rklv0oE0CUU4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"R559+HR4, Sector 51 - D Sector 51 M Ibrahim Hyderi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8161603, 'lng': 67.1560111}, 'viewport': {'northeast': {'lat': 24.8174764802915, 'lng': 67.15736813029149}, 'southwest': {'lat': 24.8147785197085, 'lng': 67.15467016970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Bismillah Kakar Hotel,{'open_now': True},"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104432348729687654184"">Mohammed Arshad</a>'], 'photo_reference': 'AUGGfZlyJYH5VOI1fU6Df_qgFtB4ABl0_eONJwPZd7XQda3x3i1eU7NpqSQw-WizNbYKh3w6qHJAkMjs1BI9957RU-AMAlmo1tqc5I_D9XF6lLqG9tdq2ATaFx9BYsN2B8G3zOZ_hoF9_Q3Uyd8hqTiSaMArokxX_i9zNhJ9ezzb1wL7h4Zs', 'width': 4160}]",ChIJq4Zf95g7sz4R-n_NPT1RWbY,"{'compound_code': 'R584+FC Korangi, Karachi, Pakistan', 'global_code': '7JP9R584+FC'}",4.2,ChIJq4Zf95g7sz4R-n_NPT1RWbY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,"Plot No B 852, Road No, 5, Sector 50 A Korangi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8148849, 'lng': 67.1676931}, 'viewport': {'northeast': {'lat': 24.8162359302915, 'lng': 67.1690526802915}, 'southwest': {'lat': 24.8135379697085, 'lng': 67.1663547197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Jeeju Hotel,{'open_now': False},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104725101662456772797"">FarazH Ghouri</a>'], 'photo_reference': 'AUGGfZlR9pwR3FOzweTEVfxi0E3V9zOx2BeUbNu13LPWNdyudXaTWTDODpuS0USiNCFDuaWg6NoBDbByZjvVxkrzZYRTYmk4ypiLVwPUOTjeD-RbzNGSui-vUNHWvFeTRwfJXK0jFj4Xraw73eQF_pBui7Y-chmJne-cwjwJButZnn1cKNo-', 'width': 3456}]",ChIJkcCEkZI6sz4RF-o3wsL8B8U,,4.3,ChIJkcCEkZI6sz4RF-o3wsL8B8U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",129.0,"R579+X34, Unnamed Road, Sector 51 N Ibrahim Hyderi, Karachi",1.0,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8176328, 'lng': 67.1600129}, 'viewport': {'northeast': {'lat': 24.8190004302915, 'lng': 67.1614538802915}, 'southwest': {'lat': 24.8163024697085, 'lng': 67.15875591970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Cafe ALJannat,{'open_now': True},"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106435968101441853070"">TheGMB Expert</a>'], 'photo_reference': 'AUGGfZmXgnZUG5iJ2UTtIVlX4v7hhnU9DxeZWBgsjtgRo2QQotdFj4evIRX_JnwBhzaUd62sN4eqnThsNiWwbv8kC2n86ZBo3mDRGFLQtXQNEiz2syunddsUA_-Vjfgu91Unh077M4gCLnNR__0DMzBGA7PJcaaAUKV6HRsWyt64lyoo0KHA', 'width': 2976}]",ChIJPRa_yuo7sz4RMhyn1LOY5-w,,4.5,ChIJPRa_yuo7sz4RMhyn1LOY5-w,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"R595+3X5, Ghous Pak Road, Sector 50 A Korangi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.804632, 'lng': 67.14550679999999}, 'viewport': {'northeast': {'lat': 24.8060340802915, 'lng': 67.1468419802915}, 'southwest': {'lat': 24.8033361197085, 'lng': 67.14414401970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Mugs & More,{'open_now': True},,ChIJPYgnBNM7sz4RNZln-KSr72k,"{'compound_code': 'R43W+V6 Gulshan E Mustafa Sector 48 F1 Korangi, Karachi, Pakistan', 'global_code': '7JP9R43W+V6'}",,ChIJPYgnBNM7sz4RNZln-KSr72k,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"5b, Gulshan E Mustafa, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8172439, 'lng': 67.1669099}, 'viewport': {'northeast': {'lat': 24.81859993029151, 'lng': 67.1682937802915}, 'southwest': {'lat': 24.8159019697085, 'lng': 67.1655958197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Pathan Cafe,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108030290027125955725"">Mohammad Dilawar</a>'], 'photo_reference': 'AUGGfZmp1d4k8Re5VuJBrRWWGX9R_Q5jaDzWPNWRgpGBmGePQ5zN4iUBkDoTz1YP8lDVCHShzIXODpgD708wNTWNvuJ_wRXm2cMB8SRHog0Wrq6IGKwtvgQBQwSquBBcy8TewZ5ei0kO_7wWjPbgI103bGwNLXNXArtUljt08JMzuZmiFcAw', 'width': 1456}]",ChIJP7d1P406sz4RqHBmX21FXlM,,4.4,ChIJP7d1P406sz4RqHBmX21FXlM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",19.0,"R588+VQV, Sector 50 E Korangi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.79370969999999, 'lng': 67.1476727}, 'viewport': {'northeast': {'lat': 24.7950590802915, 'lng': 67.14902138029152}, 'southwest': {'lat': 24.7923611197085, 'lng': 67.1463234197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Almadina ghusia hotel,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114654052941700599769"">Raaz Mohammad</a>'], 'photo_reference': 'AUGGfZmsNeSRBvN6E1Qn9jOLJUkR3PGLDA-NiDjBErEM69DaOxgGc9MN5Xb5v9WbBVJ0Qnbu5W8XP52TmjMk4tQpO7HPAmfhGfErHrnerTxi3kYvDbS6eNRT6hfJ2xa7BCXMym9k2uolv8JvW2FO6oXXGhAxXSDAsHB-HsFUhqxaeDJMbp87', 'width': 4080}]",ChIJk8es0TE7sz4R-W-8UgIctCw,"{'compound_code': 'Q4VX+F3 Ibrahim Hyderi, Karachi, Pakistan', 'global_code': '7JP9Q4VX+F3'}",,ChIJk8es0TE7sz4R-W-8UgIctCw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"foot ball stadium, Ibrahim Hyderi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8205555, 'lng': 67.1638107}, 'viewport': {'northeast': {'lat': 24.8218968802915, 'lng': 67.16516163029151}, 'southwest': {'lat': 24.8191989197085, 'lng': 67.1624636697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Taj Hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106435968101441853070"">TheGMB Expert</a>'], 'photo_reference': 'AUGGfZlXN9i_DNRA0KploODmwuKEB93P1PF93K3nUQ76BQyHO7RieTrHvx0DkKTXYsk8aFwi99R8zwEXppfOQmNy2BgMrPkylEhwY3USoteQNwt5ChXeBaFy22E-h8XpfhZuYHpdAvHaR22F8iQ59Utd_Y5mVR2eNDxnNeDCuryC5wqBa1Q_', 'width': 1080}]",ChIJX-4FMxk7sz4RN9JoI9vqvJw,,,ChIJX-4FMxk7sz4RN9JoI9vqvJw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"R5C7+6GF, G area Korangi 5, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8166511, 'lng': 67.14547999999999}, 'viewport': {'northeast': {'lat': 24.8179289802915, 'lng': 67.14684658029151}, 'southwest': {'lat': 24.8152310197085, 'lng': 67.1441486197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Cafe Haneef Hotel,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106716444828706294443"">Khan Khan</a>'], 'photo_reference': 'AUGGfZlRFvOmBAvQOqbexjzwYvKAiN-gYT6_YQ2RkZ0xhW7cF2Cw6D4euO4-NDA8lvHVHU9BXKoB4-vgjLOTgnuzXxEkjXd15wwI7TMwfJCjYt0bSCHR2NhYpGweshlYncop5YA0nQ--ozimfhUDs2n6v6Gimz6hsuRBtf_V0dxvHQQMZbLx', 'width': 3000}]",ChIJD8CB_9I7sz4RppDxoRA-NgA,,5.0,ChIJD8CB_9I7sz4RppDxoRA-NgA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"R48W+M59, Korangi Town Taj Colony Sector 48 B Korangi, Karachi",,8642e44f7ffffff
OPERATIONAL,"{'location': {'lat': 24.8200007, 'lng': 67.14829329999999}, 'viewport': {'northeast': {'lat': 24.8213001802915, 'lng': 67.1496542302915}, 'southwest': {'lat': 24.8186022197085, 'lng': 67.14695626970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو عبدالمنان کوئٹہ درویش ہوٹل,{'open_now': True},"[{'height': 1632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102537406484617591552"">zakir Hussain sahil</a>'], 'photo_reference': 'AUGGfZk9tNnptw7qR85RKLrmkIlocgGbMuBavsH2tlnSaa0T7Yoh56SWP8wAHhtR9v5Abdlgpv4RyKbeTiR7r_cRBJFbKI3LuTzThdFu39fXZj5-10f0APzIDhA555wk2OukMqCnqzGc_SrJDmXhHqeQJTcZmLQFQSYZW_PpqENSJbbkTAM_', 'width': 3264}]",ChIJfRX9Nvk6sz4RVD1ADquB438,,4.1,ChIJfRX9Nvk6sz4RVD1ADquB438,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",35.0,"R4CX+283, Mustafa Taj Colony Sector 42 Korangi, Karachi",1.0,8642e44f7ffffff
