business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9726498, 'lng': 66.98789769999999}, 'viewport': {'northeast': {'lat': 24.9740351302915, 'lng': 66.9892393302915}, 'southwest': {'lat': 24.97133716970849, 'lng': 66.98654136970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Khaiber Chai,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102571807828302324564"">waris ansari</a>'], 'photo_reference': 'AUGGfZk2c4bAcFrByyWgOsUpo18kyOsZdAcWwR8Nh4HlPPU0HXyBr8DH_qS2y-PFJkWE8AaA9uuymxrZM9ljUTBUXdtyLC8v4C00nJGh21a77xJ6aEVQOKGwFBcmuSDgfF-cyc70wMtSbyNusKlJmSwA19AAqr-xmrkdyzpiv-Pm_hopH19b', 'width': 1080}]",ChIJ1YabPDxrsz4ROYCxV7W3dRs,"{'compound_code': 'XXFQ+35 Gulshan e Bihar, Karachi, Pakistan', 'global_code': '7JP8XXFQ+35'}",4.6,ChIJ1YabPDxrsz4ROYCxV7W3dRs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",18.0,"Muhajir Chowk, New Karachi - Orangi Link Road, Gulshan e Bihar, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9726679, 'lng': 66.988148}, 'viewport': {'northeast': {'lat': 24.9740675802915, 'lng': 66.9894854302915}, 'southwest': {'lat': 24.9713696197085, 'lng': 66.98678746970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Star Hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100984879631641947886"">Hameed Khan</a>'], 'photo_reference': 'AUGGfZn5iEWd0NTY4WapwQuhP1gla-xmliuWsY158KoxnlPRR_J-jTpwiA6xXktf8wbW9gZZfg7efredCIRakrU9FrNHNq0ishh8BPWFgsfBdALH942Gez3xWcsI_GJbFQtBnvLgTZVkfOAY-5hV5A4Uly0FfFrnjnrMq_YGg8NSF7bzq_so', 'width': 1080}]",ChIJA0yWcWVrsz4R8zinv_qFscQ,,,ChIJA0yWcWVrsz4R8zinv_qFscQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"XXFQ+6R4, Gulshan-e-Bahar Orangi Town, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9746464, 'lng': 66.9916795}, 'viewport': {'northeast': {'lat': 24.9760014802915, 'lng': 66.9930752302915}, 'southwest': {'lat': 24.9733035197085, 'lng': 66.99037726970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Ghaznavi Naan Shop غزنوی نان دکان,,,ChIJy9wqI35rsz4RSHm8ruLrzps,"{'compound_code': 'XXFR+VM Gulshan e Bihar, Karachi, Pakistan', 'global_code': '7JP8XXFR+VM'}",5.0,ChIJy9wqI35rsz4RSHm8ruLrzps,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Main Shahrah-e-Qaddafi, Gulshan e Bihar, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9738125, 'lng': 66.9918129}, 'viewport': {'northeast': {'lat': 24.9751666302915, 'lng': 66.9932050302915}, 'southwest': {'lat': 24.9724686697085, 'lng': 66.9905070697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Peshawari Naan House پشاوري نان ھاؤس,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112390515749815020306"">Faraz Husayn</a>'], 'photo_reference': 'AUGGfZmcUAaEPhXLkgZBCnydF-4_DHrEw33Y0AdV29a9ACKeOtNNkmLDVDPxR-tC6U4a5Oscft0KeIMbn33OVyYc0SWjxBTEUDnsRUF7Tex3q-NNQfM_gRB7lgoFzphtdyp0j292DtjuRdhznADgFMWYnuDYUiMFiiHWAt-oW03pEXDLBD4w', 'width': 3024}]",ChIJHZ4WP-Zrsz4RlJYbJqR49Tc,"{'compound_code': 'XXFR+GP Gulshan-e-Bahar Orangi Town, Karachi, Pakistan', 'global_code': '7JP8XXFR+GP'}",,ChIJHZ4WP-Zrsz4RlJYbJqR49Tc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Orangi 16 Bus Stop, Main Shahrah-e-Qaddafi, Gulshan-e-Bahar Orangi Town, Karachi",,8642e450fffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.9740978, 'lng': 66.99207439999999}, 'viewport': {'northeast': {'lat': 24.9754401802915, 'lng': 66.9933673302915}, 'southwest': {'lat': 24.97274221970849, 'lng': 66.9906693697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hot & Cold Corner,,,ChIJ3ZmsTGRrsz4RtvwvS21nnd4,"{'compound_code': 'XXFR+JR Gulshan-e-Bahar Orangi Town, Karachi, Pakistan', 'global_code': '7JP8XXFR+JR'}",,ChIJ3ZmsTGRrsz4RtvwvS21nnd4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Bus Stop, Orangi 16, Shahrah-e-Qaddafi, Gulshan-e-Bahar Sector 16, Karachi",True,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9734769, 'lng': 66.9921717}, 'viewport': {'northeast': {'lat': 24.9747944802915, 'lng': 66.99352573029151}, 'southwest': {'lat': 24.9720965197085, 'lng': 66.9908277697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Karvaan Hotel کوئٹہ کاروان ہوٹل,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112390515749815020306"">Faraz Husayn</a>'], 'photo_reference': 'AUGGfZkvcSGa8SZMNtX4-1nHTNOxouU_iRogUozFTTNAYfq0QpcwyL00YzRJren4HstvI5w8gstBPdLi6pEZKo9R9hskf4CDlQuEib1Oks1Aq1Xq_MqI9KLP2sCB-Oi3aKPsIzqLOrtCzueNp4KZAzR3oSCZ4Z8erTpCTGh2te_q15sR2ESm', 'width': 2448}]",ChIJCx-5lLlrsz4R-7SH6cASsUA,"{'compound_code': 'XXFR+9V Gulshan-e-Bahar Orangi Town, Karachi, Pakistan', 'global_code': '7JP8XXFR+9V'}",5.0,ChIJCx-5lLlrsz4R-7SH6cASsUA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Bus Stop, New Karachi - Orangi Link Road, Gulshan-e-Bahar Sector 16 Orangi Town, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9770885, 'lng': 66.9916587}, 'viewport': {'northeast': {'lat': 24.9784506802915, 'lng': 66.9930065302915}, 'southwest': {'lat': 24.9757527197085, 'lng': 66.99030856970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Subhanallah Brohi Hotel,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112390515749815020306"">Faraz Husayn</a>'], 'photo_reference': 'AUGGfZlbjAl9pID0sEfcrQESk2aPvnEomaO_bOd2Qua399bVkOZhk_UGv1E6mQm-jkPJTO3gcLCKYZ1hwl70RsA9JvX8E3O4KHLGX75B5TG9XrId0Ez8tmZmkKF-5a3QzjDH5-c-yv5b5XkNldMYrtDPuzGR9myMaf5DOvj0T7XxGnZE2SXf', 'width': 3024}]",ChIJfz66JDRrsz4RMLpzYtutNOg,"{'compound_code': 'XXGR+RM Orangi Town, Karachi, Pakistan', 'global_code': '7JP8XXGR+RM'}",,ChIJfz66JDRrsz4RMLpzYtutNOg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Main Shahrah-e-Qaddafi, Sector 16-C, Gulshan-e-Bahar Orangi Town, Karachi",,8642e450fffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.9754266, 'lng': 66.9929458}, 'viewport': {'northeast': {'lat': 24.9767430302915, 'lng': 66.99429913029151}, 'southwest': {'lat': 24.9740450697085, 'lng': 66.99160116970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Anas Pakwan Center,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111729285442474549729"">Faraz Husayn</a>'], 'photo_reference': 'AUGGfZl4sGiwOG9EedZFYHJLOmbmbGYZjO4yDSg0jfVzj4TylUe_0hTxxk-CxcBAYT99bdKlugtjlmX_j9kjLJJ4FhXMQTZ2CbhHWakfKw9mRwlttxT_nJUpVqRdAjbIN7bqdGnHnGXHg2aCoe-9yJ5lb6jHSDuhTn4NYp0QqJ3oTgtDemog', 'width': 720}]",ChIJG6HIH3Zrsz4RU6-Xf-eRUkg,,,ChIJG6HIH3Zrsz4RU6-Xf-eRUkg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"XXGV+55G, 3rd St, Gulshan-e-Bahar Block C/3, Karachi",True,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.969155, 'lng': 66.9815555}, 'viewport': {'northeast': {'lat': 24.9704959302915, 'lng': 66.98294343029151}, 'southwest': {'lat': 24.96779796970849, 'lng': 66.98024546970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Kamran cut hotel,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112048126211164054688"">Uzair bloch Bloch</a>'], 'photo_reference': 'AUGGfZkPb5mjZjyGItEX-rf5nbYsoh8h1ihzHMbCg67gXfh28qSTRnj4aUxDZbvKP-KquzHaAci290kWgSJVBrCVsUIRQuRwSUHA24DMZDjGAnLVTD104VOumeDXexRf4OMEI-V05Y-HHmu6Xg0_rzLjAFiS9AB9UmXkf8WupmY6GEu3jAA', 'width': 720}]",ChIJVX-9VvJrsz4R6NgglPwdgLw,,4.2,ChIJVX-9VvJrsz4R6NgglPwdgLw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,"XX9J+MJ7, Unnamed Road, Mansoor Nagar Mansoor Nagar, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9822143, 'lng': 66.9912305}, 'viewport': {'northeast': {'lat': 24.9835636302915, 'lng': 66.9925209302915}, 'southwest': {'lat': 24.9808656697085, 'lng': 66.9898229697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Abdul Bari Hotel,,,ChIJ_2uDXc9rsz4RrHGNEMSv1sg,,,ChIJ_2uDXc9rsz4RrHGNEMSv1sg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"XXJR+VFQ, Shahrah-e-Qaddafi, Karbala Gulshan e Bihar, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9828189, 'lng': 66.9905766}, 'viewport': {'northeast': {'lat': 24.9841678802915, 'lng': 66.9919255802915}, 'southwest': {'lat': 24.9814699197085, 'lng': 66.98922761970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta hotel,,,ChIJMa3lPKBrsz4R1gQ-q09_rVI,,5.0,ChIJMa3lPKBrsz4R1gQ-q09_rVI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,"XXMR+46G, Unnamed Road, Gulshan-e-Bahar Gulshan e Bihar, Karachi",,8642e450fffffff
OPERATIONAL,"{'location': {'lat': 24.9672888, 'lng': 66.98118529999999}, 'viewport': {'northeast': {'lat': 24.9686216802915, 'lng': 66.98252788029151}, 'southwest': {'lat': 24.9659237197085, 'lng': 66.9798299197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quaita Al mansoor hotel karcahi,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110182070392867518582"">Irfan Abbas</a>'], 'photo_reference': 'AUGGfZmvpzrFZxEDZRhiqyFujYXC_0afihLpPJDTnsZXi5KYEUoXJempY6mHeeHtej0CPrHPvxqN_r0fm2l-O86vGZvtbosyGI-i-xuseFmQS75pCn7PMWbOyPnAZt2fIzsdwTcnNolM8R5z62vAFo_oscs4aJXJ7NnTaxZMOxDloN7bsN06', 'width': 1200}]",ChIJR-jswaVrsz4Rm4qJIGQaLRY,,5.0,ChIJR-jswaVrsz4Rm4qJIGQaLRY,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"XX8J+WF7, Mansoor Nagar, Karachi",,8642e450fffffff
