business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.922316, 'lng': 66.96670639999999}, 'viewport': {'northeast': {'lat': 24.9236388802915, 'lng': 66.96800643029151}, 'southwest': {'lat': 24.9209409197085, 'lng': 66.96530846970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,PAPA CHAI,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105979580764482726913"">muhammad shoaib</a>'], 'photo_reference': 'AUGGfZmGHIRP9ZonO2x2e6ADqW7y-DFFHOt6Q6Fy1ACj9QbwCBUqE3r71WQgH-yLfQV9XzBSQmVEGCdx-g6poxx-nkLBk7L50rtGbGASgHwHb9imTXlnRdFZeUU1G3G_37tjqt6tGOUhxp803GYrwmY_SY538lhsxM1gG1FlJ-GoC4EYqTGD', 'width': 1920}]",ChIJfcAGZqMVsz4R08U1QvdGnC4,4.0,ChIJfcAGZqMVsz4R08U1QvdGnC4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",123.0,"WXC8+WMG, 19-D Road, Sector 3, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9237389, 'lng': 66.9693817}, 'viewport': {'northeast': {'lat': 24.9250982802915, 'lng': 66.97075483029151}, 'southwest': {'lat': 24.9224003197085, 'lng': 66.96805686970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chai ka Chaska,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110186507989605983693"">uzair siddiquee</a>'], 'photo_reference': 'AUGGfZnfRUMQzackR4sTxznlFOg6jZgLSecRnRlNA-n909fMHKbUi1QMTc4oyMQJ6V5D-CsoXT750tYCAdrgG4AimmSVqx_Ucd5mjR4sTywlHQ8QIgPJX8kvngNS4DdbEbfKqh2BRWS7gR8xCpQUzIe9rBOJrRUd8meH66mkNMGyI2G87WT8', 'width': 4032}]",ChIJv3SzsmwVsz4R3ZoGCgvFaL0,4.8,ChIJv3SzsmwVsz4R3ZoGCgvFaL0,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",8.0,"Jungle school Ali castle, Sector 3, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9237569, 'lng': 66.9693787}, 'viewport': {'northeast': {'lat': 24.9251158302915, 'lng': 66.9707215302915}, 'southwest': {'lat': 24.9224178697085, 'lng': 66.96802356970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hujracafe,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103127034888218101208"">Talha Butt</a>'], 'photo_reference': 'AUGGfZmQsSSu7cuRPWRqMf3lLCnfTTxFWbU2B5xW_r0dZ55ant3jyGRAMz-sHqvP67RuxiE3myDyJ0__shSboEaGFx3gQZ9vhwSxccoje64tYMzVMDoJspTKtEvt7bSterfafUjGATLOsphpkQDql4RhTWiPBeQrjRywDVzlpxngLG-4WMJT', 'width': 1920}]",ChIJ6ybJdc0Vsz4RpviIAAyeNv8,5.0,ChIJ6ybJdc0Vsz4RpviIAAyeNv8,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",5.0,"WXF9+GQ2, Faqir Colony, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9201504, 'lng': 66.9640606}, 'viewport': {'northeast': {'lat': 24.9215398302915, 'lng': 66.96538323029152}, 'southwest': {'lat': 24.9188418697085, 'lng': 66.9626852697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chaaye PK,{'open_now': False},"[{'height': 815, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104333392918090501262"">Hammad Hussain Minhas</a>'], 'photo_reference': 'AUGGfZmDK1tBFJP8sU8kyEcZSWZG6baaIgflPfO6K3hyW3hln3QI0dx6KPBl6XMprsz9e4mJo-gOEEU4Z0oXnQph7OWPuhMRzSepSm1AmhCmvAvg14cf6TZdQ-H5h8yVRQUt-mUId4MzA6-EmFOKkHzw56z3K8HHCaUEzL3xpMeuq-IMmIPH', 'width': 1619}]",ChIJo5Dp7bkVsz4RWkC3wu2AukY,4.3,ChIJo5Dp7bkVsz4RWkC3wu2AukY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",346.0,Plot#1 Sector A3 Saeedabad Baldia Town,"{'compound_code': 'WXC7+3J Sector 3, Karachi, Pakistan', 'global_code': '7JP8WXC7+3J'}",2.0,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.920424, 'lng': 66.9694581}, 'viewport': {'northeast': {'lat': 24.9217677802915, 'lng': 66.9708102802915}, 'southwest': {'lat': 24.9190698197085, 'lng': 66.9681123197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Nadir hotel,,,ChIJB_N9OQAVsz4RjTZztJYkzo0,,ChIJB_N9OQAVsz4RjTZztJYkzo0,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"WXC9+5Q8, Sector 3, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9254568, 'lng': 66.9692985}, 'viewport': {'northeast': {'lat': 24.9267890302915, 'lng': 66.9706165802915}, 'southwest': {'lat': 24.9240910697085, 'lng': 66.96791861970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chaye Bethak,,,ChIJ0yKIN9gVsz4RZDOLL7LZXKs,,ChIJ0yKIN9gVsz4RZDOLL7LZXKs,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"Shop No.1, plot No.1, sector 4-G, Sector 4 Baldia, Karachi","{'compound_code': 'WXG9+5P Baldia, Karachi, Pakistan', 'global_code': '7JP8WXG9+5P'}",,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9194301, 'lng': 66.963689}, 'viewport': {'northeast': {'lat': 24.9208179802915, 'lng': 66.9651092302915}, 'southwest': {'lat': 24.9181200197085, 'lng': 66.9624112697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Durrani Hotel,,,ChIJXXmJZwAVsz4R7PVVrKqcPT4,,ChIJXXmJZwAVsz4R7PVVrKqcPT4,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"WX97+QFM, Sector 8c Sector 5 Baldia, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9189233, 'lng': 66.9619475}, 'viewport': {'northeast': {'lat': 24.92025128029151, 'lng': 66.9632548302915}, 'southwest': {'lat': 24.9175533197085, 'lng': 66.9605568697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ سلیم ہوٹل,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109126287522007478161"">Basit Awan</a>'], 'photo_reference': 'AUGGfZnJHUNKEt-PdR1LoAge-l41naOM3kgPTqPBMxBUDi6SpAsIpwaEhljAJlPUfsmQHeW9hDQCMTZSK7s_GihMXrx3OL0hvCUi5DoVgTnyjWA7G-cc4Za8IcV7f1c0z-KRVpMKFHlGowN7nM7Ie6tEpsDnFRv0VrPmsFnXPXlK5mbOvctR', 'width': 1080}]",ChIJbXcbMQ4Vsz4RtY3tkVcTDpI,3.9,ChIJbXcbMQ4Vsz4RtY3tkVcTDpI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",19.0,"WX96+HQ8, Unnamed Road, Sector 5 Baldia, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9282456, 'lng': 66.96740319999999}, 'viewport': {'northeast': {'lat': 24.9295746802915, 'lng': 66.9687157302915}, 'southwest': {'lat': 24.9268767197085, 'lng': 66.96601776970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Paradise cafe,,,ChIJ6QODmJcVsz4R60x_v1VLGo0,5.0,ChIJ6QODmJcVsz4R60x_v1VLGo0,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.0,"WXH8+7XR, Bismillah Chowk Road, Sector 4 Baldia, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.91678199999999, 'lng': 66.9624556}, 'viewport': {'northeast': {'lat': 24.9181555802915, 'lng': 66.9638495302915}, 'southwest': {'lat': 24.91545761970849, 'lng': 66.96115156970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,SS Broast & Ice Cream,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105434104394417707310"">Sajjadcrazy17 Sajjad</a>'], 'photo_reference': 'AUGGfZlY_QWHmiFbg6ghyMLg-iNdxR7C8MqHSg_pqA2B1t8gvhuVbcjvIcxGFuDeGKsq3G3mma-yOcliXgLX2kpI7Iwjn9o7Dwm7ccy5SFIUbACi7O6d1bFxR2mQGYq0lhvQ_1ZSmF0HW7tElw3pJGatPbAbsPMzsNCHdeZPpCkF-4LMJVi6', 'width': 1080}]",ChIJj-jVUCUVsz4RThawQGDwldc,3.8,ChIJj-jVUCUVsz4RThawQGDwldc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",45.0,"24 Market Road, Sector 5 Gulshan e Habib, Karachi","{'compound_code': 'WX86+PX Gulshan e Habib, Karachi, Pakistan', 'global_code': '7JP8WX86+PX'}",,8642e451fffffff
