business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,photos,plus_code,rating,user_ratings_total,opening_hours,hex_id
OPERATIONAL,"{'location': {'lat': 25.03527069999999, 'lng': 67.0762086}, 'viewport': {'northeast': {'lat': 25.0366235802915, 'lng': 67.07760568029151}, 'southwest': {'lat': 25.03392561970849, 'lng': 67.07490771970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panjtni Hotel,ChIJKeUEfq1Bsz4RxPVUvfri-ak,ChIJKeUEfq1Bsz4RxPVUvfri-ak,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","23PG+4CP, Sector 8 Surjani Town, Karachi",,,,,,8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0330939, 'lng': 67.0752269}, 'viewport': {'northeast': {'lat': 25.0344445302915, 'lng': 67.0766025802915}, 'southwest': {'lat': 25.0317465697085, 'lng': 67.07390461970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,UZAIR FAROOQ BKL Mastana Hotel Chapter 4.0,ChIJz5edSABBsz4RKD9cAoVIEUU,ChIJz5edSABBsz4RKD9cAoVIEUU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","23MG+63Q, Sector 7 D Surjani Town, Karachi","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104787679789977775337"">Ukasha Khalil</a>'], 'photo_reference': 'AUGGfZkdHsuft0wSC7m11xW9w9HmVSPe2JzZMRmZygacEypi2ywzpsI8mMPfArWlDs42HkLA1Ih349xA3u8dy-mZ1FwBN6ToMus18RXIjgpxCYxxvJtTIJNei1YrKWpuy7cSGMSJV-fVyZWDD4aCj9iClLbGMN9CgMPiCnniHsQEEB6EMwWW', 'width': 1920}]",,,,,8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0328729, 'lng': 67.0689292}, 'viewport': {'northeast': {'lat': 25.0342196802915, 'lng': 67.07024963029151}, 'southwest': {'lat': 25.0315217197085, 'lng': 67.0675516697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Al Mashoor Uzair Farooq Cafe,ChIJxc_TDgBBsz4Rdt51n1S_VpQ,ChIJxc_TDgBBsz4Rdt51n1S_VpQ,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","Plot ST 1, Sector 7 D Surjani Town, Karachi","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104787679789977775337"">Ukasha Khalil</a>'], 'photo_reference': 'AUGGfZkuEAe-dWhn7hgD3nwfgYrL9p-SHBWJ8FPshaMtOB34CIjF_ttZ_jZpibGR1YUm8WPEeZsjWHEyOvAjyDoeuw6X1WwBLhbKxtcaHkZGtQensd3FaiA2036Ew3gpjGzARbIUASEhO2pVUrrjCXvrlqgui3CdkRtFyo3W_pBhnxQxAqC9', 'width': 1920}]","{'compound_code': '23M9+4H Surjani Town, Karachi, Pakistan', 'global_code': '7JQ923M9+4H'}",5.0,1.0,,8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.040071, 'lng': 67.0623962}, 'viewport': {'northeast': {'lat': 25.0413926802915, 'lng': 67.0637457802915}, 'southwest': {'lat': 25.0386947197085, 'lng': 67.06104781970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quita mursaleen piyala hotel,ChIJX2wm7upDsz4RortQdZkrN7k,ChIJX2wm7upDsz4RortQdZkrN7k,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","23R6+2XC, Sector 11 Surjani Town, Karachi",,,,,,8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0333348, 'lng': 67.0607672}, 'viewport': {'northeast': {'lat': 25.0346403302915, 'lng': 67.06211898029152}, 'southwest': {'lat': 25.0319423697085, 'lng': 67.0594210197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Abdullah cafe,ChIJdwr0js5Bsz4R3OfwSnU_jqQ,ChIJdwr0js5Bsz4R3OfwSnU_jqQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Sec 6c, Sector 6 Surjani Town, Karachi","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110324753902679463732"">Minhal Kazmi</a>'], 'photo_reference': 'AUGGfZmaoqsdw9U7m4ydIyIjnBg_CoqvvibiLbuS7L4s2Cblx44GRA3LSqV93zq84yErGmm-JqZ9oEQ05SteaumCuy1dr6mHX2P9wsANjj5aZJEVgcfbefwR3zKOLiiWDSesYl0_v0Y8F4Q31RGlX5VdH2XbW5cTNVuZThdVfQ8oFvA_tMcC', 'width': 1920}]","{'compound_code': '23M6+88 Surjani Town, Karachi, Pakistan', 'global_code': '7JQ923M6+88'}",4.7,3.0,{'open_now': False},8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0264344, 'lng': 67.0811299}, 'viewport': {'northeast': {'lat': 25.0277238802915, 'lng': 67.0824836302915}, 'southwest': {'lat': 25.0250259197085, 'lng': 67.0797856697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Toba Chanar Hotel,ChIJhQE7PeZBsz4R3HFiciixZog,ChIJhQE7PeZBsz4R3HFiciixZog,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","23GJ+HC, Surjani Town, Karachi","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102096720473113119442"">Zunair Ateeq</a>'], 'photo_reference': 'AUGGfZk9PMENnmxkFtuuqCriNEAx2sMGfOmd6jETmGN_SpW5KDNbc14oUiCqj0lsalWGY_Moe0Kx7iR6qEheWW24_kmbYFCcJ7vu-y3IkLkqcZIzmRYDPEKjEt2xxbaFfEt7C5wsATitaCCfWTGyg-7eipZMGw0jjUSBmf67jYHSwR7qXYN_', 'width': 3264}]",,4.0,1.0,,8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0328964, 'lng': 67.0561074}, 'viewport': {'northeast': {'lat': 25.0342506302915, 'lng': 67.05745603029149}, 'southwest': {'lat': 25.0315526697085, 'lng': 67.05475806970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New koita super star hotel,ChIJrQKXTWZBsz4RqiVajH5m8PU,ChIJrQKXTWZBsz4RqiVajH5m8PU,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","23J4+W82, Sector 6 Surjani Town, Karachi","[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108541364397448414155"">Sabir Hussain</a>'], 'photo_reference': 'AUGGfZlr_4X2OTqgagHCJAfyFZdG8CXBIM09fD-ptKapjbWPOjFO2Xgu2EhO0g0Ega4jPh9jR0myYZcL3cD0zIs7urnKme_cHEudbk1n_BjRcTH8RWQ8OkPorTEM0beXRzjriUDXemYsRvn5qlp9ZyNRV6rLbf4C-0nz6LXS5WqhwM4eYi2m', 'width': 4160}]",,3.0,1.0,{'open_now': True},8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0349965, 'lng': 67.0895741}, 'viewport': {'northeast': {'lat': 25.03636013029151, 'lng': 67.09088713029149}, 'southwest': {'lat': 25.0336621697085, 'lng': 67.08818916970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ سندھ بلوچستان ھوٹل,ChIJ7eYqnfRBsz4RY0WVMxwzl6Y,ChIJ7eYqnfRBsz4RY0WVMxwzl6Y,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","23MQ+WWQ, Lyari Basti Road, Taiser Town, Karachi","[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106643556168502492927"">Nashist Chai</a>'], 'photo_reference': 'AUGGfZmPBNq6Pe9KQrnqMx7uOExPeEDjHZ-L6VVL8kRrvE1l4CcJm92ixCO9dNh2cdlZhzVKFCvyC-RgBeflzdphaomHTkZvssGSSncFzo0XtoIVUmofC56SHv2pvmnhQWyCp8YeBu_vRRSdsUrJZzQCyemO5PGmKgTqIlH6TSWmEFzRYVPu', 'width': 780}]",,5.0,2.0,{'open_now': True},8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.02260249999999, 'lng': 67.0649483}, 'viewport': {'northeast': {'lat': 25.0239539302915, 'lng': 67.0663510302915}, 'southwest': {'lat': 25.02125596970849, 'lng': 67.0636530697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shehroz cafe,ChIJXSQXJxlBsz4R34JHuJBgPi8,ChIJXSQXJxlBsz4R34JHuJBgPi8,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","Plot 7, Sector 4 A Surjani Town, Karachi",,"{'compound_code': '23F7+2X Surjani Town, Karachi, Pakistan', 'global_code': '7JQ923F7+2X'}",5.0,1.0,,8642e4547ffffff
OPERATIONAL,"{'location': {'lat': 25.0208521, 'lng': 67.0633349}, 'viewport': {'northeast': {'lat': 25.0221711302915, 'lng': 67.0646858302915}, 'southwest': {'lat': 25.0194731697085, 'lng': 67.06198786970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Uzair Farooq Mastana Hotel,ChIJj_jYGQBBsz4RUXWIlLvCumQ,ChIJj_jYGQBBsz4RUXWIlLvCumQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Sector 5e, Sector 5 Surjani Town, Karachi","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104787679789977775337"">Ukasha Khalil</a>'], 'photo_reference': 'AUGGfZkaPX61ZNkWE-OuVzKI6jYvRp4AFW8kimyEyHW-xcGmbBWQQBB_SgNWrHBOopNgmGk_XZCTh5EM6pdpQvNS96zR6ZDB_AIzsRSknAg5hq02e5empvUUDp83ZN9AnaltcP8NhsV9U18znELqE8pNYYwdWikp1F6OJh5lyVJsTJZ4brDQ', 'width': 1920}]","{'compound_code': '23C7+88 Surjani Town, Karachi, Pakistan', 'global_code': '7JQ923C7+88'}",5.0,1.0,,8642e4547ffffff
