business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,permanently_closed,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.98403009999999, 'lng': 67.05213739999999}, 'viewport': {'northeast': {'lat': 24.98536388029151, 'lng': 67.0534860302915}, 'southwest': {'lat': 24.9826659197085, 'lng': 67.05078806970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Bissmillah Sheesha Hotel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113037379782760504928"">Rukhsar ahmed Afridi</a>'], 'photo_reference': 'AUGGfZlN1BbAlW9MTTUsH01gRgGq9rZv607z-Dn52iuL1fkiUHD4HC_ORivb6kdgdXYubuH9KOyLsta5zJI2Z9QFywv39aerZl_oOD33vEK5BIQRHpQjFYpjvMzVp4W5CzojtFqmKoA4oUYcXhKLK_pM1Gvs5vJNAhWe2UqLFywFzIQCTA2z', 'width': 1920}]",ChIJc9YkSvVBsz4RzUBWDeKjTnQ,4.5,ChIJc9YkSvVBsz4RzUBWDeKjTnQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",32.0,"X3M2+JV6, Unnamed Road, Sector 7 A North Karachi Township, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9852117, 'lng': 67.0519564}, 'viewport': {'northeast': {'lat': 24.9865379802915, 'lng': 67.05334793029151}, 'southwest': {'lat': 24.9838400197085, 'lng': 67.0506499697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Masha Allah Quetta Hotel,,,ChIJs1_1e_5Asz4Rf9WTHakuWaI,4.7,ChIJs1_1e_5Asz4Rf9WTHakuWaI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"X3P2+3QP, Sector 1 New Karachi Town, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9854433, 'lng': 67.0553326}, 'viewport': {'northeast': {'lat': 24.9867889302915, 'lng': 67.0566053302915}, 'southwest': {'lat': 24.9840909697085, 'lng': 67.0539073697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Hussain Hotel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105826954835530923586"">Sameer khan</a>'], 'photo_reference': 'AUGGfZkKqvc4GUx-5-bK60U8jvNtbz0uSMpkNu0Ym9LskTLVsgi4XDVKxV48iZwBzVF78YVMi4pNtw_tH4-xZ-Xj59cSfpc-nkx5W3E9qrR3gq89wEDsMsNSUyGLUgOPw7PIvkM7nepkFKK5Ft9pyasZvsjcftbSo9MPV0OjKY6MjKGr0zta', 'width': 1920}]",ChIJsb7eYKxBsz4Rie6_JtHAlh0,4.3,ChIJsb7eYKxBsz4Rie6_JtHAlh0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",91.0,"X3P4+54G, Sector 5 C New Karachi Town, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9883125, 'lng': 67.0539375}, 'viewport': {'northeast': {'lat': 24.9896635802915, 'lng': 67.05528628029151}, 'southwest': {'lat': 24.9869656197085, 'lng': 67.0525883197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Faizan French Fries,,,ChIJw5lIgL5Bsz4RYH4Zq_3B_zE,3.0,ChIJw5lIgL5Bsz4RYH4Zq_3B_zE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Sector 4 New Karachi Town, Karachi","{'compound_code': 'X3Q3+8H New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3Q3+8H'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9886603, 'lng': 67.05479489999999}, 'viewport': {'northeast': {'lat': 24.9900286802915, 'lng': 67.05614228029151}, 'southwest': {'lat': 24.9873307197085, 'lng': 67.0534443197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cheena Quetta hotel,,,ChIJ9bUXSQBBsz4RLgp7Mp_4FBw,,ChIJ9bUXSQBBsz4RLgp7Mp_4FBw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"ST 10, Sector 4 New Karachi Town, Karachi","{'compound_code': 'X3Q3+FW New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3Q3+FW'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9784692, 'lng': 67.0559093}, 'viewport': {'northeast': {'lat': 24.9798839802915, 'lng': 67.0572540302915}, 'southwest': {'lat': 24.97718601970849, 'lng': 67.0545560697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Al-Haaj Taaj hotel and Pakwan center الحاج تاج ہوٹل اینڈ پکوان سینٹر,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100950364274896115976"">sajid hasan</a>'], 'photo_reference': 'AUGGfZlisoIo_1kkj65kMEsw--YG791uqaRZzktUjvAk1ImxLghpVyN8cVnr2VIGqIe0XkfX4buWze8OsJLWcjf6gQS3Lv5zWoVvIIET5jUyb_EfZbxEd2I2dJhDHoy6EdNEhMvI49Gxjmh-KA1lB3ZykvU3nabrl0vNO1cvSnjYDCl952mw', 'width': 4032}]",ChIJVYrOEbpBsz4RUyubDvGNvAo,3.8,ChIJVYrOEbpBsz4RUyubDvGNvAo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",76.0,"X3H4+99M, Sector 11 B North Karachi Township, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.981944, 'lng': 67.0598634}, 'viewport': {'northeast': {'lat': 24.9832786802915, 'lng': 67.0612127302915}, 'southwest': {'lat': 24.9805807197085, 'lng': 67.05851476970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Loyal Chef,,,ChIJKUQWeE1Bsz4Rjjk6MdFC9BE,,ChIJKUQWeE1Bsz4Rjjk6MdFC9BE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Sector 11-A North Karachi Township, Karachi","{'compound_code': 'X3J5+QW North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3J5+QW'}",,,8642e4557ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.987245, 'lng': 67.0433492}, 'viewport': {'northeast': {'lat': 24.9885787302915, 'lng': 67.0447090302915}, 'southwest': {'lat': 24.98588076970849, 'lng': 67.0420110697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,umar Hotel,,"[{'height': 1008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106829433884924293346"">Sahar Rehman</a>'], 'photo_reference': 'AUGGfZksr9dC73XgwCqU-TC_VFc6jUJ3DcX0x4znsu1Ug9BrpLunrWtg3ghhtDYVWm6SJLIMcaibbqdi9ILqYKjETxk8NCFhHUHfKxPP08DVVpaMNqMuyGNUxQkFuGzqR5MmTvL_v1kIEIv1fJyKZbAvS8aPQvRIqov0FfH9uCrpw_BVlI1y', 'width': 720}]",ChIJKXwiM59Bsz4R66iR5gtJx6k,4.0,ChIJKXwiM59Bsz4R66iR5gtJx6k,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"garam chasma, Manghopir Road, New Karachi Town, Karachi",,True,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9785174, 'lng': 67.0578146}, 'viewport': {'northeast': {'lat': 24.9798653802915, 'lng': 67.0591438802915}, 'southwest': {'lat': 24.9771674197085, 'lng': 67.0564459197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Small Plate Cafe,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102226602322592672299"">Anwer Solangi</a>'], 'photo_reference': 'AUGGfZnjs8ubVADpLJxogkNTM2kN4lmHvYaktEtBb69xLMZfRmCj9f85Jb0MN2obN8aOBGRoHdvt4N6B2q7k7_g5jNb7CWZD9-L47ds7SZfsEwSOzRp1OzL6kkwpZleD2KqD8yQKZF_TpAfXq0NahC5Q9bE-XJA4wz3KulXr5Lm8cNsuutAv', 'width': 4160}]",ChIJH3iPPM9Bsz4RdZnSFJ6CjJA,4.8,ChIJH3iPPM9Bsz4RdZnSFJ6CjJA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,"Plot A 12, Karachi","{'compound_code': 'X3H5+C4 North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3H5+C4'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.99199, 'lng': 67.0545857}, 'viewport': {'northeast': {'lat': 24.9933594802915, 'lng': 67.0559331802915}, 'southwest': {'lat': 24.9906615197085, 'lng': 67.05323521970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shabshaba Tea,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108763578370439285646"">imzeeshankhan</a>'], 'photo_reference': 'AUGGfZnTZu-J3sEIJJHwqtoKVgNTeXhUpGi42qbD_v19p_vLXl9Li9RD3ow6j_WHfCXh_gGpNK-D_eWb4d_ZAX1GhIxF3k4Qh1I0qrvWnnfHNgSnFQbQFfPn1zU4TRU-v5AUgh5SVRUVNHe2sbsAh4px-EvnpMyeFEHfJtRyIgzFzVLxbGsv', 'width': 2448}]",ChIJ6Qd_IvpBsz4RWaJkQwoMWnY,,ChIJ6Qd_IvpBsz4RWaJkQwoMWnY,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"X3R3+QRW, Sector 4 New Karachi Town, Karachi",,,,8642e4557ffffff
