business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.9942001, 'lng': 67.1160921}, 'viewport': {'northeast': {'lat': 24.9955572802915, 'lng': 67.11744883029151}, 'southwest': {'lat': 24.9928593197085, 'lng': 67.11475086970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Lal Akbar Hotel,{'open_now': True},"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113883343880021744547"">Talha Ali</a>'], 'photo_reference': 'AUGGfZmX7X5zwxNw4Y-XnmXOKJwUeX2Qfqu41ZBJZ9y3RRK_gy4HKAjMaBG6WvZ_xXgslCdyYX-t8na7PNUgEqvRymkWn_bjG7-bDqYVdfns6ipUuc6Bgig19s--9hzCVlLOq0HsoeM8UgZFegch7Nwu2Dy1HBu_-Z25BZutswDXgt6gnxUt', 'width': 2976}]",ChIJ80k47E5Hsz4RnCBGMUHyRio,4.3,ChIJ80k47E5Hsz4RnCBGMUHyRio,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",14.0,"X4V8+MCP, Ahsanabad Ahsanabad 1 Ahsanabad Gulzar E Hijri Scheme 33, Karachi",,8642e455fffffff
OPERATIONAL,"{'location': {'lat': 24.9930499, 'lng': 67.11548359999999}, 'viewport': {'northeast': {'lat': 24.9944370302915, 'lng': 67.11687078029149}, 'southwest': {'lat': 24.9917390697085, 'lng': 67.11417281970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Lucky Star Hotel,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115015133173908384450"">Moaj Ali</a>'], 'photo_reference': 'AUGGfZlojqUz1g1BAKEz5sq0R_LIKuHkV3u9GJ-FiUxtUL305nEx_SzIcv-DnT4XcLXYYnMfQVPWKJn6mf595nFIhfiNQLAljmf1VoUISrL5d3pmOD0Lj9svxUztyxGtpDyfhbO62gik3OiLwxCJX_KgUwb8o4QfpWCRo6bjNRgTm-5-RYF0', 'width': 1728}]",ChIJB8_KMgBHsz4R-q5o1rWLnWQ,4.0,ChIJB8_KMgBHsz4R-q5o1rWLnWQ,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"X4V8+659, Vanthali Memon Society Sector 6 A Gulzar E Hijri Scheme 33, Karachi",,8642e455fffffff
OPERATIONAL,"{'location': {'lat': 24.9996643, 'lng': 67.1119095}, 'viewport': {'northeast': {'lat': 25.00104788029151, 'lng': 67.11329108029149}, 'southwest': {'lat': 24.9983499197085, 'lng': 67.11059311970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Jamia hotel,,,ChIJi_hzIq5Hsz4RlSUutXNHa8U,,ChIJi_hzIq5Hsz4RlSUutXNHa8U,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Plot B 253 Sector-4, Ahsanabad Ahsanabad 1 Gulzar E Hijri Scheme 33, Karachi","{'compound_code': 'X4X6+VQ Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9X4X6+VQ'}",8642e455fffffff
OPERATIONAL,"{'location': {'lat': 25.000041, 'lng': 67.1125837}, 'viewport': {'northeast': {'lat': 25.0013920302915, 'lng': 67.11393458029151}, 'southwest': {'lat': 24.9986940697085, 'lng': 67.11123661970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Agha Jaan Hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108254925537791766016"">abdul nasir jakhrani</a>'], 'photo_reference': 'AUGGfZnQ6sfbv7z9hj8Y_f1tLQj5S6OKcyxA_rIPk1hUGjL5U8T5vlw454Hu1aJmoaNMWb0HCyPpIl4XhVsc6JpFuOPeN8LZ04qlntUUW_iQPlspQ3dMiWL0thfv9tTqOyI6-bIxhbNMhPtYox-k9w5bpowaTlgoVCQYT9BkQs5CZqcg3WMS', 'width': 1080}]",ChIJ78VASQBHsz4RiXMLJwTteiM,,ChIJ78VASQBHsz4RiXMLJwTteiM,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Plot B 1, Sector-4, Ahsanabad Ahsanabad 2 Gulzar E Hijri Scheme 33, Karachi","{'compound_code': '2427+22 Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JQ92427+22'}",8642e455fffffff
OPERATIONAL,"{'location': {'lat': 24.9929067, 'lng': 67.1249624}, 'viewport': {'northeast': {'lat': 24.9942305302915, 'lng': 67.1262853802915}, 'southwest': {'lat': 24.9915325697085, 'lng': 67.1235874197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Bismillah Hotel,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110032083950781406373"">Tufail Ahmed</a>'], 'photo_reference': 'AUGGfZmne88x3kr-CBbNBJXykjLW4sjRz8BkfyTq2Qnx4MHCxy0_AJeJDGYpjALmKQR5jOOhk29fFqwLsD7ISKJkGUGr-jpFth6nJ_njdygdYxiOecalmZQmcIM4TMmACqqS3SDFfFYYiAZJaPpu5RLfpBfMhr3dlK3F79gErSA8X-WVnRCK', 'width': 1836}]",ChIJmY7XqI5Hsz4RZh5_c1ubnHI,4.4,ChIJmY7XqI5Hsz4RZh5_c1ubnHI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"Khadim Hussain Town, Darakhshan Society Sector 8 A Gulzar E Hijri Scheme 33, Karachi",,8642e455fffffff
OPERATIONAL,"{'location': {'lat': 25.0029809, 'lng': 67.11546179999999}, 'viewport': {'northeast': {'lat': 25.0043615802915, 'lng': 67.11677083029151}, 'southwest': {'lat': 25.0016636197085, 'lng': 67.1140728697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,BISMILLAH QUETTA HOTEL,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110211748596255061045"">Tufail Ahmed</a>'], 'photo_reference': 'AUGGfZmYBJQtwAAbE0NfjCpxaK2o7r6jG2HKxMx3iYv9RVwSa_KYbhLVI6P75onIkYT7PpWxGaRILtZUobE0RuiBKBrQ_QzUj3jQ1Fh83wzFHlSqIny75ZIhWr3dlj3CPWKH_bcS1h1Pt8E29lbmNRxfrUg7zWSyJpHB91JBXO-d3MrClUEO', 'width': 1920}]",ChIJXfMfzzNHsz4Roa1p8sxDzEM,3.8,ChIJXfMfzzNHsz4Roa1p8sxDzEM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",33.0,"Plot C 344, Ahsanabad Ahsanabad 2 Ahsanabad Gulzar E Hijri Scheme 33, Karachi","{'compound_code': '2438+55 Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JQ92438+55'}",8642e455fffffff
OPERATIONAL,"{'location': {'lat': 24.9890128, 'lng': 67.1248569}, 'viewport': {'northeast': {'lat': 24.9903919302915, 'lng': 67.1261675302915}, 'southwest': {'lat': 24.9876939697085, 'lng': 67.12346956970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Kakar Piyala,,,ChIJYXxUSiRHsz4RBAQ_SPNcNpo,5.0,ChIJYXxUSiRHsz4RBAQ_SPNcNpo,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"X4QF+JW5, Fatima Jinnah Road, Khadim Hussain Solangi Goth Sector 8 A Gulzar E Hijri Scheme 33, Karachi",,8642e455fffffff
OPERATIONAL,"{'location': {'lat': 24.9898435, 'lng': 67.1254242}, 'viewport': {'northeast': {'lat': 24.9911702302915, 'lng': 67.1268020802915}, 'southwest': {'lat': 24.9884722697085, 'lng': 67.12410411970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Queeta Darbar hotel,{'open_now': True},,ChIJ50tbf7hHsz4RNbmWCHNsLEQ,,ChIJ50tbf7hHsz4RNbmWCHNsLEQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"8a Fatima Jinnah Road, Ajmer Moinia Chs Sector 8 A Gulzar E Hijri Scheme 33, Karachi","{'compound_code': 'X4QG+W5 Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9X4QG+W5'}",8642e455fffffff
OPERATIONAL,"{'location': {'lat': 25.0044549, 'lng': 67.1169185}, 'viewport': {'northeast': {'lat': 25.0058034802915, 'lng': 67.1182671302915}, 'southwest': {'lat': 25.0031055197085, 'lng': 67.1155691697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Masha Allah Quetta Hotel,,,ChIJ722KI-ZHsz4R2vqOTPpATlg,5.0,ChIJ722KI-ZHsz4R2vqOTPpATlg,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"2438+QPQ, Ahsanabad Ahsanabad 3 Gulzar E Hijri Scheme 33, Karachi",,8642e455fffffff
OPERATIONAL,"{'location': {'lat': 24.9906305, 'lng': 67.12746969999999}, 'viewport': {'northeast': {'lat': 24.9920059302915, 'lng': 67.12884473029149}, 'southwest': {'lat': 24.98930796970849, 'lng': 67.12614676970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Kakar Hotel,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110032083950781406373"">Tufail Ahmed</a>'], 'photo_reference': 'AUGGfZmdRkkEkuqbybahafvH84Ysw7OfbcHaiM21mf53ef0Bo8Ffw7OeQBJlpo9fFMC-1URcOfu-98SHnkssLSGcnT8kXwPN7CcCDV8uT3lPT1OaIUlnjUsm1tzrIbcdSrTTP0YXDtPSpKaqM4ffhXmmNN6CD8iVC_6To83R8AqZk-db7u07', 'width': 3120}]",ChIJGc2YtfNHsz4R_PdisZpXKAo,4.6,ChIJGc2YtfNHsz4R_PdisZpXKAo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"X4RG+7X5, Khadim Hussain Solangi Goth Sector 8 A Gulzar E Hijri Scheme 33, Karachi",,8642e455fffffff
