business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.8216284, 'lng': 66.9872042}, 'viewport': {'northeast': {'lat': 24.8229581802915, 'lng': 66.98855243029149}, 'southwest': {'lat': 24.82026021970849, 'lng': 66.98585446970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chaska chai,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100435471541689902293"">Muhammad Abid Ali</a>'], 'photo_reference': 'AUGGfZl_YrRqJxBWPc4LD1QyWjJdjnSZskkuvdQHfEL9w7tcevXWY37f8TL1KlT6691bz19zDH6Eb7YMH-NBlGNIP-AF1snbo8QheeWXK1NqhoDVFWicbywD4U1RwgZ-WvTDB0czJTL-jAaRO1j2gpiz0TwMtrVQVRJigHbg7tlvtcG0DrOT', 'width': 2992}]",ChIJr83IZ34Xsz4R3sw2uYDFruU,4.3,ChIJr83IZ34Xsz4R3sw2uYDFruU,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.0,"RXCP+RR6, Port Trust Lines Bhutta Village, Karachi",,,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.82483939999999, 'lng': 66.9795123}, 'viewport': {'northeast': {'lat': 24.8261697302915, 'lng': 66.98089878029151}, 'southwest': {'lat': 24.82347176970849, 'lng': 66.97820081970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Punjab Tea House,,ChIJy5B8zh0Xsz4Re7HQcWimJHw,,ChIJy5B8zh0Xsz4Re7HQcWimJHw,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"RXFH+WRJ, Mariners Fairway, Port Of Karachi, Karachi",,,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.8248117, 'lng': 66.9789978}, 'viewport': {'northeast': {'lat': 24.82619218029151, 'lng': 66.98029458029151}, 'southwest': {'lat': 24.8234942197085, 'lng': 66.9775966197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Koita Mubarak Hotel Corner,,ChIJue8mL_0Xsz4Rlo_SxBC6XkI,5.0,ChIJue8mL_0Xsz4Rlo_SxBC6XkI,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",1.0,"RXFH+WHH, Keamari, Karachi",,,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.8421667, 'lng': 66.9894347}, 'viewport': {'northeast': {'lat': 24.8435156802915, 'lng': 66.99078368029151}, 'southwest': {'lat': 24.8408177197085, 'lng': 66.9880857197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Grand ChaiKhana,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112462955547530355335"">syed arif</a>'], 'photo_reference': 'AUGGfZn-7AMDsdKRaHiSdqDDOJZtia5zj4pTEPzCwNgFDExRFzZdI1_NnKNy__HG70A0hinTRikuH2qHZC2BTfb6A5x7lzAwkdyTGdkisdblr77d8E6cY3ppRcG2NHPubtgR6N_ZMsSJg2ApLPDG594305edQU62f8GIijmwG1cUx9NpSRnd', 'width': 4000}]",ChIJtZqqFV4Xsz4RChNdbQro-o4,4.6,ChIJtZqqFV4Xsz4RChNdbQro-o4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",16.0,"RXRQ+VQ7, East Wharf, Karachi",{'open_now': False},,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.81707570000001, 'lng': 66.99849809999999}, 'viewport': {'northeast': {'lat': 24.8184174802915, 'lng': 66.9999007802915}, 'southwest': {'lat': 24.8157195197085, 'lng': 66.99720281970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Elison elon,,ChIJWzoR0IUXsz4RhWCyckhDTWM,,ChIJWzoR0IUXsz4RhWCyckhDTWM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Jackson market, Karachi",{'open_now': True},,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.8190762, 'lng': 66.976191}, 'viewport': {'northeast': {'lat': 24.8204518302915, 'lng': 66.9775059302915}, 'southwest': {'lat': 24.8177538697085, 'lng': 66.97480796970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,KAKAR HOTEL,,ChIJrWjoIkkXsz4RLK5jXy3FyjY,,ChIJrWjoIkkXsz4RLK5jXy3FyjY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"RX9G+JFQ, Mules Street, Port Of Karachi, Karachi",,,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.8143611, 'lng': 66.9945048}, 'viewport': {'northeast': {'lat': 24.8157081302915, 'lng': 66.9958540302915}, 'southwest': {'lat': 24.8130101697085, 'lng': 66.99315606970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Time square Cafe - Rahim,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116018295094431921174"">Daniyal Hanif</a>'], 'photo_reference': 'AUGGfZk5unkO8KkfI0d7jhceugCQn93ho-kkLBAIyi8dSLDUm63sNS2AiTiO47O4l9BMW2QI6grJUcPuwIwE4kUiHLIqvPkGY6nzi6cb7uBlfwfijBCHiKkAJLC7v38n2F1KdJMzQrxl9zm9QTqS3jWAtr0ZYGMcxrMzAhlJa_nKLZVfbv5t', 'width': 720}]",ChIJ563RgJgXsz4RtJfXzD_BRs8,5.0,ChIJ563RgJgXsz4RtJfXzD_BRs8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"RX7V+PRR, Unnamed Road, Block-1 Shireen Jinnah Colony Block 1 Clifton, Karachi",,,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.8184974, 'lng': 66.9758274}, 'viewport': {'northeast': {'lat': 24.8198484302915, 'lng': 66.9771647802915}, 'southwest': {'lat': 24.8171504697085, 'lng': 66.97446681970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,QBH Chai Shai,"[{'height': 895, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111886485694756094047"">Syed Meerullah (Meer Hadi)</a>'], 'photo_reference': 'AUGGfZlzotkBqc2Hcuff9oF_-qrmQfdVI-HkYol358NSQFkpB5kakpTNUVuFd9m_ntUCTicQlWsJlLENJfoRneDDZOtAmHHAZU7xssIkQDvV5RGihyjwo-NHxWnzxZMiNC4yQDKgExByde5Ca-4sy2FJKRI77FFMXJjmrav68VEzWVv3M6P7', 'width': 720}]",ChIJa5PhXscXsz4RV1rR6Ok38Yo,4.8,ChIJa5PhXscXsz4RV1rR6Ok38Yo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"Keamari fish street, Manora Kemari Ferry, Keamari, Karachi",{'open_now': True},"{'compound_code': 'RX9G+98 Keamari, Karachi, Pakistan', 'global_code': '7JP8RX9G+98'}",8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.830899, 'lng': 66.9709353}, 'viewport': {'northeast': {'lat': 24.8321962302915, 'lng': 66.97239553029151}, 'southwest': {'lat': 24.8294982697085, 'lng': 66.96969756970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dockyard canteen,,ChIJJ6mVD3YXsz4RRmmtw1M90So,4.0,ChIJJ6mVD3YXsz4RRmmtw1M90So,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.0,"RXJC+56V, West Wharf, Karachi",,,8642e458fffffff
OPERATIONAL,"{'location': {'lat': 24.8446001, 'lng': 66.9909429}, 'viewport': {'northeast': {'lat': 24.8459243802915, 'lng': 66.99250798029152}, 'southwest': {'lat': 24.8432264197085, 'lng': 66.9898100197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Turkish Mud Coffee - Port Grand,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112053825396530741999"">Turkish Mud Coffee - Port Grand</a>'], 'photo_reference': 'AUGGfZnS7BwPlLEQIKXRT4NdvhlOcX0ZBY-cCIbX-gSCHp9QBVK3SW1uIsxA5JvzaZ6yOh4GCvOnb9HZDGJWZyYqvHzl6ujmXAB49e3E2x-oN5CL2wDy7bYtHLszcd9n-uPemwG-fl1THjWsBK4ZW9XV_dViqDZbwcUISKIVY4mF7rWaecd4', 'width': 4608}]",ChIJAQKwDW0Xsz4Ry-WeCXP55Yk,4.1,ChIJAQKwDW0Xsz4Ry-WeCXP55Yk,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",7.0,"Turkish Mud Coffee inside, Port Grand Food Street, Karachi",{'open_now': False},"{'compound_code': 'RXVR+R9 West Wharf, Karachi, Pakistan', 'global_code': '7JP8RXVR+R9'}",8642e458fffffff
