business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,reference,scope,types,vicinity,rating,user_ratings_total,permanently_closed,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.88913119999999, 'lng': 67.07015559999999}, 'viewport': {'northeast': {'lat': 24.8909732802915, 'lng': 67.07138003029151}, 'southwest': {'lat': 24.88827531970849, 'lng': 67.06868206970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe KSBL,{'open_now': False},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112238584693060542152"">Bilal Shiakh</a>'], 'photo_reference': 'AUGGfZllW1WTLMAYe_FIHYXszuPEiTLbrvAYXBAE7Rqo_wz5YxbNQ2Gzc1zFPA0QQM7vGcupNLAHBI3MHaX6gI1egnD9w43Znyp4c7s4qckpvetZx3lp-S7Nkg0wklKr0CO9jZWMDHR0v0LlIgzY0-NQ3ah74rnPtV7vesZbh-T-bNSTN8pk', 'width': 1840}]",ChIJKXvsFDA_sz4RXGsK5iI_TCQ,"{'compound_code': 'V3QC+M3 Dawood CHS, Karachi, Pakistan', 'global_code': '7JP9V3QC+M3'}",ChIJKXvsFDA_sz4RXGsK5iI_TCQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Karachi School of Business & Leadership, F 14, opp. Liaquat National Hospital, National Stadium Road, Dawood Society Dawood CHS, Karachi",,,,,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.8913074, 'lng': 67.0771793}, 'viewport': {'northeast': {'lat': 24.8925760302915, 'lng': 67.0785535302915}, 'southwest': {'lat': 24.88987806970849, 'lng': 67.07585556970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,faiz,,,ChIJ58Q1CAA_sz4RuLttumS-fbo,,ChIJ58Q1CAA_sz4RuLttumS-fbo,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","V3RG+GRH, Stadium Road, Aga Khan University Hospital, Karachi",,,,,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.8888389, 'lng': 67.0775915}, 'viewport': {'northeast': {'lat': 24.8901944302915, 'lng': 67.0789972802915}, 'southwest': {'lat': 24.88749646970849, 'lng': 67.07629931970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Nana Burger Point,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111551320274857743760"">Fahim Ismail Begawala</a>'], 'photo_reference': 'AUGGfZnWfoHKqse3QiQf3YyFtwzTjVrH1a5dDqa5kOGufG-72JyjCN-n-UWDMvWB5GC8hX7R37djnTKgbjV7NPBQZnSl4zQUkkhw5fM6BvE_kWJv7u9r_kxM_-mUgPtYZOgqDxiZK54b3zQLThNx0HStzdL2SYsIuY0F6tN7hoTGBfTlmbzb', 'width': 4608}]",ChIJ-3Y3jcQ-sz4Rd8KYtTdCd4M,,ChIJ-3Y3jcQ-sz4Rd8KYtTdCd4M,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","V3QH+G2P, Ghazi Salahuddin Road, Dhoraji Society, Karachi",4.2,9.0,,,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.8879923, 'lng': 67.0779154}, 'viewport': {'northeast': {'lat': 24.88933688029151, 'lng': 67.0792085302915}, 'southwest': {'lat': 24.8866389197085, 'lng': 67.07651056970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe dhoraji,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112937731534466823128"">Cafe dhoraji</a>'], 'photo_reference': 'AUGGfZnotIRJd-3BoWEkZf57tiP8MZYtAQ8m6JYh4Jy9a2YZsyWwsM-8SKrZilfzIJS6ICb9AZ0AU-Et0ihfQLCliO5dGyQJst_HOxzy0_cnuE5q5yP7pYG2q7v_EPZA_Dyfj3nb56XFSWt4FNT9pT4C1hhJXuZK4QeMBj47-508pMGLpjwC', 'width': 4608}]",ChIJ1Rfa864_sz4Rm04FYLYVt0o,"{'compound_code': 'V3QH+55 Dhoraji Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9V3QH+55'}",ChIJ1Rfa864_sz4Rm04FYLYVt0o,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Flat 1, Al Qassim Bilding, Dhoraji Sehlani Chowk, Karachi",5.0,1.0,,,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.8846794, 'lng': 67.0743103}, 'viewport': {'northeast': {'lat': 24.8860484302915, 'lng': 67.0757369802915}, 'southwest': {'lat': 24.8833504697085, 'lng': 67.07303901970847}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Meetho's Dhoraji,{'open_now': False},,ChIJL3BqOsM_sz4RjbP2-W4iKIU,"{'compound_code': 'V3MF+VP Khokan CHS, Karachi, Pakistan', 'global_code': '7JP9V3MF+VP'}",ChIJL3BqOsM_sz4RjbP2-W4iKIU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Lubna Arcade, C 84, Khokan CHS, Karachi",4.9,7.0,,,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.88443209999999, 'lng': 67.07451569999999}, 'viewport': {'northeast': {'lat': 24.88578603029151, 'lng': 67.07587843029151}, 'southwest': {'lat': 24.8830880697085, 'lng': 67.07318046970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chai Wala,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110723457011736715216"">Abdul Rahim</a>'], 'photo_reference': 'AUGGfZkSRSwYHgrQn9lkRIoQj0eyP3dPdW7kl_bdYTRoCrJFuzArK9Dt3qIebY0Kk7r3xorwx1yUjuLCLuOiPLGTfOgdAGUC3oCINtAxUS5C_BB5CsnLf8hUdk93tzk60i3uLIeQiqL_aouuAv2PIoMrc5XVMsn7C_ryfKmaiVR4Jet3_gFt', 'width': 2448}]",ChIJuenwZsE-sz4RFuphu9NOPyc,,ChIJuenwZsE-sz4RFuphu9NOPyc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","V3MF+QRC, Haider Ali Road, Khokan CHS, Karachi",4.0,94.0,,,8742e4400ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.8958006, 'lng': 67.0743707}, 'viewport': {'northeast': {'lat': 24.8970953302915, 'lng': 67.07574768029151}, 'southwest': {'lat': 24.8943973697085, 'lng': 67.07304971970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Ghareeb Hotel,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117963035576960506191"">Sharjeel Jan</a>'], 'photo_reference': 'AUGGfZmovKP9Hp4zQUZ2AgaTmamuJKcOpwhDIX_RQOqap2U80LNES3XqLnBfNUpU9_4kGtqohNrzsH23FXA8RM8r28Jq7kSnleRB3_uBuCwYGDGrqgigrXwgWiQnhohkzOWboBkxt_SmSz9L6YsrzHmelJV2GxNh2VTq0gVhYgfcRkRKDoz_', 'width': 3000}]",ChIJoZRafRc_sz4R_99oCaIJltY,"{'compound_code': 'V3WF+8P Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9V3WF+8P'}",ChIJoZRafRc_sz4R_99oCaIJltY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Anarkali Apartments, Block 14 Block 14 Gulshan-e-Iqbal, Karachi",5.0,2.0,True,,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.8917342, 'lng': 67.06701439999999}, 'viewport': {'northeast': {'lat': 24.8931478302915, 'lng': 67.06834603029151}, 'southwest': {'lat': 24.8904498697085, 'lng': 67.06564806970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,LNH Baithak Cafe,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104014027394955248349"">Ahmed Nawaz</a>'], 'photo_reference': 'AUGGfZmBkWX3aoj9w0k9IrtZuqPJdiLz3727Oj0jxj54FTRO7S2x-opYa8_lF17UlNaddITpoX5jDvS3PG0s6cffN5CdKQLAYhxwIUoPOiiRz3puiCvQYXzT-oCxAd6uUYGNjorowIc3a4KhrLOpZEMCfwOed3eiBsGe3QsP9FOD3YSowCI_', 'width': 1920}]",ChIJEa1Z9fc_sz4REOuRR0wh7ao,"{'compound_code': 'V3R8+MR Liaquat National Hospital, Karachi, Pakistan', 'global_code': '7JP9V3R8+MR'}",ChIJEa1Z9fc_sz4REOuRR0wh7ao,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Liaquat National Hospital Mosque, Liaquat National Hospital, Karachi",4.0,402.0,,2.0,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.8849634, 'lng': 67.0690698}, 'viewport': {'northeast': {'lat': 24.88628298029151, 'lng': 67.0704646302915}, 'southwest': {'lat': 24.8835850197085, 'lng': 67.06776666970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Kidchen Cafe,{'open_now': False},"[{'height': 899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112286579694773443297"">Mumtaz Hussain Soomro (Scholarship Info)</a>'], 'photo_reference': 'AUGGfZnfw3rYBBhSC19pslzZEthinFtvJTX-D7eNB9na4mc6U5UltPXaZqzT6jhIEUYrsKOIl9XZodG5w-Xnvf8Z8GmUPrWNjk-zrKDODbDdwv7rid9_XWRLVM7pj_SIUMNecUPgz-2RfgnEHxNGrk_LKxQKweEFb2uoZU8b9tUV0a8QVznm', 'width': 1599}]",ChIJKR3Sncg_sz4RRTxGZQJ3DwE,"{'compound_code': 'V3M9+XJ Bihar Muslim Society BMCHS Sharafabad, Karachi, Pakistan', 'global_code': '7JP9V3M9+XJ'}",ChIJKR3Sncg_sz4RRTxGZQJ3DwE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","266 Bahadurabad, Bahadur Shah Zafar Road, Bihar Muslim Society, Karachi",4.1,56.0,,2.0,8742e4400ffffff
OPERATIONAL,"{'location': {'lat': 24.88495649999999, 'lng': 67.0690532}, 'viewport': {'northeast': {'lat': 24.8862743802915, 'lng': 67.0704522802915}, 'southwest': {'lat': 24.8835764197085, 'lng': 67.0677543197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chotu Bahadurabad,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101995657520058829181"">Chotu Bahadurabad</a>'], 'photo_reference': 'AUGGfZlRx-VLiKQjEL1lv0M-JJQ_AyFgIhU87nXR9YaE6ezTkj77AY4mW4Ym4fPyQYUT07jHlxUVeDaQeazmzaLRZVV_l28s_tnYTTb54zL5C9wh5jHHBklBAO7jnu-lyOeAEcJpUNDwtJhqHC_cet8yjFeCZlZs2dqMiaE4xs9GRPmn5TOx', 'width': 4032}]",ChIJ92myx3s_sz4RrXtDgIlc_Os,"{'compound_code': 'V3M9+XJ Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9V3M9+XJ'}",ChIJ92myx3s_sz4RrXtDgIlc_Os,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Bihar Muslim Society Gulshan-e-Iqbal, Karachi",3.9,3022.0,,,8742e4400ffffff
