business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,reference,scope,types,vicinity,photos,plus_code,rating,user_ratings_total,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.8822049, 'lng': 67.0980549}, 'viewport': {'northeast': {'lat': 24.8836661802915, 'lng': 67.09934363029151}, 'southwest': {'lat': 24.8809682197085, 'lng': 67.0966456697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Naan Shop,{'open_now': True},ChIJiSUdOAA5sz4RhLqZm8RgT0E,ChIJiSUdOAA5sz4RhLqZm8RgT0E,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","V3JX+V5V, PNS Karsaz Road, Karsaz Faisal Cantonment, Karachi",,,,,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8749043, 'lng': 67.0904197}, 'viewport': {'northeast': {'lat': 24.8762381802915, 'lng': 67.0917334302915}, 'southwest': {'lat': 24.8735402197085, 'lng': 67.08903546970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Happy Donut KDA,{'open_now': True},ChIJv91j37c_sz4RzlsoTucgVrM,ChIJv91j37c_sz4RzlsoTucgVrM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Store no 1, KDA, Saima Twin Towers, 1 Miran Mohammed Shah Road, Scheme, Karachi","[{'height': 2950, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114509390051928124492"">Abbas Ali</a>'], 'photo_reference': 'AUGGfZnSbinSA4X6P6UEPQUTqjOwt-V9himWcYj0qZ17-9V3FQWlqkmxbGCJlzPBGWBzc_68yeKl3HcQ0kOA3TUElWj-fkei6JE94KTDq2FRchXhcRa5aRD1e3SUTxspbDjFnyr3ThBes3fY3HRxFsxJPVzTHuBiHyNpu9ASXOHKf8LIKKie', 'width': 2598}]","{'compound_code': 'V3FR+X5 KDA Scheme 1, Karachi, Pakistan', 'global_code': '7JP9V3FR+X5'}",4.1,146.0,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8748058, 'lng': 67.0904706}, 'viewport': {'northeast': {'lat': 24.8761397302915, 'lng': 67.0917844802915}, 'southwest': {'lat': 24.8734417697085, 'lng': 67.08908651970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bombay Bhel,,ChIJHyAWUQA_sz4ROPZmHoucph4,ChIJHyAWUQA_sz4ROPZmHoucph4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","near Spar Supermarket, SB 2, near Spar Supermarket, KDA Scheme 1 Extension, Karachi","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115226006222323256032"">sadia dowite</a>'], 'photo_reference': 'AUGGfZkbOdc4_fHAtB8bHNx8BmPDtXBuShfTBeNhN40HZLz1skxgCWUsF8Lt4e_AWYN_h0FEoqVWPgUbgA4BlNrTbBl5noA3v3r7C1DtPr1xwd4dnsQ9bLf1cgfO-B3WpiwcH4OPCO-Bt42c5wGCRKGjNbhfr_c5pyTRB-gdo5Ba8b4-wb6i', 'width': 3024}]","{'compound_code': 'V3FR+W5 KDA Scheme 1 Extension Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9V3FR+W5'}",2.0,1.0,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8831052, 'lng': 67.0902365}, 'viewport': {'northeast': {'lat': 24.8844777802915, 'lng': 67.0915691802915}, 'southwest': {'lat': 24.8817798197085, 'lng': 67.0888712197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,KOHI COFFEES,{'open_now': True},ChIJcbwRBFI_sz4RrMsbpdSIbBo,ChIJcbwRBFI_sz4RrMsbpdSIbBo,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","Shop 38 Royal Apartment, KDA Scheme 1, City, Karachi","[{'height': 2532, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114509390051928124492"">Abbas Ali</a>'], 'photo_reference': 'AUGGfZmkddz4-nYFy5eR2ozsDozXOdxVlMATHjd0-LZN4geuxeCr_4o_xf3DenPEqZdm6_YITwnj63dlfcOZCDtHX4vW3q1XzgBBN-Favyzhj3BVKfcHbDVtniHhd7KeJPvjbV9X0Trj_dkBpAmSINCEPfAO5sfnCE8i9GIkm4MJ1xuKhyWZ', 'width': 2951}]","{'compound_code': 'V3MR+63 KDA Scheme 1, Karachi, Pakistan', 'global_code': '7JP9V3MR+63'}",4.1,59.0,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8798931, 'lng': 67.08833489999999}, 'viewport': {'northeast': {'lat': 24.8813048302915, 'lng': 67.08964743029149}, 'southwest': {'lat': 24.8786068697085, 'lng': 67.08694946970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Rotisserie House,{'open_now': False},ChIJOYOgus0_sz4RDVhO0upvBZ0,ChIJOYOgus0_sz4RDVhO0upvBZ0,GOOGLE,"['restaurant', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'establishment']","Suite # 27, Madina Market, off: Tipu Sultan Road, Karachi","[{'height': 4016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103597626808647419994"">The Rotisserie House</a>'], 'photo_reference': 'AUGGfZm1isvYACfBVJabrKxSUH7axhx96bU4i1S_dapIQZNi7W8XEm9bPKek5QYu5nQILbEEnm2LqDgZnA75Y6iai9q8IEdLr-Tr-qKU_GL4LgYbRH6OAQrVem707CmCiwREwyfRT0cwM-gGMZoRbvOq23P8Ix4QMRHfYdCre-3c6RnWJlub', 'width': 6016}]","{'compound_code': 'V3HQ+X8 KDA Scheme 1, Karachi, Pakistan', 'global_code': '7JP9V3HQ+X8'}",4.7,9.0,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8785613, 'lng': 67.0882396}, 'viewport': {'northeast': {'lat': 24.8799381802915, 'lng': 67.0895742302915}, 'southwest': {'lat': 24.8772402197085, 'lng': 67.0868762697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Cafe,,ChIJhfvD81M_sz4RkQqxpTZ3GtA,ChIJhfvD81M_sz4RkQqxpTZ3GtA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","V3HQ+C7H, Mohammad Ali Society Gulshan-e-Iqbal, Karachi",,,,,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8753813, 'lng': 67.0877455}, 'viewport': {'northeast': {'lat': 24.8767569302915, 'lng': 67.08914133029151}, 'southwest': {'lat': 24.8740589697085, 'lng': 67.08644336970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kaybees MACHS,{'open_now': True},ChIJ2-Q7UbE-sz4R3wZiWJwyxvU,ChIJ2-Q7UbE-sz4R3wZiWJwyxvU,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']","Maulana Muhammad Ali, 8-F Ghazi Salahuddin Road, Johar Memorial Cooperative Housing Society, MAMCHS","[{'height': 2750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107320953994759617058"">Sidd SS</a>'], 'photo_reference': 'AUGGfZmhXwTzoyOGSgP-VThLAzA08emIeNjc22UEkQ3OXABBil8d6JW1V9LSVB4SIWraiLfBV2jAthLxmUj_NkZsbznASKf04E5P_WNyg5EOsWhIav-e4wQUkC76mvZ--W1TYLP68pi3Xl522ywkli5aIixO-4BSpPmOR0GOpLoNJvb8pZw_', 'width': 3666}]","{'compound_code': 'V3GQ+53 Muhammad Ali Chs (Machs), Karachi, Pakistan', 'global_code': '7JP9V3GQ+53'}",4.1,16604.0,2.0,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8769452, 'lng': 67.1021059}, 'viewport': {'northeast': {'lat': 24.8782369802915, 'lng': 67.10348788029151}, 'southwest': {'lat': 24.8755390197085, 'lng': 67.10078991970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Esquires Coffee,,ChIJ4ax9XgA5sz4RYapTlu1z9ug,ChIJ4ax9XgA5sz4RYapTlu1z9ug,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","V4G2+QRH, Shahrah-e-Faisal Road, Faisal Cantonment, Karachi","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117461104156313361907"">Rania Jilani</a>'], 'photo_reference': 'AUGGfZmexGDiQQBlYlVXJDYQMJAw7_5QIzOAnmBiHqRdB70DX67QZd_Lbak_JYQ4TR1ju82SES0O6QTGMNJ-SRWRMjrU8_XLIeJwJd8r8CjKB6ofq4lt0C3YPLWF1JymnumjDY73WIEFGZupFq3X9WZAsPySd9EFxv7CND9HZzRLjDwVyb2C', 'width': 3024}]",,3.0,1.0,,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8754692, 'lng': 67.0886458}, 'viewport': {'northeast': {'lat': 24.8768004802915, 'lng': 67.09000573029151}, 'southwest': {'lat': 24.8741025197085, 'lng': 67.08730776970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Muslim Hotel,{'open_now': False},ChIJ915mU0A_sz4RHbxK3nS6o5k,ChIJ915mU0A_sz4RHbxK3nS6o5k,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","V3GQ+5FJ, Mohammad Ali Society Gulshan-e-Iqbal, Karachi","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104354950319401149615"">Itbaan Safwan</a>'], 'photo_reference': 'AUGGfZn1X9oC0n5dEoUT9iaU33HA4oydt-1wr433rX_HxNck2D5ugLYoRMGQ-HRf-zaAGCA7GNrkV7_cIfSLIi8mwRUf2oLdVGbp2C3MxoucHGpYaNVX79zvu2M34lxFhjFlbMwMirVNa54s4b3GsY_YgeMOda22ApzZWgCzWI_MRlNBsSsR', 'width': 3024}]",,4.0,164.0,1.0,8742e4403ffffff
OPERATIONAL,"{'location': {'lat': 24.8754627, 'lng': 67.0886396}, 'viewport': {'northeast': {'lat': 24.8767965802915, 'lng': 67.0899979302915}, 'southwest': {'lat': 24.8740986197085, 'lng': 67.0872999697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chenee kum hot,,ChIJ0WdRXB0_sz4RhZ3Dzr7dp8M,ChIJ0WdRXB0_sz4RhZ3Dzr7dp8M,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","Mohammad Ali Society, Karachi",,"{'compound_code': 'V3GQ+5F Mohammad Ali Society Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9V3GQ+5F'}",,,,8742e4403ffffff
