business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,plus_code,hex_id
CLOSED_TEMPORARILY,"{'location': {'lat': 24.9026341, 'lng': 67.0502235}, 'viewport': {'northeast': {'lat': 24.9039896302915, 'lng': 67.0515640802915}, 'southwest': {'lat': 24.9012916697085, 'lng': 67.04886611970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,icom.net.pk internet service provider,True,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106275142666172155137"">Karachi Sam</a>'], 'photo_reference': 'AUGGfZkwfXM7ieOJNK_qAgJss8rthhqWcs332NKUXzc87Xz9J7MQrN0qKJv5OvPZ-IkS-agL2fAD_hUucvu5O-HJX83mG0sGda6SC_x8aswkftvRStzWQF6PR5_n9CrgjFEliNZQnrvq-3N3gDtYcVayQk1IYMi3SpeAQ5GDbWZIiJGkAnG5', 'width': 1944}]",ChIJp20Ya7o_sz4Ra5FohT2HuBo,5.0,ChIJp20Ya7o_sz4Ra5FohT2HuBo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"W332+335, Road Number 6, Block 6 Liaquatabad Town, Karachi",,,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.9010551, 'lng': 67.0486931}, 'viewport': {'northeast': {'lat': 24.9024048802915, 'lng': 67.05010153029151}, 'southwest': {'lat': 24.8997069197085, 'lng': 67.0474035697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Taj Hotel۔ نیو کوئٹہ تاج ہوٹل,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108670763762773322686"">Asif Rao</a>'], 'photo_reference': 'AUGGfZkUcfRP40zkHLDLSd5xM9aF1xKQm-3F8AwPkQFpaUeFZZyYwzeDpafNPn37nFWHHIEj8YQkxLw0rtI_7UvZb9q0R-4TXkS0Mz0bwrIN1X5vipIPmEZ6eMHvGRGAgSk5xWrt_kU6AVLsfOVq73nmuRFv5mJbpS-HwADbmKszUUkLqpoE', 'width': 3120}]",ChIJTX7v7rM_sz4R0u6xif56v9w,5.0,ChIJTX7v7rM_sz4R0u6xif56v9w,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"W22X+CFG, Block 5 Liaquatabad Town, Karachi",,,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.9039143, 'lng': 67.0513829}, 'viewport': {'northeast': {'lat': 24.9052193802915, 'lng': 67.05272588029149}, 'southwest': {'lat': 24.9025214197085, 'lng': 67.05002791970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quests Labbaik Hotel,,,ChIJKW01NwA_sz4R-s4kNgec7gw,,ChIJKW01NwA_sz4R-s4kNgec7gw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"W332+HH6, Block 8 Liaquatabad Town, Karachi",,,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.8985315, 'lng': 67.0478029}, 'viewport': {'northeast': {'lat': 24.8998842302915, 'lng': 67.0490993802915}, 'southwest': {'lat': 24.8971862697085, 'lng': 67.04640141970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Pehalwan Dairy Milk Center,,,ChIJL2elFQA_sz4Rz0SUApcUGa4,4.1,ChIJL2elFQA_sz4Rz0SUApcUGa4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",22.0,"B-1 Area, B Area, Karachi",{'open_now': True},"{'compound_code': 'V2XX+C4 B Area, Karachi, Pakistan', 'global_code': '7JP9V2XX+C4'}",8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.8987764, 'lng': 67.0476492}, 'viewport': {'northeast': {'lat': 24.9001206802915, 'lng': 67.0490350302915}, 'southwest': {'lat': 24.89742271970849, 'lng': 67.0463370697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shah jee quetta hotel,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106025075732311604618"">Rashid Ali</a>'], 'photo_reference': 'AUGGfZmTM7lB45V3jwPJeXPVr4GXwZDkspn1qz_8LIsGsA8yb_1RK0r2ycRZW5rYZlpJ-Iru9P9AQJWqIXkfYMMcEannyj5n_V64MfsT-YPdEQnfsCG9Uvnb_vGFmuJ5b7AtdpaYmALRUVb2uTX_PiShLegjgGYMEWTxW5-0Tgg22YRr3uTq', 'width': 3120}]",ChIJh6zUlB4_sz4ROLa8DQeXLvk,5.0,ChIJh6zUlB4_sz4ROLa8DQeXLvk,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",1.0,"V2XX+G36, B Area, Karachi",,,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.90309, 'lng': 67.0468401}, 'viewport': {'northeast': {'lat': 24.9044215802915, 'lng': 67.04822518029151}, 'southwest': {'lat': 24.90172361970849, 'lng': 67.04552721970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Taj Mahal Tea and rice,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111852263044228438045"">bin das song</a>'], 'photo_reference': 'AUGGfZmKjRHHhoGKD-Rt2nzyoBaIUF4mHpxvTC76tmxACypGe0Oe9BtPjK04vTEIepWObnChxW_y1R_7dxtEf2f0IuiUxbuqi8x5uCzwkULWvgqUvpjach4ZM57HvdQTganoyjRcs0HSLm79xMzmcrNcyj3nH2R064C6Kx99OVkYRc5Q138v', 'width': 1920}]",ChIJXYyw-SQ_sz4R_CxiZ-12DLY,3.6,ChIJXYyw-SQ_sz4R_CxiZ-12DLY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"W23W+6PP, Block 6 Liaquatabad Town, Karachi",,,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.903373, 'lng': 67.04700869999999}, 'viewport': {'northeast': {'lat': 24.9047047302915, 'lng': 67.0483923802915}, 'southwest': {'lat': 24.9020067697085, 'lng': 67.04569441970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe abrar,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107176532867078706274"">Hassan Sadiq</a>'], 'photo_reference': 'AUGGfZkeuVdQ6gVmpf3C1nGyfgOHFOmnn9SxflUxG0r5dVNeqtnTTypKLwvlgQAfL18vUpuAbcIbF5xiN5CuUhcRJALL-tHyYCIAGa2ipZ-a6u0qJv7UieM4LUWiuI5LONS8uGIaB4rIuaW_47DyfrKCjSMmRA4OxF8sCojcpMmCJDkZhvQL', 'width': 2448}]",ChIJo1Lfkh0_sz4RSaXb5ipx26U,5.0,ChIJo1Lfkh0_sz4RSaXb5ipx26U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"W23W+8RV, Block 6 Liaquatabad Town, Karachi",{'open_now': True},,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.9064327, 'lng': 67.051313}, 'viewport': {'northeast': {'lat': 24.9077850802915, 'lng': 67.05262413029149}, 'southwest': {'lat': 24.9050871197085, 'lng': 67.04992616970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,BISMILLAH R.S cafe hotel,,"[{'height': 2460, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104817628227851935600"">BISMILLAH R.S cafe hotel</a>'], 'photo_reference': 'AUGGfZmm0Ie_epToMlYb5xCsptcjDVITBsdTibcosBItvVNf9YgxIaqqaLhYBtrStNx_TsUu-8kBb7c30INhkKsiTu3qfldK7OfhrOyDqKz4vcup8NOZ0YQVHGEL25LmPulnSMtgum2K2maEP2IsWiSYp_U2BOlxzfcjDEjz4bKTbyvEqP41', 'width': 1080}]",ChIJ8e8pNb8_sz4RoOX3lEUwDw4,,ChIJ8e8pNb8_sz4RoOX3lEUwDw4,GOOGLE,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']",,"Laloo Khait Block 10 Liaquatabad Town, Karachi",,"{'compound_code': 'W342+HG Liaquatabad Town, Karachi, Pakistan', 'global_code': '7JP9W342+HG'}",8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.906716, 'lng': 67.05263029999999}, 'viewport': {'northeast': {'lat': 24.9080612802915, 'lng': 67.0539789302915}, 'southwest': {'lat': 24.9053633197085, 'lng': 67.0512809697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Karachi Tea Shop,,,ChIJozMfbQA_sz4RQtvEQHgcY18,,ChIJozMfbQA_sz4RQtvEQHgcY18,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"W343+M3J, Block 9 Liaquatabad Town, Karachi",,,8742e4404ffffff
OPERATIONAL,"{'location': {'lat': 24.8955078, 'lng': 67.05661060000001}, 'viewport': {'northeast': {'lat': 24.8968898802915, 'lng': 67.05791673029152}, 'southwest': {'lat': 24.8941919197085, 'lng': 67.0552187697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,PFM CAFE,,,ChIJM3qJ5vw-sz4RFJEyR9PdYeQ,4.3,ChIJM3qJ5vw-sz4RFJEyR9PdYeQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"V3W4+6J5, PIB Colony Main Road, PIB Colony, Karachi",,,8742e4404ffffff
