business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,photos,opening_hours,plus_code,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.9098777, 'lng': 67.0725564}, 'viewport': {'northeast': {'lat': 24.9112533302915, 'lng': 67.0738984302915}, 'southwest': {'lat': 24.90855536970849, 'lng': 67.07120046970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Karachi,ChIJrbJ3tRU_sz4RnAnk5thy_l8,4.7,ChIJrbJ3tRU_sz4RnAnk5thy_l8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",3.0,"W35F+X23, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi",,,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9097121, 'lng': 67.0721322}, 'viewport': {'northeast': {'lat': 24.9110940302915, 'lng': 67.0734549802915}, 'southwest': {'lat': 24.9083960697085, 'lng': 67.0707570197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta hotel,ChIJ4X5SRa0_sz4R3RtJdmNJVKc,3.0,ChIJ4X5SRa0_sz4R3RtJdmNJVKc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"W35C+VVJ, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi","[{'height': 2521, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113147834892204364648"">Khalid Zafar</a>'], 'photo_reference': 'AUGGfZndJV1s3Xbr4eNtkqti-mpwwMmxmmhD2y8Mj_eqF0K7n33ZHplJ9AWzjbgY1ttQRzNlvf_pAve2fBygzLy80bioSHVjqHs4xR7diN-xub1RTFc4uqAbO_b-WUvDa3hxh3x1W1VwNF9S7RPkjRD_1WZrfBJ8JOvz18Cl_UVJv9Y9FyCi', 'width': 3006}]",,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9109881, 'lng': 67.075502}, 'viewport': {'northeast': {'lat': 24.9123255802915, 'lng': 67.0768102302915}, 'southwest': {'lat': 24.90962761970849, 'lng': 67.0741122697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Muhammad Naeem Caffee,ChIJT6MIl6Y_sz4RgNAJ4NoGy64,,ChIJT6MIl6Y_sz4RgNAJ4NoGy64,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"W36G+96R, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi",,,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9109881, 'lng': 67.075502}, 'viewport': {'northeast': {'lat': 24.9123255802915, 'lng': 67.0768102302915}, 'southwest': {'lat': 24.90962761970849, 'lng': 67.0741122697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Skylink Internet office,ChIJd9JZ_pg_sz4RAWRDIdQpx6o,1.0,ChIJd9JZ_pg_sz4RAWRDIdQpx6o,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Habib App, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109775465303998853143"">muhammad_ adil</a>'], 'photo_reference': 'AUGGfZkCOBjX7FJvsvHnPVRMiC1cRmEnHuaUx6z8y7AjIDsm3HeK4trxtzuVsqAPW9paHUejwsU08XWlr8_LhySxdTgMj6YcKPly5gXqGVS9W8rhbqtcvdYVP0cDIAwIDwMVmV4pOyCnLsHenN2Xh8nFtl1IAutEXclKVJcCQ7AUskHuclCG', 'width': 1080}]",{'open_now': True},,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9113273, 'lng': 67.0758721}, 'viewport': {'northeast': {'lat': 24.9126781302915, 'lng': 67.07722703029151}, 'southwest': {'lat': 24.90998016970849, 'lng': 67.07452906970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Food & pie,ChIJFcCDiqo_sz4REWY6tPGHzas,3.7,ChIJFcCDiqo_sz4REWY6tPGHzas,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",25.0,"W36G+G8Q, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi",,,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9069018, 'lng': 67.0732957}, 'viewport': {'northeast': {'lat': 24.9082536302915, 'lng': 67.0746485802915}, 'southwest': {'lat': 24.9055556697085, 'lng': 67.07195061970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Dubai Piyala Hotel,ChIJXQUEGDU_sz4ROVDQAy2cQvk,4.3,ChIJXQUEGDU_sz4ROVDQAy2cQvk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,"Shop no.27, Savana City, near Wasim Bagh, Block 13D-3 Block 13 D 3 Gulshan-e-Iqbal, Karachi","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113694429390595827746"">Sahir Ul Hassan</a>'], 'photo_reference': 'AUGGfZmMX9nYNnm-x-PDCvKoRjtF-0OA2W3TVf6lrWVogH-5M5UwEpNoDxTtfJ01Wen7ATRAcxNEyhC5qp0OR_heOJy7dFJENHbBO08COQLoWoR10w6I72Mg6V8YzRzpv026CJz6ImlN7bgS_kK95Ou4qgibyIHfTM5MLkiDtJOuPWhutLcr', 'width': 4032}]",{'open_now': True},"{'compound_code': 'W34F+Q8 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W34F+Q8'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9094159, 'lng': 67.077797}, 'viewport': {'northeast': {'lat': 24.9107754802915, 'lng': 67.0791672802915}, 'southwest': {'lat': 24.9080775197085, 'lng': 67.07646931970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Rival Gaming,ChIJy_dBjhc_sz4RuMjHclmkKqQ,4.4,ChIJy_dBjhc_sz4RuMjHclmkKqQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",112.0,"B 80, Block 13 D 2 Gulshan-e-Iqbal, Karachi","[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112491853402091068883"">Entesaar Faez</a>'], 'photo_reference': 'AUGGfZkV9OfVEp8icoeK9HRqN1dKjz9DmoqABER4wSofM7cAtoGBewCWtombLKLGvONZ3gVNMwyPD0VeaHkIKnVU6_AxuBczzJ8FQbK4UhIo-JHl0KUMSTKCc8560R3CY9NkH5_vozRK3_iuirxJl3F2J6hQg_D2TPraNeEpM1ASmS4i_MZf', 'width': 2080}]",{'open_now': True},"{'compound_code': 'W35H+Q4 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W35H+Q4'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9063757, 'lng': 67.072608}, 'viewport': {'northeast': {'lat': 24.9076692302915, 'lng': 67.0740090802915}, 'southwest': {'lat': 24.9049712697085, 'lng': 67.07131111970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta al-saadaat hotel,ChIJLXKoDow_sz4RyVdy1ZlOXdQ,3.0,ChIJLXKoDow_sz4RyVdy1ZlOXdQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"W34F+H25, Sehba Akhter Road, Block 13 D 3 Gulshan-e-Iqbal, Karachi",,,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9127048, 'lng': 67.0784927}, 'viewport': {'northeast': {'lat': 24.9140822802915, 'lng': 67.07981058029151}, 'southwest': {'lat': 24.9113843197085, 'lng': 67.07711261970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,azim khan hotel,ChIJPZkPOrs_sz4RRYh68Uf6H2Y,5.0,ChIJPZkPOrs_sz4RRYh68Uf6H2Y,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"jamali colony 13, D/2karachi Block 13 D 2 Gulshan-e-Iqbal, Karachi","[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109195014839870835598"">Umar Khan</a>'], 'photo_reference': 'AUGGfZkAijwm8e5XsrG7KnJ6cy5aeate_cba_xJdDr9USWWyAXCIgiLVhz3VTI_98rBn9ypknkOaomq9ddqUXPnT6wI3eMYLu6btLB7DHzilQIC2kXX4NFV14OiT8ASJtWmLimWRh6g91netrmdFJKXYmDtQr9wftshEW4b7mR15vP52sQ44', 'width': 4608}]",{'open_now': True},"{'compound_code': 'W37H+39 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W37H+39'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9068682, 'lng': 67.0769337}, 'viewport': {'northeast': {'lat': 24.9082190802915, 'lng': 67.0782864802915}, 'southwest': {'lat': 24.9055211197085, 'lng': 67.07558851970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Subhanallah,ChIJEc_6D-8_sz4RWVxtPHP5tR8,5.0,ChIJEc_6D-8_sz4RWVxtPHP5tR8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,Karachi,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100318123607551301132"">New Quetta Subhanallah</a>'], 'photo_reference': 'AUGGfZliYTVaxH3_-DwXgRD9EAdA_Dwv7AqyJIMeOjUSK31OqmvoleCIUfOS1v_zFhjBZ-UxqvQh123SfIAmMYquX4ZNhmaoj_djOylTuWrterFKAIQ1mNAN3R8wk5jVTZZTzqT3Fvsves0K1UPRZUNl6wbKUMwKq-DjDoOB3_jKGLDXn-YD', 'width': 1080}]",{'open_now': True},"{'compound_code': 'W34G+PQ Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W34G+PQ'}",,8742e4405ffffff
