business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9071624, 'lng': 67.1102555}, 'viewport': {'northeast': {'lat': 24.9085481802915, 'lng': 67.1116386302915}, 'southwest': {'lat': 24.90585021970849, 'lng': 67.10894066970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lasania Restaurant,{'open_now': False},"[{'height': 1560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112928515560227330564"">Lasania Restaurant</a>'], 'photo_reference': 'AUGGfZkNL0wwET7dYMHLQ6iaoWkbDUftGRUXDeYU6dNrQ-QNa3OKRzZCGndla5Pz8_B1AMqBahuUfUzFr0TpGLDCOaS0n1n0sy1x1StF3VKAZGsUYTu2fNDe3zwIHu3HVXXjmj7Q5NQcTH-pPz1TYf_pjQKd65YCfqN1jFAqhqqLXSH5ZmWM', 'width': 2080}]",ChIJYf1MYSc5sz4RO5la7w5lzNI,"{'compound_code': 'W446+V4 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W446+V4'}",2.0,4.0,ChIJYf1MYSc5sz4RO5la7w5lzNI,GOOGLE,"['restaurant', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",6804.0,"D1, near Bank Alfalah, Main راشد منہاس روڈ, Block 10-A گلشن اقبال, کراچی",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9103092, 'lng': 67.11579540000001}, 'viewport': {'northeast': {'lat': 24.9116203802915, 'lng': 67.1171782302915}, 'southwest': {'lat': 24.9089224197085, 'lng': 67.1144802697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Arafat,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110244425410073195840"">Nasir Maan</a>'], 'photo_reference': 'AUGGfZmLfOZwmDGF0oOM0ej45EbSDO_4eLeiJrIinbiK6v4E3gqIl_i-jbyPO7pH0DLmp7aLMDCneu3tl2fg7Ede5I4HQR9JBw4C--pSJu2z1AJKy27mr0X2XTRbv8eAT5ZEnSWZ4hX-6Y9WBuSDrVqLjTYLPTDafayBSZep2vcU6vReGdsn', 'width': 2250}]",ChIJK1tuAsU5sz4R0AtY4MNNsMk,"{'compound_code': 'W468+48 Gulistan-e-Johar, Karachi, Pakistan', 'global_code': '7JP9W468+48'}",,4.1,ChIJK1tuAsU5sz4R0AtY4MNNsMk,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",9.0,"Shop No 23, Goldline Residency, Block 16 A Gulistan-e-Johar, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9084465, 'lng': 67.1197299}, 'viewport': {'northeast': {'lat': 24.90976553029151, 'lng': 67.1211026802915}, 'southwest': {'lat': 24.9070675697085, 'lng': 67.1184047197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Ajwa Hotel,{'open_now': True},"[{'height': 12032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103766550487593519051"">Moiz A. Khan</a>'], 'photo_reference': 'AUGGfZmSuzSMF5Jpe09bpH2-IRBA7tW86-SvyypvNxlC9GpsN83I-KBlLBNvz6CfEZI3WUwYRACvFgWrxePnBL5yYo3KEnQKJUkVraz14Bwwkli5clav6wU4vDlRXs9LWyP5vcja6ef2T5QJ8av2_ryYYXekH8EStmOJihxLd_fQlfd9Mj28', 'width': 9024}]",ChIJP2iW3B85sz4RXfnxTftGe5E,,1.0,3.9,ChIJP2iW3B85sz4RXfnxTftGe5E,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",200.0,"W459+9VH, Block 17 Gulistan-e-Johar, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9062871, 'lng': 67.1160091}, 'viewport': {'northeast': {'lat': 24.9075541302915, 'lng': 67.1174087802915}, 'southwest': {'lat': 24.9048561697085, 'lng': 67.11471081970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,MAMA Chai Junction,{'open_now': False},"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117242502682649886497"">MAMA Chai Junction</a>'], 'photo_reference': 'AUGGfZmOS9b56frm-EKFPkcyqZ4HctO5Cwb2DILNzRn30zwVa_04l5ttFXN8Yvf1shp2UvGSFDQLqnuLtJaZ1EZcu0y_9Pmt88YTgPLCngkMYOEXwrdqpu_i9OkFUUQbLYq996PtU_03myfEOOR2aMc1zZ29qOpS_S5FC_uBSdYBOMi8CMbZ', 'width': 1440}]",ChIJGW3jdKQ5sz4RH5kgrDnn_DI,"{'compound_code': 'W448+GC Gulistan-e-Johar, Karachi, Pakistan', 'global_code': '7JP9W448+GC'}",,4.0,ChIJGW3jdKQ5sz4RH5kgrDnn_DI,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1059.0,"Johar Mor Bridge, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9060479, 'lng': 67.1169879}, 'viewport': {'northeast': {'lat': 24.9074227302915, 'lng': 67.1183208802915}, 'southwest': {'lat': 24.9047247697085, 'lng': 67.1156229197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta chaman darbar hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111254404022587273032"">farjad ali</a>'], 'photo_reference': 'AUGGfZkVweHa7Lh3pyw3br8FcTkNIEUPFWGLkG1GdqDb1rFBR8cdomk-9aj8VcGahRms7ZRezyQWEE9rxNaChc-hlmdvDsyuPFy9TfORnoEUn2mZKsdNQcx8sCym4L1KVby75EPv9RqMABDJxMCtSzT5zEfS9eoF8jXcY0jbqIUm6gRylMPI', 'width': 1080}]",ChIJecorh1s5sz4ROhjOAJMrcac,,,,ChIJecorh1s5sz4ROhjOAJMrcac,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"W448+CQ9, Block 19 Gulistan-e-Johar, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.908214, 'lng': 67.1204475}, 'viewport': {'northeast': {'lat': 24.9095995802915, 'lng': 67.12176628029151}, 'southwest': {'lat': 24.9069016197085, 'lng': 67.11906831970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,My Chai,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101444155917891600040"">Furqan Mirza</a>'], 'photo_reference': 'AUGGfZkNHeomSWzZVTexYnAI4VTKKM36AY-MISllpESE39ybyokHD8S8dtj4C-vHinC3lIaaYF0DYr8rtsMgpeyXB1_WDg-_yFCa3R51Tlw5XjySIqb7WbzxDvDAhW-6V8L-5IyRCPsoPRfnWUKyfHOcpktThAmBGI_lm42iCSBHP7pBrjx3', 'width': 3120}]",ChIJUT-ZugQ5sz4RTVNOL87TF_M,"{'compound_code': 'W45C+75 Gulistan-e-Johar, Karachi, Pakistan', 'global_code': '7JP9W45C+75'}",,4.4,ChIJUT-ZugQ5sz4RTVNOL87TF_M,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",27.0,"Gulistan e Johar Sector 18, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9057432, 'lng': 67.11638479999999}, 'viewport': {'northeast': {'lat': 24.9071160302915, 'lng': 67.11771878029151}, 'southwest': {'lat': 24.90441806970849, 'lng': 67.11502081970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Chaman Cafe,{'open_now': True},"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117252083786068191928"">Aftab Mehmood (Ghazi)</a>'], 'photo_reference': 'AUGGfZmOW77JCLnDUAfH02S2Q1opXzKAdiJMiQ3OLt1X5M30FeO1CU63KUv3e6mgz5eur9Vh5WSd0iRJ9iY1QJvkr_iKrWy5mBqZXhnTzfKH8mHqn5YkR4_OLxrSh4LmYnpLv56xaKTQQ4J6L4ndXWc5BVjTrPl9CqtsESX5T3O834S1xhxV', 'width': 4640}]",ChIJExK5SiA5sz4Ryote66UdeOk,,1.0,3.9,ChIJExK5SiA5sz4Ryote66UdeOk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",328.0,"W448+7HR, Block 19 Gulistan-e-Johar, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9097001, 'lng': 67.1212855}, 'viewport': {'northeast': {'lat': 24.9110952302915, 'lng': 67.1225948302915}, 'southwest': {'lat': 24.9083972697085, 'lng': 67.1198968697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,العابدھوٹل,{'open_now': True},"[{'height': 857, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107429514261782201335"">umarshah umarshah</a>'], 'photo_reference': 'AUGGfZnKm4vRTtB_8C1DJfwvmiG6p2ZCmXfBKVhxAUM4c8Ikeh09Mk_BOfF_iJU5COttL8-jq1cM-Ti1yI20ei-GfVhcYQ4-lSClQCAyW-Pp7PmYXP9hOlV8Tfk5_HMvxXCpM7OPLlU8SOVyVqFO0GJlpAWlHOjd5Y3hDBp2XZi-n-qk1Xa7', 'width': 697}]",ChIJo0uePpY5sz4RANSyOq1yqCA,,,,ChIJo0uePpY5sz4RANSyOq1yqCA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"W45C+VGM, Block 17 Gulistan-e-Johar, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.9099479, 'lng': 67.12199249999999}, 'viewport': {'northeast': {'lat': 24.9112960302915, 'lng': 67.12334023029149}, 'southwest': {'lat': 24.9085980697085, 'lng': 67.12064226970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Cafe Darbar,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113560486236749553580"">Sohail Rizwan</a>'], 'photo_reference': 'AUGGfZl2-_X1E4qo0sF-pdWXkHKl-E-ofdnZlYo1OVzgjnLBMjT_nl7kAh5-s1fjHscifGIADIzHh6wTHXnTcbxVu0pYP_DiJa5XRhUAmCQxxb36jpvjgIQ96nzyRpWp2KPnMsE7cxnVukf0PHYG1C8Q3tkkocXwdLTlhkr3ekiF7E_cCTMJ', 'width': 4032}]",ChIJS3H8DrQ5sz4RkI07iMPVPvM,,,3.0,ChIJS3H8DrQ5sz4RkI07iMPVPvM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"W45C+XQH, Block 17 Gulistan-e-Johar, Karachi",,8742e440cffffff
OPERATIONAL,"{'location': {'lat': 24.90640299999999, 'lng': 67.1122717}, 'viewport': {'northeast': {'lat': 24.9076804802915, 'lng': 67.11353568029149}, 'southwest': {'lat': 24.9049825197085, 'lng': 67.11083771970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,MashaAllah Al Naseeb Hotel,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107265683730393392865"">Humayun Ehtisham</a>'], 'photo_reference': 'AUGGfZkFrQhb9cMYHnm2hCtRYU4JIvATbcwuX5OcIx6s8kjPEr1r5LcGVKaY-7mrODGgCHib4dDeTticiV1dWUlpsFkam_jeHZE4AikgssYzIguCShgyihLtFXBoXJMa3_aZvBXWDxYI55jo-oYFP8CdQbbQx1TzCL4B68YMV2T_iHq9ZYH0', 'width': 3024}]",ChIJHWK-zVA5sz4RbpZmJFWf2MU,,,5.0,ChIJHWK-zVA5sz4RbpZmJFWf2MU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"Karachi City, Abul Asar Hafeez Jalandhari Road, Block 20 Gulistan-e-Johar, Karachi",,8742e440cffffff
