business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,plus_code,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9414642, 'lng': 67.0930027}, 'viewport': {'northeast': {'lat': 24.9427938802915, 'lng': 67.09431838029151}, 'southwest': {'lat': 24.9400959197085, 'lng': 67.09162041970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,B 93 food,ChIJv3NeOAA_sz4R2xkihckSfX4,1.0,ChIJv3NeOAA_sz4R2xkihckSfX4,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",1.0,"W3RV+H6J, Abbas Town Gulshan-e-Iqbal, Karachi",,,,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9438226, 'lng': 67.0953988}, 'viewport': {'northeast': {'lat': 24.9452043802915, 'lng': 67.09670418029151}, 'southwest': {'lat': 24.94250641970849, 'lng': 67.0940062197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Tooba Chanaar Chai Hotel,ChIJOc_O_7s5sz4Re27Ktr2_eLo,3.6,ChIJOc_O_7s5sz4Re27Ktr2_eLo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",20.0,"A-40 Abbas Town Road, Block 4A Gulzar E Hijri Scheme 33, Karachi",{'open_now': True},"[{'height': 3948, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101226728243382828521"">Hasan Sheikh</a>'], 'photo_reference': 'AUGGfZknz0Tg-R1E-sOIClSVuU9eki2i8qWWVdRaMW_sjJWtrIE-B-RouXeO6nUxkdimVy-0AAbWC0At3ak88XMQMlOpPYERaKQjhXCk3dsDbJvqGQSeCDtxORJPg6s_Cqe4ign-k4WKySrlnIWrNopL2cv13cxdrPXUKuvYVox-wowMLR1F', 'width': 3120}]","{'compound_code': 'W3VW+G5 Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9W3VW+G5'}",,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9433558, 'lng': 67.0965436}, 'viewport': {'northeast': {'lat': 24.9446909802915, 'lng': 67.0978769802915}, 'southwest': {'lat': 24.94199301970849, 'lng': 67.0951790197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Chai,ChIJNXDnfVQ5sz4R-sk4tdVEG84,4.0,ChIJNXDnfVQ5sz4R-sk4tdVEG84,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"W3VW+8JV, Unnamed Road, Gulzar E Hijri Scheme 33, Karachi",{'open_now': True},"[{'height': 872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115244709123588302023"">Najeeb Tanha</a>'], 'photo_reference': 'AUGGfZlJVcNoWo38wJisXIbtVeZwZuWGnckQOfAOH2WqomkorzZFTE5VmKnsr6T-ZYUlc2paRMLderd7E48MlGn_bYYrxigvKtOKmBxMngcDY1YJLR--32zsdQLNsdQ2BLXlGRtZfzsX8sSY3UmyKcQzo5Azev_Ow4bNOuHIsvNLlmmk0UeR', 'width': 392}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9441873, 'lng': 67.0956653}, 'viewport': {'northeast': {'lat': 24.94550893029151, 'lng': 67.0969831802915}, 'southwest': {'lat': 24.9428109697085, 'lng': 67.0942852197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bismillah Hotel,ChIJU7ymI0Y5sz4R2wZFESW8zdA,4.2,ChIJU7ymI0Y5sz4R2wZFESW8zdA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",10.0,"W3VW+M7F, Abul Hasan Isphahani Road, Gulzar E Hijri Scheme 33, Karachi",,"[{'height': 3422, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101226728243382828521"">Hasan Sheikh</a>'], 'photo_reference': 'AUGGfZlJiaeqZoRsKq1KXYgMWxY_S8iBC6BoOD44pcortEJpsx5mdgSgDPA9zLDSoCP-y1wNY4BZ-mCADTHb4ocRt7NK9r7IymGVh9cvGRP4p9h_UnIlRXBE_QhmQp_LDjs1_y9atf_kbXc5NfQl9IfigvfO5eI4lBKblx8tNZZsJzXSeAMU', 'width': 2632}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.94298509999999, 'lng': 67.09729}, 'viewport': {'northeast': {'lat': 24.9443760802915, 'lng': 67.09859758029151}, 'southwest': {'lat': 24.9416781197085, 'lng': 67.0958996197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ چنار اچکزئی ہوٹل,ChIJIe_rXLw5sz4RhT8wkRuuHEE,4.0,ChIJIe_rXLw5sz4RhT8wkRuuHEE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"W3VW+5WV, Moulana Yousuf Ludhianwi Shaheed Road, Block 1/1 Gulzar E Hijri Scheme 33, Karachi",,,,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9391352, 'lng': 67.09383609999999}, 'viewport': {'northeast': {'lat': 24.9404637802915, 'lng': 67.09515453029148}, 'southwest': {'lat': 24.93776581970849, 'lng': 67.09245656970847}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Aryana Hotel کوئٹہ آریانا ہوٹل,ChIJWQEB-dU_sz4RLjlPIO5P4p8,4.3,ChIJWQEB-dU_sz4RLjlPIO5P4p8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",28.0,"W3QV+MG4, Unnamed Road, Quaid e Azam Colony Gulshan-e-Iqbal, Karachi",,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113481811776431795816"">Shahbaz Hamza</a>'], 'photo_reference': 'AUGGfZm2O-GTDLB1d85rNFg55VU-Tli3bKoCmp2OdVpAGLlPHLHOWWwv_N6Q49HgKKZd3i9p4gqzNyXOuRcYvtRYMPlUHG1cVjb2dpWH68hhOyyJr6YcvGieCr3SgvyZLDaA-RV_eeGw_KRIxdeI17nM2BuT0bVW4XSyzNacfADw0zEsQFl5', 'width': 3120}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.94485259999999, 'lng': 67.095088}, 'viewport': {'northeast': {'lat': 24.9461607802915, 'lng': 67.09647953029152}, 'southwest': {'lat': 24.94346281970849, 'lng': 67.0937815697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,VITAL CAFE,ChIJ5bECHxc5sz4RlRFTp1ykBN4,4.7,ChIJ5bECHxc5sz4RlRFTp1ykBN4,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.0,"W3VW+W2W, Karachi",,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103504837363833790939"">Ammar Khalil</a>'], 'photo_reference': 'AUGGfZkzMFu9ySCp8FudwFupmUWPFoIno5wfDyfW_87B75n9hU08xJNvJEj9-mt8kqGM2Cw8NDgznQE5D3vBz6Y98cditoaNhHhIMTbfttN72t8F47XYkiTxERstt-Dbm4PLbGsPWUTUwQ1bKa6sV7A46BVa-o74AMbiqY3Lny9yIPbocCmN', 'width': 3072}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9414338, 'lng': 67.0986497}, 'viewport': {'northeast': {'lat': 24.9427453302915, 'lng': 67.0999585302915}, 'southwest': {'lat': 24.94004736970849, 'lng': 67.0972605697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Rohaani Hotel,ChIJWXA8yK04sz4R_anjf9Qwzpc,4.2,ChIJWXA8yK04sz4R_anjf9Qwzpc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",9.0,"W3RX+HFC, Block 1/1 Metrovil Colony, Karachi",{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106261800182024503721"">Saad Ahmed Qazi</a>'], 'photo_reference': 'AUGGfZmUkF8_ADOxnXJSzZTPMsVXEry5RIjKz8C3gzJi5nYveD2ADiwDi4Nafflmvl_HAEia0RR-hNqljZtaCS-Xo9lLuVfWYm8PATjVEkxUL3tD_34LwMnaSggRT1ScOMZEWORsNq9zquF0Un7UAxt0PeD9yXRkLNBEz1hcYCir36qHcIj2', 'width': 3024}]",,,8742e4428ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.9458469, 'lng': 67.0937519}, 'viewport': {'northeast': {'lat': 24.9472399802915, 'lng': 67.0951561302915}, 'southwest': {'lat': 24.9445420197085, 'lng': 67.0924581697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Mashallah Juice And Ice- Cream Centre,ChIJJ8kyKWE_sz4RR9BwiuUwnOg,3.5,ChIJJ8kyKWE_sz4RR9BwiuUwnOg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"W3WV+8GJ, Gulzar E Hijri Scheme 33, Karachi",,,,True,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9459558, 'lng': 67.0936272}, 'viewport': {'northeast': {'lat': 24.9472534802915, 'lng': 67.0949195302915}, 'southwest': {'lat': 24.9445555197085, 'lng': 67.09222156970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ ہوٹل,ChIJ4YxAf5k_sz4Rsbo_zb8gm9k,4.8,ChIJ4YxAf5k_sz4Rsbo_zb8gm9k,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,"Shop#19, A-One complex, Phase-2, ABUL HASSAN ISPHANI ROAD, Gulzar E Hijri Scheme 33, Karachi",,"[{'height': 2684, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105179669636724003878"">ZASAMI _</a>'], 'photo_reference': 'AUGGfZmN3L1BKwJ78I7WXbVH4EK4kAPM1_bskHSnWhopQX5W4RxlrX_2S1vNOtiXSRrmWz8N8-PNtdJEvOuX_6WugC0480xOTIjRDoMwa7CW5R3CPSaKnkzVBR9k131mujmKc6ZHmAC8P-haLEzSd56ppXVGcABvRdZOgIDsh3Ev34oMM3BT', 'width': 2889}]","{'compound_code': 'W3WV+9F Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9W3WV+9F'}",,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9412019, 'lng': 67.09937520000001}, 'viewport': {'northeast': {'lat': 24.9425746302915, 'lng': 67.1007541302915}, 'southwest': {'lat': 24.9398766697085, 'lng': 67.09805616970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Qoueta Shakir Hotal,ChIJX0r7XAA5sz4RMDf6qRAymNg,,ChIJX0r7XAA5sz4RMDf6qRAymNg,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"W3RX+FQJ, Metrovil Colony, Karachi",{'open_now': True},,,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9401489, 'lng': 67.0993914}, 'viewport': {'northeast': {'lat': 24.9414859802915, 'lng': 67.10075103029149}, 'southwest': {'lat': 24.9387880197085, 'lng': 67.09805306970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Manu's Den,ChIJXyL3plI5sz4RLCxgaTFOSAc,5.0,ChIJXyL3plI5sz4RLCxgaTFOSAc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"Shop number, Usman Arcade, behind meezan bank, 16 street 23, Block 4A Journalists Society Block 4 A Gulshan-e-Iqbal, Karachi",,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109472208522437278062"">Umair Rajput</a>'], 'photo_reference': 'AUGGfZlb7WG21FApAHA2F-kxBSFj1yIHoU1KQlUV6sqnYIM4dlfi65xOJ-mpwGvCHufjkdiSdbFo6hhLf0ydzRHl5KkczxZZsKcAb4pXuO6rxUgbU34xFSlWFYSvL1DZYdV9tV7tKYMsLgs7jO52yE-Zyjssj0pYq6S0K7y9ppMGn9Amw4nf', 'width': 720}]","{'compound_code': 'W3RX+3Q Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W3RX+3Q'}",,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.93754849999999, 'lng': 67.0920477}, 'viewport': {'northeast': {'lat': 24.9389176302915, 'lng': 67.09338288029153}, 'southwest': {'lat': 24.9362196697085, 'lng': 67.09068491970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Sheheryar Hotel,ChIJZQQ_i4g_sz4RZ_EnWs8qko0,4.3,ChIJZQQ_i4g_sz4RZ_EnWs8qko0,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",29.0,"W3QR+2R7, Arshad Sabri Road, Quaid e Azam Colony Gulshan-e-Iqbal, Karachi",{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114656137192828268472"">Mubassl Abid</a>'], 'photo_reference': 'AUGGfZk-uyKbnGgp-xsIPyvm-BvVk0-8-wZWAY-wiHYt0S-I8UYgzMV6EVkd5-RYCKXu1JuKrCTJE_WJPe4iEjWfbDojC4qMdQ5qzQT5iwYKcSkRdBOTpbdXnSj47az2Tz6s2LYoW2vlXvbIlXYOgC7H0kAiXQC0ZyinBWqENL0Df3LPvHrm', 'width': 1920}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9374052, 'lng': 67.09213059999999}, 'viewport': {'northeast': {'lat': 24.9387513302915, 'lng': 67.0934823302915}, 'southwest': {'lat': 24.9360533697085, 'lng': 67.09078436970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Masha'ALLAH Abdul Wahab Cafe,ChIJVXl2Vq8_sz4RDp8GKS8zz6I,4.1,ChIJVXl2Vq8_sz4RDp8GKS8zz6I,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",7.0,"W3QR+2R2, Arshad Sabri Road, Block 4A Quaid e Azam Colony Gulshan-e-Iqbal, Karachi",{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103710341891001678832"">Shamrez Khan</a>'], 'photo_reference': 'AUGGfZkibTHwoSEMqIIHcktNawFuQi8tcHdrdXImp02Wku59Wg9yIXwsqA92F1ExTuDiuOLVXMDrl7n9jYRNiFusptTgqew_8-rqCl_OkIHKurpwocSvE93Yihve93wrhQF_xviRhjhIrJypTnDGLv5XcypQ5dkMzJZElrAxwMqLV_v7-Qm2', 'width': 2076}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9401211, 'lng': 67.1000914}, 'viewport': {'northeast': {'lat': 24.94142443029151, 'lng': 67.1013866302915}, 'southwest': {'lat': 24.9387264697085, 'lng': 67.09868866970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Chai,ChIJIztl94Y5sz4R9s7UvZfePg0,,ChIJIztl94Y5sz4R9s7UvZfePg0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"W4R2+22W, Block 1/2 Metrovil Colony, Karachi",,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103663006338831068202"">Dr. Taha Shabbir</a>'], 'photo_reference': 'AUGGfZmot3fLfqaZ95whxNdjhTlmdAjtiZQxP-tTZ0veczhRuWb8ynLTOLCSK83kn_vLgaY--zLN76XT-nFvhR18hiNXNVzJm-9K65uofj8cCmZrSQASN91PuKIm4UNysQKSbW1oYVIDwdFMtvZVBXtyOVP11OSlCpp7zr5TxvFKHAfKsDPG', 'width': 2448}]",,,8742e4428ffffff
OPERATIONAL,"{'location': {'lat': 24.9467605, 'lng': 67.09219759999999}, 'viewport': {'northeast': {'lat': 24.9481490302915, 'lng': 67.0935904302915}, 'southwest': {'lat': 24.9454510697085, 'lng': 67.09089246970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Lucky Star Hotel,ChIJSw3oIuc_sz4RkpodrAOM9to,3.6,ChIJSw3oIuc_sz4RkpodrAOM9to,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"W3WR+PV4, Abul Hasan Isphahani Road, Gulzar E Hijri Scheme 33, Karachi",,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100042256469529711162"">Khan Ji</a>'], 'photo_reference': 'AUGGfZkxJIhieHhuckKXNYL88NOPhRse6IffLX3HwZKDL55mTkdUygFsyG90C44kFT6VnPz_VKO_KZNNUnFdcnj53NWPAfMr05ElTqIoE4hrAeW9l79M1gOezjKpAWxZTbqFLgxI8RJCO77azzqWqWe2CICZNp09V0RkBErbsWi9oq-9t7IP', 'width': 4160}]",,,8742e4428ffffff
