business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.9306843, 'lng': 67.0717785}, 'viewport': {'northeast': {'lat': 24.9320309802915, 'lng': 67.07312963029149}, 'southwest': {'lat': 24.92933301970849, 'lng': 67.07043166970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Noorani Nimco Corner,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117670343683434892880"">New Noorani Nimco Corner</a>'], 'photo_reference': 'AUGGfZlIAtDwwWs80qW5jBQ1OAqi0-tPLJu9FImn6cnSb5ryOiFWsm1ljU1mfikiTAisA6yCs2kVSxWjTXI9JILk0IrRicpA6PJEmhCZbq0D0HcH85dCkSmP9v_wz0P3B6QmTX9qZBnaJe_6PldIb0cxtpbEzTuijIz02cszniTP1qmgHuhj', 'width': 4160}]",ChIJdZSrdWo_sz4R2HvMz14AhpE,"{'compound_code': 'W3JC+7P Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3JC+7P'}",1.0,3.7,ChIJdZSrdWo_sz4R2HvMz14AhpE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",21.0,"Federal B Area Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9320682, 'lng': 67.07103409999999}, 'viewport': {'northeast': {'lat': 24.9334438802915, 'lng': 67.0724179802915}, 'southwest': {'lat': 24.9307459197085, 'lng': 67.0697200197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Al Hassan,{'open_now': True},"[{'height': 706, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114875635012115175792"">Amjad Khan</a>'], 'photo_reference': 'AUGGfZnq3WRECgLkNdksdcLRuCaa79XcQ4Oe3l0Nhfl3pGYPDXhlhK_lqWCkQmOmCloH0EkSRb60rOxKPBDdGwgK1oaOAyMGr1IrTPBnJX4OKZhkb20hapNnQtQbEq9UAt08wEJJB6rs2r8pUzc-JId2zyPXZ4vEZjZld_mUQWeB7gmgx_fW', 'width': 720}]",ChIJ7xzlgf8_sz4RACHcL8mHTNw,,,5.0,ChIJ7xzlgf8_sz4RACHcL8mHTNw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"W3JC+RCF, Federal B Area Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9293862, 'lng': 67.0760634}, 'viewport': {'northeast': {'lat': 24.9307746302915, 'lng': 67.0773723302915}, 'southwest': {'lat': 24.9280766697085, 'lng': 67.07467436970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Usama cafe,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108121789512456162928"">Naseebullah K</a>'], 'photo_reference': 'AUGGfZmOqN7HPkJq0VtKNCFVYgypxK43nJFSnuR6-MVN4rasEhDXPxVPNdRHgG7bfBxqiQdW8W1c0K2WN-kbq95ABT6Nr_WuZTAuBVmHMi_X6BIbVeSpp3QU2VxgLFCzGwlvNB3ToZySXlPXRluZNyTQ4KpWflXwyy-N7z8-OYJoyL7kQCsH', 'width': 3120}]",ChIJU0cj8Wk_sz4R9afq2MRkkfM,"{'compound_code': 'W3HG+QC Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3HG+QC'}",,5.0,ChIJU0cj8Wk_sz4R9afq2MRkkfM,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.0,"Plot 1382, Block, 14, Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9290032, 'lng': 67.0756631}, 'viewport': {'northeast': {'lat': 24.9303172302915, 'lng': 67.0770461802915}, 'southwest': {'lat': 24.9276192697085, 'lng': 67.07434821970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Gul Shair Agha hotel,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116294141674807842787"">Syed Muzammil Hussain</a>'], 'photo_reference': 'AUGGfZma1xSUNfAI8H9VthrA6IfBzoxx4hkSj-4QP0-RYvoWs8S5sSndH-Rve3jgIOp-K_dYSJZED7hKDoqIFEa9oQ5fu9X1Cha9c9mA4UKqFxWHfcVIU7h2fHWYjN7DiRNQ623BSzrGMtzWag_H71pEX1U0s3inzAWCR7N6_s-sFryDCMfp', 'width': 2268}]",ChIJP9bKY08_sz4RKbwAUMvl86o,"{'compound_code': 'W3HG+J7 Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3HG+J7'}",,3.5,ChIJP9bKY08_sz4RKbwAUMvl86o,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.0,"1349 Shop, No 1,R, Federal B Area Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.928508, 'lng': 67.0719435}, 'viewport': {'northeast': {'lat': 24.9300083802915, 'lng': 67.0734788302915}, 'southwest': {'lat': 24.9273104197085, 'lng': 67.0707808697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Mehboob Tea Shop,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116294141674807842787"">Syed Muzammil Hussain</a>'], 'photo_reference': 'AUGGfZm33BzEuxbXYghxwiECHUH7ujI_TxnIznj2_84crMJ0flqCP_cZULDaTqA-quesvmNGXFvCLGwgkYDTbDbhfo2j-U4m5gY6IBA0ULKhQVnYKGmkHlreq7qgeFDWDYpzmhY0bWcz5pdP6ybsHfkKxwMDt3XEDlIYKQ-oQgNn5X4DGxOH', 'width': 2268}]",ChIJWR0sJ9I_sz4RkOuhlCfOHws,"{'compound_code': 'W3HC+CQ Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3HC+CQ'}",,3.7,ChIJWR0sJ9I_sz4RkOuhlCfOHws,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.0,"shop talimi, mehboob tea, bagh aisha manzil, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9288724, 'lng': 67.07582409999999}, 'viewport': {'northeast': {'lat': 24.9302590802915, 'lng': 67.07713573029149}, 'southwest': {'lat': 24.9275611197085, 'lng': 67.07443776970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Lucky Hotel,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116294141674807842787"">Syed Muzammil Hussain</a>'], 'photo_reference': 'AUGGfZlDoPTYGPzgEF9_cALAbutpfS38B7WmaKp-l29Hw6PyXXrcKJnAnq4LBzjzdxNthhhN_3-Vp_8blnyeLvPwJgTitYYoOxpHRPelNTQHkcNKyAurOqfogl2GxXBmJOnjG40F-Db14SCgjtvhmX_bHKhkobKBPj02flJN0bD_O5qaJtjh', 'width': 2268}]",ChIJS6Rtkyg_sz4Ri6Doq8tki_Y,"{'compound_code': 'W3HG+G8 Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3HG+G8'}",,3.0,ChIJS6Rtkyg_sz4Ri6Doq8tki_Y,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Plot R, 361, Naseerabad Block 15 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9277575, 'lng': 67.07400729999999}, 'viewport': {'northeast': {'lat': 24.9291460802915, 'lng': 67.0753166302915}, 'southwest': {'lat': 24.9264481197085, 'lng': 67.07261866970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Delight Bakery,{'open_now': True},"[{'height': 2006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114634005494425624689"">Hasan Shah</a>'], 'photo_reference': 'AUGGfZlwn9hxevteCCOvWXZ_coUcJ7c2hjyR6HRqXNwE_TwJRh4xL6hRfQhw53LVrMfywdZi8RyReaj3LR8WDYlNVWq-Nm8gZLIFyQJUTTbDo8k-CzSf3_Dx3Y9K4lR6GyOUJfL-p1aQNza-UOxJ4fPXmF7CUV4-jlUyzAKiVLok3fka_-XM', 'width': 4128}]",ChIJUXaDPxo_sz4RO_aiIH7xi1c,"{'compound_code': 'W3HF+4J Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3HF+4J'}",,5.0,ChIJUXaDPxo_sz4RO_aiIH7xi1c,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Plot R 1785 Block, 14, Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.93555869999999, 'lng': 67.07179239999999}, 'viewport': {'northeast': {'lat': 24.9369324802915, 'lng': 67.07317398029151}, 'southwest': {'lat': 24.93423451970849, 'lng': 67.0704760197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Meetup,{'open_now': True},"[{'height': 864, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102903935075960502651"">Abdul Moiz</a>'], 'photo_reference': 'AUGGfZlxvwojndJCVyUg0YSp9pc04SjrzhLQnDxr6HEMoCLMvWvrxlWNhT0IkESNcs1EiYb3vy8aOoQ1FCV6Fm48O6Y6E4HK-NSHJjXzg3JPTjSb3X56J8-0Q10b052JrBVbvV_G8Y2yJuOwqf44_kDcAefZ553OJhSzqoMFMA6DlDEZASV2', 'width': 1152}]",ChIJFTY0PLs_sz4RTsdi0Ycp0FY,,,4.5,ChIJFTY0PLs_sz4RTsdi0Ycp0FY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",21.0,"W3PC+6PF, Block 13 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9356101, 'lng': 67.075299}, 'viewport': {'northeast': {'lat': 24.9369741802915, 'lng': 67.0766734802915}, 'southwest': {'lat': 24.93427621970849, 'lng': 67.0739755197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,AYAN HOUSE BLOCK C-30,{'open_now': False},"[{'height': 424, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104267468965700736162"">Syed Ayan Ali</a>'], 'photo_reference': 'AUGGfZntyMlvAKK6FG_shEjtk-eFuy99upk3PpAGdpnk-9MrqbFZqZKt1hevSPdfF9S_60dYMg-lv_QhI18rBjaqe7gUyXiTmuCUVcEVqGau1AhFWx8lS2KKWk-drt2H-WhjNHV-KO6YdYOqFaw6Y5yLcSTK5lpkwq69JalqukyZC_46PWr-', 'width': 640}]",ChIJVcj6oZs_sz4RwWjhOuK7PRU,,,5.0,ChIJVcj6oZs_sz4RwWjhOuK7PRU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"petrol pump, Road, Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
OPERATIONAL,"{'location': {'lat': 24.9351596, 'lng': 67.0761917}, 'viewport': {'northeast': {'lat': 24.93652748029151, 'lng': 67.07752168029151}, 'southwest': {'lat': 24.9338295197085, 'lng': 67.07482371970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Water Pump Kathiyawari Choley واٹر پمپ کے مشہور شفیق بھاٸ کے کاٹھیا واڑی چھولے,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108831677463857807932"">Ehsaan Baloch</a>'], 'photo_reference': 'AUGGfZkR8AZgvWc2bfisGuQ47c14p2KZTFkcVeeO5BRMyJJk5tmkI0t7D25p0iAfSwk034xXkhRdGpgHnKXC48t6LrKD2IK3RJpNF47IDCDgZhheLsvA5-Ttt4JwcQjP4BPZ_JkUOY7nm_G_7CYqKetfAtaR-wpCFCpcH-fTKHpGB7meY8_4', 'width': 2448}]",ChIJ1UXvh54_sz4RDE8PCmbCTpw,,1.0,4.2,ChIJ1UXvh54_sz4RDE8PCmbCTpw,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",115.0,"W3PG+3F8, Water pump Bike Market road, Naseerabad Block 14 Gulberg Town, Karachi",,8742e442effffff
