business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,scope,types,user_ratings_total,vicinity,photos,plus_code,price_level,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.891633, 'lng': 67.0331138}, 'viewport': {'northeast': {'lat': 24.8930082302915, 'lng': 67.0344934302915}, 'southwest': {'lat': 24.8903102697085, 'lng': 67.03179546970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Khan Net Cafe,{'open_now': True},ChIJz4qmaAI_sz4RTQTK2KOWpmg,4.1,ChIJz4qmaAI_sz4RTQTK2KOWpmg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,"V2RM+M65, Sultanabad Colony Sultanabad Colony, Karachi",,,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8928681, 'lng': 67.0309535}, 'viewport': {'northeast': {'lat': 24.8942168802915, 'lng': 67.0322935802915}, 'southwest': {'lat': 24.8915189197085, 'lng': 67.02959561970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Qalandri Tea Stall,{'open_now': True},ChIJ5239yVI_sz4RTbCkajvTiTE,5.0,ChIJ5239yVI_sz4RTbCkajvTiTE,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.0,"V2VJ+49W, Main Road, opposite haidri masjid, Street Number 2, Golimar, Karachi","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102723747288149223735"">Muhammad Ahmed</a>'], 'photo_reference': 'AUGGfZlCsSCss-iaYaw-6E69tHefy8iNSNbrkXukvMaWXEUeqacMH0_lmh5Q_BDdwBt2ic2mrJ62Mwpne3Cgl2VHQcHCN4KKGCDZylaApWwBm7J9xr845XV3Ol9CnD3TFyxoFrtFuKFdwfQe7miWhlYPCF_og41ZzPdfB6rzma6dpgQZTjx7', 'width': 3264}]",,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8867339, 'lng': 67.0334515}, 'viewport': {'northeast': {'lat': 24.8881194802915, 'lng': 67.0348368802915}, 'southwest': {'lat': 24.88542151970849, 'lng': 67.03213891970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Quetta Darbar,{'open_now': True},ChIJR2dw42s_sz4R_-Fe_1WL-gM,4.0,ChIJR2dw42s_sz4R_-Fe_1WL-gM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",32.0,"V2PM+M9W, Business Recorder Road, Garden East, Karachi","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117069471567121963436"">Hasan Khan</a>'], 'photo_reference': 'AUGGfZmxlXsYFZYODge0qAFP6A6ALoKAvDiiodw-MZRGkLbrG53cPDjEV9ZJO7bT9Z8kagq51wN_opi4vl7DyEPIhEQ1aA-a9RMwX_q0TqU3fOQwoqwixX6voN3ml-2QW03DTd8iiAdhXpfp6-khd8UyKD4RT25w0n03dWr3_E0JNv5KjxPU', 'width': 1080}]",,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8861715, 'lng': 67.0292813}, 'viewport': {'northeast': {'lat': 24.8875477802915, 'lng': 67.0306750802915}, 'southwest': {'lat': 24.88484981970849, 'lng': 67.0279771197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Taaj Cafe,{'open_now': True},ChIJcweiFwo_sz4Rg2DpeO_zJdU,,ChIJcweiFwo_sz4Rg2DpeO_zJdU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"V2PH+FMQ, Alfred Street, Hamid Colony, Karachi",,,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8865923, 'lng': 67.0336184}, 'viewport': {'northeast': {'lat': 24.8879127302915, 'lng': 67.0349903302915}, 'southwest': {'lat': 24.8852147697085, 'lng': 67.0322923697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Jamalo hotel. جمالو ہوٹل,{'open_now': True},ChIJY9aXhBQ_sz4RyFPn8-nXwh8,4.2,ChIJY9aXhBQ_sz4RyFPn8-nXwh8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",120.0,"V2PM+JCQ, Musket Road, Garden East Garden East, Karachi","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111308056331292541026"">Arshad Mehmood</a>'], 'photo_reference': 'AUGGfZk7kLajchPXk4-dqZgf4VtCR8B2FF7ivXy7zurDCfDk7tMyXe4Lhqm7fXEtFY-qok-n_YuN3Cc1ppNp23Zzzdn4zmgr0zD1L-XNdEdox3RXbwfsqiojygRPjoqU2YFvMCu_o0jEcPNom9hrRYghKBaUHNL6FxO2GB7ZHzTNybr5C32R', 'width': 3264}]",,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8954096, 'lng': 67.0304254}, 'viewport': {'northeast': {'lat': 24.8967585802915, 'lng': 67.0317743802915}, 'southwest': {'lat': 24.8940606197085, 'lng': 67.02907641970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chaati Hotel Peer Abad#2,{'open_now': True},ChIJ__-LObM_sz4RCeDGuAchAKM,3.7,ChIJ__-LObM_sz4RCeDGuAchAKM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",36.0,"2, Awanabad Road, Lundi","[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108567655052734264366"">Multi Solutions</a>'], 'photo_reference': 'AUGGfZmWl533eQez6gwQOvRhNtIaq7Zx9tbwqt31piTw7tMnwNJ54gQm5zsTRGiZ8sIx7YNpz9U_datm7y2YVJt6vEPZF6sGi4DVGI1jFrVr35UwdkhtDMrkfmt9Z7avD9jYg_GEPdXvfx7L5Zu0Pde24Zs8ad4M-Urio6YTH_EB2BCqd6Ui', 'width': 5312}]","{'compound_code': 'V2WJ+55 Gulbahar, Karachi, Pakistan', 'global_code': '7JP9V2WJ+55'}",,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8848843, 'lng': 67.03009039999999}, 'viewport': {'northeast': {'lat': 24.8862841802915, 'lng': 67.03139308029151}, 'southwest': {'lat': 24.8835862197085, 'lng': 67.02869511970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Karremok e hotel,,ChIJLRa3FwA_sz4RmjiwkcYi5-I,,ChIJLRa3FwA_sz4RmjiwkcYi5-I,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"V2MJ+X24, Nishtar Road, Hamid Colony, Karachi",,,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8848751, 'lng': 67.0300733}, 'viewport': {'northeast': {'lat': 24.8862745302915, 'lng': 67.0313777802915}, 'southwest': {'lat': 24.8835765697085, 'lng': 67.02867981970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta abdullah hotel,{'open_now': True},ChIJj19qmws_sz4Rg9brp6k4w20,3.8,ChIJj19qmws_sz4Rg9brp6k4w20,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,"V2MJ+X24, Nishtar Road, Hamid Colony, Karachi","[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115941752486895714749"">Ashfaq Ahmad</a>'], 'photo_reference': 'AUGGfZn2HhyY5oh27j1GqAIQXdwUwtbMrUi8AccKud7wqcNdgY5MsgHyydIt66cRcfdSKFpBciMJpMtFjyw9mRzn9IyqgReG1msWSkWVOCX46pcLtRPVihxcCsb4p2TJ1r-a4AUEm9L05nczFxcv-QSJkfmhAiGTK9eO7NgEbiO2GkGS7XHw', 'width': 1968}]",,,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8852969, 'lng': 67.0337308}, 'viewport': {'northeast': {'lat': 24.8866215302915, 'lng': 67.03502383029151}, 'southwest': {'lat': 24.8839235697085, 'lng': 67.03232586970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Al Saeed کیفے السعید,{'open_now': True},ChIJbZ7Yggk_sz4RuSShIgyeCpg,4.5,ChIJbZ7Yggk_sz4RuSShIgyeCpg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",211.0,"442 Weeb St, Garden East, Karachi","[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100640908962680659280"">Muhammad Hammad</a>'], 'photo_reference': 'AUGGfZn2S3EJ2hGLW08doCIoaLR_AfP8j88n1xiLkwNayuRRBurYFxen8NQbL8NeQKyEnCEeJ0a_DjzcT9Zl_Kpfx_NogdOhKiW_n_TqgqYJspXws1OCFIGubHS9tRy2tSdfjflxlM_dvwhG5yQ9VK33gKHPE3gQxUB__tTaj3u1M6sbxjxj', 'width': 3072}]","{'compound_code': 'V2PM+4F Garden East, Karachi, Pakistan', 'global_code': '7JP9V2PM+4F'}",2.0,,8742e4431ffffff
OPERATIONAL,"{'location': {'lat': 24.8843018, 'lng': 67.0332895}, 'viewport': {'northeast': {'lat': 24.8856833802915, 'lng': 67.0346838302915}, 'southwest': {'lat': 24.8829854197085, 'lng': 67.03198586970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Jan Nisar,,ChIJ6_X9DMk_sz4RFPhas9f9B9I,,ChIJ6_X9DMk_sz4RFPhas9f9B9I,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"V2MM+Q7G, Garden East, Karachi",,,,,8742e4431ffffff
