business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,photos,opening_hours,price_level,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.8600563, 'lng': 67.00980779999999}, 'viewport': {'northeast': {'lat': 24.8614732802915, 'lng': 67.01111273029152}, 'southwest': {'lat': 24.8587753197085, 'lng': 67.0084147697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Msoffice bulding,ChIJZQNNFKU_sz4R6NL8tZEVoJk,"{'compound_code': 'V265+2W Nanakwara, Karachi, Pakistan', 'global_code': '7JP9V265+2W'}",5.0,ChIJZQNNFKU_sz4R6NL8tZEVoJk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"MS Office Building, MS Office Buildingmodeltown, Chand Bibi Road, Nanakwara, Karachi",,,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8599278, 'lng': 67.00857669999999}, 'viewport': {'northeast': {'lat': 24.8611788802915, 'lng': 67.0099924302915}, 'southwest': {'lat': 24.8584809197085, 'lng': 67.0072944697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Hashmi Hotel,ChIJl4A8VEI_sz4Rz9N8NeyN5io,,5.0,ChIJl4A8VEI_sz4Rz9N8NeyN5io,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"V255+R8Q, Chand Bibi Road, Nanak Wara Adhumal Oodharam Quarter, Karachi","[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107827110032870964241"">Laraib Ahmed Ferozuddin Qadri</a>'], 'photo_reference': 'AUGGfZlbJWgEl3a6VJqO7mZmIa0ouV_ky6LjASpddRN6AQAff142HCAHCUTZGS6EkO6IYDwu55tKmfWXYBtI7SabAXw4Y20ViKTNToXzkIqgwAsmc2zURrhxqqsMW7c3njqVNF7XD9d9vUlw2RWdkMd91HSNSCHMFA_4KeCa5JlgskisGTD2', 'width': 4618}]",,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8600057, 'lng': 67.0112484}, 'viewport': {'northeast': {'lat': 24.8613233302915, 'lng': 67.01255383029151}, 'southwest': {'lat': 24.8586253697085, 'lng': 67.0098558697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,OPD Canteen,ChIJ4yqDcBA-sz4RtjhpdubRhb8,"{'compound_code': 'V266+2F KMC Work Area, Karachi, Pakistan', 'global_code': '7JP9V266+2F'}",3.9,ChIJ4yqDcBA-sz4RtjhpdubRhb8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",20.0,"Civil Hospital Road, KMC Work Area, Karachi","[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116341689301434414046"">OPD Canteen</a>'], 'photo_reference': 'AUGGfZk75bDqtSKc0j9-KM7sGpzgIWdhZNJNWc3VDzyKfY2CYl1K7NbFIh9jHoB8ySZJgt9b87fhLIKPuFpkuwQRmf7NMku7nGjgJB0oOi5Lv8rssS02JOdOyyfkmyMD3pBMInSFaf2ItSt3MwEU-0xlLFX-VnQBwGNvRczPdOZqFmCq_Yia', 'width': 4608}]",{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8574046, 'lng': 67.00998779999999}, 'viewport': {'northeast': {'lat': 24.8587870802915, 'lng': 67.01131133029149}, 'southwest': {'lat': 24.8560891197085, 'lng': 67.00861336970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Central Perk pk,ChIJ4_ZSVZA_sz4R9IKnteVSbg8,"{'compound_code': 'V245+XX Adhumal Oodharam Quarter, Karachi, Pakistan', 'global_code': '7JP9V245+XX'}",,ChIJ4_ZSVZA_sz4R9IKnteVSbg8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Dha main Boulevard line # 6, Adhumal Oodharam Quarter, Karachi",,,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8571458, 'lng': 67.0085148}, 'viewport': {'northeast': {'lat': 24.8584793802915, 'lng': 67.00982438029152}, 'southwest': {'lat': 24.8557814197085, 'lng': 67.0071264197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,𝑸𝒖𝒆𝒕𝒕𝒂 𝑨𝒍 𝑨𝒛𝒊𝒛 𝑯𝒐𝒕𝒆𝒍,ChIJlYfe5nk_sz4R27bICkxWpFo,,4.3,ChIJlYfe5nk_sz4R27bICkxWpFo,GOOGLE,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']",16.0,"V245+VC2, Lunda Bazaar Adhumal Oodharam Quarter, Karachi","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117893104412942194549"">Travelogue PK</a>'], 'photo_reference': 'AUGGfZlp4I6uMsgZ8ioEBudhUYLqXp4flL8NZqopyOOWIQffmaz_9t8aBMAl8qj8PXiNc5O-81qFh0JgpGnR19wcrGq-Z-0FqhzfwDNuuKPeF-o_H8w1t4TrBKG8y_IKKK2FCnKPfbViDE87mx1YrPuqBeanvI-l_Lff3OSpyL2lPfiK6gcT', 'width': 1080}]",{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8581897, 'lng': 67.0073067}, 'viewport': {'northeast': {'lat': 24.8594872302915, 'lng': 67.0087275302915}, 'southwest': {'lat': 24.8567892697085, 'lng': 67.00602956970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New quetta Bismillah Hotel .,ChIJdZT8L2I_sz4RljR6GUY4igc,,,ChIJdZT8L2I_sz4RljR6GUY4igc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"V254+6WM, Adhumal Oodharam Quarter, Karachi",,,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8597655, 'lng': 67.0122572}, 'viewport': {'northeast': {'lat': 24.8611389802915, 'lng': 67.0135791302915}, 'southwest': {'lat': 24.8584410197085, 'lng': 67.0108811697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Irfan Hotel,ChIJI3oWvmk_sz4RN2mcqZSdPA8,,4.0,ChIJI3oWvmk_sz4RN2mcqZSdPA8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"V256+WW2, KMC Work Area, Karachi","[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117145776326471368429"">funny videos suprr meme</a>'], 'photo_reference': 'AUGGfZkxikpAIXjTcAgy0CgBuSNSyZJVG_JiPzkw7Tzniok559HB9MjlIWZbKYxSJD0FVDzavWown5tyw1GGe-Wul9Dtb_Z7ofjFd8WWHCLRxSCmwNKTcRZuGehg2BQ4RYU2JclAB1NNtEXK_DU4xlm4G68hBPX-LsTYtOp9rZ8ivSuXtI11', 'width': 1728}]",,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8584154, 'lng': 67.0069886}, 'viewport': {'northeast': {'lat': 24.85973253029151, 'lng': 67.00838333029151}, 'southwest': {'lat': 24.8570345697085, 'lng': 67.00568536970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Nooraddin Hotel,ChIJbbOs4FI_sz4RqhcCUHf4xAk,,4.0,ChIJbbOs4FI_sz4RqhcCUHf4xAk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"V254+9Q9, Chaand Bibi Road, Nanak Wara Adhumal Oodharam Quarter, Karachi","[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101296782350335556951"">nk khan . .tigar tareen</a>'], 'photo_reference': 'AUGGfZkEtbnZZH50h3mblSSNkjVvV63itxJ5w2RWeoTGHgMz7UKeFvPGuk453ztKbwlk3kzbyiM2OC6DSQoFClFDzgva5xKp9OEUg_2m4uYlRf3ygGNlHjK80wtqaTaQsXw-CX-DMVpPy5cZFboyA57vTi-t2H_dN9Yk1T7so2qKkJRGP9j8', 'width': 3456}]",{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8566813, 'lng': 67.0086996}, 'viewport': {'northeast': {'lat': 24.8580240302915, 'lng': 67.0100331302915}, 'southwest': {'lat': 24.8553260697085, 'lng': 67.0073351697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Azaad Umeedwar Hotel,ChIJ3WnJ7UU_sz4RTfbkd9-UfKg,,3.5,ChIJ3WnJ7UU_sz4RTfbkd9-UfKg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"V245+MFG, Lunda Bazaar Adhumal Oodharam Quarter, Karachi",,{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8600465, 'lng': 67.0055086}, 'viewport': {'northeast': {'lat': 24.8614172302915, 'lng': 67.0068894802915}, 'southwest': {'lat': 24.8587192697085, 'lng': 67.0041915197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta zalzala hotel,ChIJG87mshE_sz4RZf4g8ImSXNA,,3.0,ChIJG87mshE_sz4RZf4g8ImSXNA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"V264+266, Bhimpura, Karachi",,,,,8742e4432ffffff
