business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 24.8670826, 'lng': 67.025592}, 'viewport': {'northeast': {'lat': 24.8685037302915, 'lng': 67.0270919802915}, 'southwest': {'lat': 24.8658057697085, 'lng': 67.0243940197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,IBA Aman Tower Cafe,{'open_now': False},"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112779419383702828971"">Masood Zalmay</a>'], 'photo_reference': 'AUGGfZkD3HJVAwhyjD1nYwJKIRZLKdRleJf94SD9diI7byl5mmS_M45rrINGmIUsbQiLUmLJ-cWbXSU4YZQdVk7Wmc9UIPXGLQiihjqkdDn8vdo0fTDtQIDgo34XIe6qd0IyQB8f37AYt-3jsWTsqF50UsefNZ66_dLIykHYTiyDSfVd8vsY', 'width': 2232}]",ChIJk_V8dWs-sz4RPKH_ul7Nbew,"{'compound_code': 'V28G+R6 Saddar Karachi, Pakistan', 'global_code': '7JP9V28G+R6'}",2.0,4.3,ChIJk_V8dWs-sz4RPKH_ul7Nbew,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",90.0,"IBA Aman Tower, 5th floor, saddar, Saddar, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8698615, 'lng': 67.0340623}, 'viewport': {'northeast': {'lat': 24.8712437302915, 'lng': 67.03543858029151}, 'southwest': {'lat': 24.8685457697085, 'lng': 67.03274061970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Junaid Jamshed Hotel,,,ChIJ67Lzo4I_sz4RpYURdazVeZc,,,,ChIJ67Lzo4I_sz4RpYURdazVeZc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"V29M+WJV, Central Jacob Lines, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8668454, 'lng': 67.03329029999999}, 'viewport': {'northeast': {'lat': 24.8682407302915, 'lng': 67.0346192302915}, 'southwest': {'lat': 24.8655427697085, 'lng': 67.03192126970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New alsadate cafa,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117097142552507899705"">Bilalahmad Nangial</a>'], 'photo_reference': 'AUGGfZmkTYxMUM_PBuTWS0Mnn3QSambExGFFnFnGaG-wjAa9FyaANX4_uDMrT2dpPSkGrMsRlzMXFb-YEnxSB7FTWU2khITnkS1Lz_pOufbo9TwXWFQigxFzdwd8c_-3tc7qk_NEd3OoARiEn4j4rtBjPdEzwS1rxF4qGaTfj4S7dGwowYUv', 'width': 3120}]",ChIJAUnaDgA_sz4RYuEySSYQQSQ,"{'compound_code': 'V28M+P8 Central Jacob Lines Karachi, Pakistan', 'global_code': '7JP9V28M+P8'}",,5.0,ChIJAUnaDgA_sz4RYuEySSYQQSQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"57 Saqib Shaheed Road, Central Jacob Lines, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8731383, 'lng': 67.0313802}, 'viewport': {'northeast': {'lat': 24.8744987302915, 'lng': 67.03271973029152}, 'southwest': {'lat': 24.8718007697085, 'lng': 67.03002176970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Loaded Fries,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104494653911160733401"">Zeeshan Aslam</a>'], 'photo_reference': 'AUGGfZk2umzdSy11pXIyPZWPKqtCHn3Nu0c_R0vXCvpLRU3M18HMDvYIkmb2NGwC1I_YAz2iqinW-X2p3pp7BywfZZZEwG0qRINNwNC6XcQqEkHp4laApVpy8hlWx8mPWHQXhLaJCivDGkjWcDY_8gzYHIkipl06A43PJ7Aslh7vlAbd6NkO', 'width': 720}]",ChIJt-xEkSo_sz4RaWqeJTEGbJY,"{'compound_code': 'V2FJ+7H Parsi Colony Saddar, Karachi, Pakistan', 'global_code': '7JP9V2FJ+7H'}",,4.5,ChIJt-xEkSo_sz4RaWqeJTEGbJY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"102 Chagatai Road, Soldier Bazaar Parsi Colony Saddar, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8692949, 'lng': 67.0351371}, 'viewport': {'northeast': {'lat': 24.8706610802915, 'lng': 67.03647823029151}, 'southwest': {'lat': 24.8679631197085, 'lng': 67.03378026970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Al Makkah Cafe Karachi Hotel,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115148201791020075523"">Raheel Ahmed</a>'], 'photo_reference': 'AUGGfZkW8qDQbWP4Pg-toT1qovnWPrHs0GjtoxQW-v_Wk3Qc_urHvYUhV-l2jfTgAlWLJXmFZcHdSA8mK9vpZ6zY4CTMzzqyU6LSzfKUDqEfktUZjoJK6Yc8tkby3n7aDXpRu-c1aBuZJb_BkFABQeX21p9Kybjxm4Wb297EFM7GJ8IZdWuS', 'width': 1920}]",ChIJGziIFrA_sz4RH5FkB1L_2Zg,,,4.3,ChIJGziIFrA_sz4RH5FkB1L_2Zg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",3.0,"V29P+P36, Jacob Line, Central Jacob Lines, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8685693, 'lng': 67.0353069}, 'viewport': {'northeast': {'lat': 24.8699411302915, 'lng': 67.0367014802915}, 'southwest': {'lat': 24.86724316970849, 'lng': 67.03400351970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Soul Brothers Cafe,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113900615661218652086"">Waris Awan</a>'], 'photo_reference': 'AUGGfZl9apDFhhfuOvOGXNi2NUcH8lBlec9HiCyKwU5zFemV_kvRD7feGm8KCxfEFWHfPaOhTU5iMCGtsZq0OWMHMU4BgqE0jrNmombeUx6QtlgupCMvIJ41E1IR6mGAwxBeONrl6q7dqgayvUL82wX0DAAWl6QfQ33ePynObbJQo5EyBPE7', 'width': 3456}]",ChIJcwPvnLw_sz4REp-1gx68by4,,,4.6,ChIJcwPvnLw_sz4REp-1gx68by4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",9.0,"V29P+94W, Madina Road, Central Jacob Lines, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8717026, 'lng': 67.0346362}, 'viewport': {'northeast': {'lat': 24.8729670802915, 'lng': 67.0358924302915}, 'southwest': {'lat': 24.8702691197085, 'lng': 67.03319446970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Shah,{'open_now': True},"[{'height': 1728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118384804247310267189"">Cafe Shah</a>'], 'photo_reference': 'AUGGfZl8ju3nLQNybehuNKSaFyQb44vIObsbYUMq9cSWOcIX4pAcLWo_PKpH3KPROI2DCCT1P4GjQHBAzIPfUxYIJ0O0F382GXAnSJzPBi_YHHzzv0Vs7cuyo2645YxIpd_LgQpj8_rXiEgYPZbOjzOejIhtGahRAA0QJkpfxdCExqAfTyth', 'width': 3936}]",ChIJE9CM-tY_sz4RTmwZlSSIxEw,"{'compound_code': 'V2CM+MV Parsi Colony Saddar, Karachi, Pakistan', 'global_code': '7JP9V2CM+MV'}",,4.3,ChIJE9CM-tY_sz4RTmwZlSSIxEw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,"121 Soldier Bazaar Road, Parsi Colony Saddar, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8737546, 'lng': 67.0292056}, 'viewport': {'northeast': {'lat': 24.8751020302915, 'lng': 67.0305641802915}, 'southwest': {'lat': 24.8724040697085, 'lng': 67.0278662197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta MashaAllah Cafe,{'open_now': True},"[{'height': 3168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113453064043300985454"">Kashif Abdul Razzaq Misidia</a>'], 'photo_reference': 'AUGGfZnYxoRlQ0ac-uCBRCP2p_7GGnuwliiVLPs7q4nyvxmpxRSj377sePgWcW_8Z3yQQs3u7k99JcryZea61sjrR4JJ84EQw67fjxsEVXHVjhM44JTvvtd6nIzs1S8wM-yhzlcGwOkZfOgrEEZZhwB49gJ1RrNzi9_RJc1KktVhLL3oB1q0', 'width': 4224}]",ChIJD-23N4s_sz4RwnDhXk7uKtk,"{'compound_code': 'V2FH+GM Parsi Colony Saddar, Karachi, Pakistan', 'global_code': '7JP9V2FH+GM'}",,4.0,ChIJD-23N4s_sz4RwnDhXk7uKtk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Soldier Bazaar 1, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8680098, 'lng': 67.0358365}, 'viewport': {'northeast': {'lat': 24.8693555802915, 'lng': 67.0371784302915}, 'southwest': {'lat': 24.8666576197085, 'lng': 67.0344804697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Cafe Haqmal Hotel,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109987189240305147458"">New Quetta Cafe Haqmal Hotel</a>'], 'photo_reference': 'AUGGfZkaqgXah7sGubH86nAldD-8_7ah_pXQaECVbbhN0eijhJt5Xp61CwVW7K_zGXsB4peD8KDhS6seXRgWXPjXtEJbyd7k630PI1aDx5QV8xDYAx33_G9wClqd_lP3gLtUtvaokTPXCoUbTbZO2C6lGTQ3Ii60CB-aV3kyeS3uZwmBGIAH', 'width': 1080}]",ChIJeRZwn6E_sz4Ra4i8tj5OuPI,"{'compound_code': 'V29P+68 Lines Area, Karachi, Pakistan', 'global_code': '7JP9V29P+68'}",,5.0,ChIJeRZwn6E_sz4Ra4i8tj5OuPI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"Plot no lcc, 45 Sector, 2/A sector 2/A Lines Area, Karachi",8742e4433ffffff
OPERATIONAL,"{'location': {'lat': 24.8659556, 'lng': 67.0343662}, 'viewport': {'northeast': {'lat': 24.8673296802915, 'lng': 67.0357715802915}, 'southwest': {'lat': 24.8646317197085, 'lng': 67.03307361970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Karachi Abdullah,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106478874496507037760"">Sharjeel ur Rehman</a>'], 'photo_reference': 'AUGGfZl-UK5_1y1myB9pstGUU1J-Zla69XBvdPp6lk3_cNLgcqk6DYH82OWimTKmKIj0bF31ekLbdb1hV74t1wFQp9_o3nkYKAx4d9wlCQlZIHmaiCRIeugzkSGniSi33dsGcKdS8-3d70XWfOb2rAYJiS4V-K-f9qU3RnGFFRnWgELTrYKY', 'width': 1280}]",ChIJCWWzX28-sz4RtDD83oS78lE,,1.0,4.3,ChIJCWWzX28-sz4RtDD83oS78lE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",188.0,"V28M+9PQ, Central Jacob Lines, Karachi",8742e4433ffffff
