business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,plus_code,photos,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.8717884, 'lng': 66.9880605}, 'viewport': {'northeast': {'lat': 24.87312608029151, 'lng': 66.9894185302915}, 'southwest': {'lat': 24.8704281197085, 'lng': 66.98672056970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,bismillah hotal,ChIJZ78F8VYVsz4R_OE8raGFMCg,1.0,ChIJZ78F8VYVsz4R_OE8raGFMCg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"VXCQ+P67, H Road, Bihar Colony Bihar Colony, Karachi",,,,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.87091449999999, 'lng': 66.98556500000001}, 'viewport': {'northeast': {'lat': 24.8722801802915, 'lng': 66.98694613029151}, 'southwest': {'lat': 24.86958221970849, 'lng': 66.98424816970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Redzone Internet Cafe,ChIJ0Q-VO6kVsz4R882apUxFQYE,4.4,ChIJ0Q-VO6kVsz4R882apUxFQYE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",20.0,"Ghanchi Arcade #1 Gosia Road, Agra Taj Colony Hamara Lyari, Karachi",{'open_now': True},"{'compound_code': 'VXCP+96 Hamara Lyari, Karachi, Pakistan', 'global_code': '7JP8VXCP+96'}",,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.8669564, 'lng': 66.9871515}, 'viewport': {'northeast': {'lat': 24.8683066302915, 'lng': 66.9884991302915}, 'southwest': {'lat': 24.8656086697085, 'lng': 66.98580116970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dost Khan hotel,ChIJ4cOFBskVsz4RU7OA44OHmI0,5.0,ChIJ4cOFBskVsz4RU7OA44OHmI0,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.0,"VX8P+QVJ, Hingorabad Road, Darya Abad New Kalri, Karachi",,,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111444841934944416325"">Dost Khan</a>'], 'photo_reference': 'AUGGfZkJt2npi7v7etEdQv_RnT3_L3nliAVgE04w00B1KGdPJuUtkude-Z7fEVfBZH4K77o4eBybP8owZPnUACuOdi3W-7I1XNqaCjIFTLYULYxDJZgvL7ZV372h3jFcj2KSNEBxIs_rPDhBwt1M3jBdrnomnRIO9VvT7o_w4F5thUMa2EsM', 'width': 640}]",,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.8743631, 'lng': 66.9881769}, 'viewport': {'northeast': {'lat': 24.87571198029151, 'lng': 66.98952598029152}, 'southwest': {'lat': 24.8730140197085, 'lng': 66.98682801970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New queta ateeq hotel,ChIJsf54b3MVsz4RhNZCPGu61wo,,ChIJsf54b3MVsz4RhNZCPGu61wo,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"VXFQ+P7V, D Road, Bihar Colony, Karachi",,,,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.8748318, 'lng': 66.98961779999999}, 'viewport': {'northeast': {'lat': 24.8761526802915, 'lng': 66.99093158029149}, 'southwest': {'lat': 24.8734547197085, 'lng': 66.98823361970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Cafe Al Basit,ChIJ5V9aPuQVsz4R83rxzgH8TP4,,ChIJ5V9aPuQVsz4R83rxzgH8TP4,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"VXFQ+WRQ, Tannery Road, Gulistan Colony, Karachi",,,,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.8752131, 'lng': 66.9892588}, 'viewport': {'northeast': {'lat': 24.8765351302915, 'lng': 66.99057028029151}, 'southwest': {'lat': 24.87383716970849, 'lng': 66.98787231970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Amjid Chai,ChIJ8bHQDwAVsz4RDtgLOmyO1Jo,,ChIJ8bHQDwAVsz4RDtgLOmyO1Jo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"VXGQ+3PJ, Tannery Road, Gulistan Gulistan Colony, Karachi",{'open_now': True},,,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.8714301, 'lng': 66.9824193}, 'viewport': {'northeast': {'lat': 24.8727793302915, 'lng': 66.9837926802915}, 'southwest': {'lat': 24.8700813697085, 'lng': 66.9810947197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hotel Al Qadir,ChIJD1OvByMVsz4RXJskKvZY23o,,ChIJD1OvByMVsz4RXJskKvZY23o,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"VXCJ+HXF, Agra Taj Colony Hamara Lyari, Karachi",,,,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.8692405, 'lng': 66.9816088}, 'viewport': {'northeast': {'lat': 24.8705646802915, 'lng': 66.98293938029151}, 'southwest': {'lat': 24.8678667197085, 'lng': 66.9802414197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Al-bilal hotel,ChIJJwfWSfwVsz4RggHGwLgTcE4,4.2,ChIJJwfWSfwVsz4RggHGwLgTcE4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",32.0,"VX9J+MJX, Agra Taj Colony Agra Taj Colony, Karachi",,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101447281701959455863"">Syed Zakria Khan</a>'], 'photo_reference': 'AUGGfZlnI33eZOYxMgFNkjYt3pPyNusSxMNuzCJyiwjt2ZS5-aFGtRSi1uKzbclZMR7SI7_DIY67nZ-rN62X3SJr6okmatg24AKodsSOgJ6QhduJCcdqKn2MoL6hdFv6NOPFzYZh492bAO6nvcrfPSh2FZ4FK5Wr-MREB_AB320WJQOtBwgf', 'width': 3120}]",,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.87396, 'lng': 66.98323789999999}, 'viewport': {'northeast': {'lat': 24.8753949302915, 'lng': 66.98454178029151}, 'southwest': {'lat': 24.8726969697085, 'lng': 66.9818438197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Pakistan hotel,ChIJGb07ZwAVsz4RxSkgwb_C6l0,,ChIJGb07ZwAVsz4RxSkgwb_C6l0,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"VXFM+H7Q, near gazi masjid, Mirza Adam Khan Road, Agra Taj Colony, Karachi",{'open_now': True},,,,8742e4436ffffff
OPERATIONAL,"{'location': {'lat': 24.86385079999999, 'lng': 66.9876013}, 'viewport': {'northeast': {'lat': 24.8651863802915, 'lng': 66.9888998802915}, 'southwest': {'lat': 24.86248841970849, 'lng': 66.98620191970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کویٹہ پاکستان ہوٹل سلام استاد,ChIJ9zwsqNQVsz4RwxvMfrxyCL8,5.0,ChIJ9zwsqNQVsz4RwxvMfrxyCL8,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",1.0,"VX7Q+H28, Naw Abad Niaz Colony, Karachi",,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110789717470731078836"">SUPER BALOCHISTAN MAIZAI GOODS TARNSPORT CO Karachi</a>'], 'photo_reference': 'AUGGfZmyArNOUPf9tFs1Mn-UJqQika6GRxG3zFXqhHJBGzHa3WOv6wESOhU2Kh2CktKYan_DfhWdX4FsCWFG8EnjsJkNyL6GnPFnXVd8_b08Wz9rAVV3mlNQ7uboNiK_XzZwcHK6oqFm2Ud3VL4nz-_U9guX7EWPkNiYEXUfMd9C-tbX2oy-', 'width': 1080}]",,8742e4436ffffff
