business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.9962889, 'lng': 67.07536069999999}, 'viewport': {'northeast': {'lat': 24.9976356802915, 'lng': 67.0766542302915}, 'southwest': {'lat': 24.9949377197085, 'lng': 67.07395626970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Lala Darvaish Quetta Hotel,{'open_now': True},"[{'height': 1315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101226728243382828521"">Hasan Sheikh</a>'], 'photo_reference': 'AUGGfZkALKvLKifwhlo1_f8P0EYrScZIlkxKWbvzM4qRFi4BGmVWmdX4RM6pZGwhd3X5V7r_-bNIboxMoIpm-LBfwn5-A7WUO2k3vpQp0MpWvtPTtpEFIVXls37g2V2CKHb9lCieIgxS8LJQZ-qD0RW_vVx7ge9q5bmIZ0cC6iD7TGJtFCMo', 'width': 1072}]",ChIJv56R8_lBsz4R-HHaD5CVaWc,"{'compound_code': 'X3WG+G4 New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3WG+G4'}",3.5,ChIJv56R8_lBsz4R-HHaD5CVaWc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"158/15 Godhra Road, Sector 5-E Sector 5 E New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9919568, 'lng': 67.0699537}, 'viewport': {'northeast': {'lat': 24.9933069802915, 'lng': 67.0713338802915}, 'southwest': {'lat': 24.9906090197085, 'lng': 67.06863591970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ سخی شیر جان ہوٹل,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110624416331077701970"">Moiz Khan</a>'], 'photo_reference': 'AUGGfZk-ptEfNyWtQJwsoVFodYVrihy1teXWopKnSIUTaQcXQXhtu-DgQGsGx-JF2YFGaNzKhdpcEE2lU50xy_hxpmuD7C4mxPYocxoc7jKoTe5k-xKZSZBLccjcE4GlIIvIwJz8VT8InVAlFQ7vr9Of2tOO-581ayFAW3pigZWCNv2L84N4', 'width': 3000}]",ChIJEb4_s9RBsz4RUKX2tOYGxpY,"{'compound_code': 'X3R9+QX New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3R9+QX'}",4.2,ChIJEb4_s9RBsz4RUKX2tOYGxpY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",25.0,"R 205, Sector 5-L Sector 5 L New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9908587, 'lng': 67.0742287}, 'viewport': {'northeast': {'lat': 24.9921983302915, 'lng': 67.07557823029151}, 'southwest': {'lat': 24.98950036970849, 'lng': 67.07288026970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ المکہ ہوٹل New Quetta Al Makkah Hotel,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114925466424543020582"">Arham Shareef</a>'], 'photo_reference': 'AUGGfZmRXpwxKJkYbaHx237kUvWoq4QbUMseP7iWTxG239cOrtAvjIRCZMAcGvAO6M7AF3mmZws5wfp5fUlUN5ZpYSfAp_Xoc9djcQHmrFguz7yhU2w02NDpgjzzP8p3dOo4xItvA68pYgIuEf6teamB_UBx1m8mpzyzPqMWO7F1z-6dkBHg', 'width': 1856}]",ChIJq-_hjdZBsz4RRq_tNUN7stw,,4.7,ChIJq-_hjdZBsz4RRq_tNUN7stw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"X3RF+8MX, Unnamed Road, Sector 5-E Sector 5 E New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9965108, 'lng': 67.0766877}, 'viewport': {'northeast': {'lat': 24.9978711302915, 'lng': 67.07803618029149}, 'southwest': {'lat': 24.9951731697085, 'lng': 67.07533821970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Queta Kakar Hotel,{'open_now': True},,ChIJXYS2onFBsz4RfqRQRq26n_I,,,ChIJXYS2onFBsz4RfqRQRq26n_I,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"X3WG+JM4, Sector 5-E Sector 5 E New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9912199, 'lng': 67.07698979999999}, 'viewport': {'northeast': {'lat': 24.9925709802915, 'lng': 67.07837463029149}, 'southwest': {'lat': 24.9898730197085, 'lng': 67.07567666970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ مدینہ پیالہ ہوٹل,,,ChIJJ9BIU45Bsz4R_Iep6kJzDVc,,2.7,ChIJJ9BIU45Bsz4R_Iep6kJzDVc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"X3RG+GQ3, Sector 5-E Sector 5 E New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9982905, 'lng': 67.0694616}, 'viewport': {'northeast': {'lat': 24.9997138302915, 'lng': 67.07080468029152}, 'southwest': {'lat': 24.99701586970849, 'lng': 67.0681067197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Queta hotel,,,ChIJ9y0NFnZBsz4Rdx9sYAnEdOk,"{'compound_code': 'X3X9+8Q New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3X9+8Q'}",,ChIJ9y0NFnZBsz4Rdx9sYAnEdOk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Sehar Centre, Sector 5M Sector 5 M New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9968714, 'lng': 67.0783433}, 'viewport': {'northeast': {'lat': 24.9981825302915, 'lng': 67.0796947802915}, 'southwest': {'lat': 24.9954845697085, 'lng': 67.0769968197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ شاہ جی ہوٹل,,,ChIJeTi_mMVBsz4R8PQBH2-Adm4,,,ChIJeTi_mMVBsz4R8PQBH2-Adm4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"X3WH+Q94, Sector 5 F New Karachi Town, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9928083, 'lng': 67.065916}, 'viewport': {'northeast': {'lat': 24.9942209302915, 'lng': 67.0672604302915}, 'southwest': {'lat': 24.9915229697085, 'lng': 67.06456246970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta SubhanAllah Hotel,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107507911053348741029"">Agha Mohsin</a>'], 'photo_reference': 'AUGGfZkiSIBG1LxSeW4M6Wqml7XcyHa_i-Tzc56ND9msgbaGfEtK45_YN7IB41OVvjJ629mMzEQ2VjnTjIekGTEh6N6GFExZpmq_poL4mDVOBodVq-0TD7Blj879co54D-w2XsnMya1zj1vV5EP4aRqnFDlFreKVYkw0-xshwcqs_BzSRTPY', 'width': 1080}]",ChIJUaxq9R5Bsz4RnOGY2rGrrEg,"{'compound_code': 'X3V8+49 New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3V8+49'}",4.3,ChIJUaxq9R5Bsz4RnOGY2rGrrEg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",160.0,"140/11 Service Road, Sector 5 L New Karachi Town, Karachi",1.0,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9883153, 'lng': 67.0701246}, 'viewport': {'northeast': {'lat': 24.9896068802915, 'lng': 67.07147723029149}, 'southwest': {'lat': 24.98690891970849, 'lng': 67.06877926970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Tea Time Hotel,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104638519915799987411"">Asad Ahmed</a>'], 'photo_reference': 'AUGGfZnhcaHpte90S2Lb2HfOhGvcP_TafLKiuz0fLD5qMRwrxO1boZJXbP2cSu9RCmrSP7miF-9kwQ4w1QuDOa7engR02_5BVnn6rDOp-TF8Bjg-BHeZJuxZO0RuSmBiKX3y98belfWwdvohBStASUnUSqM15HT9doZQzQpetAQjU8vlFkJk', 'width': 680}]",ChIJu9X5KrVBsz4R_FbKrXrsZao,,3.7,ChIJu9X5KrVBsz4R_FbKrXrsZao,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",10.0,"X3QC+82H, Sector 5-L Sector 5 L North Karachi Township, Karachi",,8742e4551ffffff
OPERATIONAL,"{'location': {'lat': 24.9928515, 'lng': 67.0658034}, 'viewport': {'northeast': {'lat': 24.9942393302915, 'lng': 67.0671496302915}, 'southwest': {'lat': 24.9915413697085, 'lng': 67.06445166970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Haji Agha Hotel,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101271784342292247782"">Muhammad Hummayou</a>'], 'photo_reference': 'AUGGfZkRD5W01ap9ZX5ftCcSl4nHdyJzu3azFHJpr3llNhPyqsfNiPs2ggb5a2vTEM-isr7FEq36DqQZEM3ENe_VagCnfvtG1AQoNh2dPxbZvhiMwB426QeTQrFulRnRNh2BykM1zhysWgdK0GK_wIYykmEsngx2PQu2hJZUSpWELzag4bOy', 'width': 1080}]",ChIJiQKBNLlBsz4R0FF3ACuWcQU,"{'compound_code': 'X3V8+48 New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3V8+48'}",,ChIJiQKBNLlBsz4R0FF3ACuWcQU,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"Saima Blessing, Sector 5-K Sector 5 L New Karachi Town, Karachi",,8742e4551ffffff
