business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 24.96506249999999, 'lng': 67.05381249999999}, 'viewport': {'northeast': {'lat': 24.9664064802915, 'lng': 67.05511308029149}, 'southwest': {'lat': 24.9637085197085, 'lng': 67.05241511970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Habibia Hotel,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109004298123029281386"">Ali Bhai</a>'], 'photo_reference': 'AUGGfZkGZVC-bGfa00POSRJzp3e8lmbDmUifh5XhkA3x6QYdNG5DKe93xY4MYDwRCmj2RWA85ChJqawWb5bCubXlaf8BYG5SIW7SGkyhCWz9UMxuEneykXg6R22Jve-Q6c5Crpf8KudV0nMXI922Ko3rO0uE3aYmnCaxnGUc42SaATZepOiN', 'width': 2604}]",ChIJsy07MsZBsz4RcdADQXs6Txo,"{'compound_code': 'X383+2G North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X383+2G'}",4.1,ChIJsy07MsZBsz4RcdADQXs6Txo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",28.0,"X383+2GH Anda more, Sector 10 North Karachi Township, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9668274, 'lng': 67.052519}, 'viewport': {'northeast': {'lat': 24.96813078029151, 'lng': 67.0538741302915}, 'southwest': {'lat': 24.9654328197085, 'lng': 67.05117616970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Bismillah Hotel,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116378265504740635679"">Luqman Ali.Solangi</a>'], 'photo_reference': 'AUGGfZl-WZCGa4SURq9ZTYm1PMQ30bhFCZ891cztFuXXr6ltIfYgjy22UQ_4wQRBf3xgyLNql_FKpDoleAlk-V46v0btwvskFmh-d6Mr7FgS1g2sDf_YB3csb9lpAE8JzxTpU9YE6Yf7qFvHvUMkOr2AtZUGrGgxAGf0dS84yXFxfQzehsJk', 'width': 3000}]",ChIJ04e2vVZBsz4RRJmNQcogzAw,,4.2,ChIJ04e2vVZBsz4RRJmNQcogzAw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",92.0,"X383+P2J, Sector 7 D North Karachi Township, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9609431, 'lng': 67.0486815}, 'viewport': {'northeast': {'lat': 24.9622059302915, 'lng': 67.04995248029151}, 'southwest': {'lat': 24.9595079697085, 'lng': 67.0472545197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,النافع پیالھ ھوٹل,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117879913392887789084"">Arif kakar</a>'], 'photo_reference': 'AUGGfZkD6gzGG3yCQ3xqY-d_vPQqcJHQRFK1wx8-n5xdgX4y05d19VW-iMBx8OsI5NxCAtYp7_GzAaXOYcEpHX38TShK_xhWzi6EqnPN-I5XKUjU4YdptYs9D-H9Wverfeg5A02bEPlzlOzZD6KLt4XS8iByfSfvC6RqUHk6Raa8gSe9AgaO', 'width': 1920}]",ChIJM84rvFdBsz4RKz2xLl1cbrM,"{'compound_code': 'X26X+9F Shadman Town, Karachi, Pakistan', 'global_code': '7JP9X26X+9F'}",4.0,ChIJM84rvFdBsz4RKz2xLl1cbrM,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",5.0,"Plot R 233, Sector 14A Sector 14 A Shadman Town, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9596974, 'lng': 67.05024929999999}, 'viewport': {'northeast': {'lat': 24.9610173302915, 'lng': 67.05160038029152}, 'southwest': {'lat': 24.9583193697085, 'lng': 67.0489024197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,quetta bilal hotelکوئٹہ بلال ہوٹل,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112655139037349093532"">muhammad shakeel</a>'], 'photo_reference': 'AUGGfZnBjSSQYMU0pZLx4luvfLgs7Y3h-2LGpEWvqHniTjIntmrUjK5IEpzqKejtKnnF7ZVWbHXgc4lginyLqbbthfo4EXW8XlmwzptumJHOnZUz1gs8nQNGcCEWI6eoKGHyZD-0HTRfEcYMWMG9S8m3Tlo4zVgi1fgLscyVjW1yFK9xZq3x', 'width': 1080}]",ChIJpdNdxLtBsz4RTqkrdWYyEmo,,4.2,ChIJpdNdxLtBsz4RTqkrdWYyEmo,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",5.0,"X352+V3H, Sector 14A Sector 14 A North Karachi Township, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9645521, 'lng': 67.0563746}, 'viewport': {'northeast': {'lat': 24.9658313302915, 'lng': 67.0577249302915}, 'southwest': {'lat': 24.9631333697085, 'lng': 67.05502696970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,O2 Sheesha,{'open_now': False},"[{'height': 834, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110580788029514305727"">xia Ali</a>'], 'photo_reference': 'AUGGfZma4wpZZQflQyqOr2hltfdw2WumPoNiJnbwnTDjfta5gkruNHyik0L6hBvNSxrH6cYgw25b9itd36_eYLaTwWHawk8xyYo15oRl_oE5ElAnAxok0MqZWYUo4ztvgB5YB9zkbItE2LpjlYDytE3SjGiSNPWAglWyY3iS6SySHggAurWJ', 'width': 1242}]",ChIJgWiFPY1Asz4RsX52hX33DVE,"{'compound_code': 'X374+RG Shadman Town, Karachi, Pakistan', 'global_code': '7JP9X374+RG'}",3.8,ChIJgWiFPY1Asz4RsX52hX33DVE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",84.0,"E-27 Anda Mor Road, Sector 14 B Shadman Town, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9651824, 'lng': 67.0565859}, 'viewport': {'northeast': {'lat': 24.9665273302915, 'lng': 67.0578677802915}, 'southwest': {'lat': 24.9638293697085, 'lng': 67.0551698197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Al-Rozi Hotel,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108763578370439285646"">imzeeshankhan</a>'], 'photo_reference': 'AUGGfZl5KIsa_8ETgMKn2Xbkm2rNAlvFYXEWmXCzhs6_Y0uCrIE9ABaZKnW0dkc6N-xcBsmp0BSbvVNnnz1ydkXYz1L0wRdGAUkMB3orLEbm59aTUxwH8vvvpjvp11pol7pwMVSdnWrs2PqvfUC82_SG9H_2T_p6jX6sHhiVWPE78pEV_sF4', 'width': 2448}]",ChIJgyJWauxBsz4RrRBolB6M1S8,,4.4,ChIJgyJWauxBsz4RrRBolB6M1S8,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",26.0,"X384+4J8, Sector 11 C 3 North Karachi Township, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9660028, 'lng': 67.0566506}, 'viewport': {'northeast': {'lat': 24.9672796302915, 'lng': 67.0580065302915}, 'southwest': {'lat': 24.9645816697085, 'lng': 67.05530856970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,ATS Hospital Cafeteria,{'open_now': True},"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108680970356431852133"">Haris Ahmed</a>'], 'photo_reference': 'AUGGfZl2aoSp74iWNEjUa-mrb0qZCAPnSKBer51gCS5SXye83wCbla8QIDb6w-4N2dZvVHvxAgCFy8I0NpnpZsd7jpfPBL1zK038mZGGg-2oVcJgEH628Zavh2zayPAIYXDXXOreQPtKvaKqguQe5R0d2qc1lYBSiXP3UTieyQBaYT8PB2as', 'width': 4624}]",ChIJxYiyzzZBsz4R3yU--HIdxU8,"{'compound_code': 'X384+CM North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X384+CM'}",3.7,ChIJxYiyzzZBsz4R3yU--HIdxU8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",312.0,"Sector 11 C 3 North Karachi Twp, Karachi, Karachi City, Sindh, Sector 11-C-3 Sector 11 C 3 North Karachi Township, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.9639274, 'lng': 67.05781809999999}, 'viewport': {'northeast': {'lat': 24.9653358802915, 'lng': 67.0591615802915}, 'southwest': {'lat': 24.9626379197085, 'lng': 67.0564636197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chai hotel,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110624416331077701970"">Moiz Khan</a>'], 'photo_reference': 'AUGGfZm9StszJeYmz-ZEGBfYk2tff0NngyVhMCnx-L2lPgOvBgkU7lfF4DPTdLGIv8WQpq1wSddFSFo--nGcCPZtyxuEUfui6Tu0eD0s_dpX75aFSAJLUKE_g0d7mv_dO4e8yXOxZuNVQFYGM3Z7EdO4qrFLYTuiupS96ycfawoy507nhXeN', 'width': 3000}]",ChIJTe7iZIBBsz4R8emIwQ4AbD0,,4.5,ChIJTe7iZIBBsz4R8emIwQ4AbD0,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"X375+H4G, Street Number 9, Shadman Town Sector 14 A Shadman Town, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.96014439999999, 'lng': 67.045681}, 'viewport': {'northeast': {'lat': 24.96148193029151, 'lng': 67.04702563029151}, 'southwest': {'lat': 24.9587839697085, 'lng': 67.0443276697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Laghari Gali,,,ChIJ7xIPCQBBsz4RcKEHukNVWqs,,5.0,ChIJ7xIPCQBBsz4RcKEHukNVWqs,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"X26W+373, Mustafabad Khalilabad, Karachi",8742e4552ffffff
OPERATIONAL,"{'location': {'lat': 24.96852699999999, 'lng': 67.05678979999999}, 'viewport': {'northeast': {'lat': 24.9698755302915, 'lng': 67.05813888029151}, 'southwest': {'lat': 24.9671775697085, 'lng': 67.0554409197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Sam Frost,,,ChIJ82nisnBBsz4R6YnHpoSeeDk,"{'compound_code': 'X394+CP North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X394+CP'}",4.4,ChIJ82nisnBBsz4R6YnHpoSeeDk,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",7.0,"Plot R, 361, Sector 11-C-3 Sector 11 C 3 North Karachi Township, Karachi",8742e4552ffffff
