business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,opening_hours,price_level,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.97236539999999, 'lng': 67.0716837}, 'viewport': {'northeast': {'lat': 24.9737131302915, 'lng': 67.07300218029151}, 'southwest': {'lat': 24.9710151697085, 'lng': 67.0703042197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ گلشیر آغا ہوٹل,"[{'height': 3395, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101226728243382828521"">Hasan Sheikh</a>'], 'photo_reference': 'AUGGfZlzwAq9ff2rlsspz_uJFhb3LkTjSzfaTOjJHwXswEE6z38Y363rx_Rwqy5tmSgdbglIgyusNxltaqrms4m3D88uNaB7LPdQqEyCjB1Mm-5uC362bmEBMx6oflIB5EC-YFn8QW_3I3vVl7XtfdcXefqUewHjwgJZoXUci0sdbuj8WVDz', 'width': 2447}]",ChIJowsApWFBsz4RqY6oLCOlDqM,3.7,ChIJowsApWFBsz4RqY6oLCOlDqM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",32.0,"X3CC+WMV, Sector-11-E Sector 11 E North Karachi Township, Karachi",,,,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.97239829999999, 'lng': 67.071608}, 'viewport': {'northeast': {'lat': 24.9737489302915, 'lng': 67.0729960302915}, 'southwest': {'lat': 24.97105096970849, 'lng': 67.0702980697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bismillah Cafe,,ChIJyR3hwMFAsz4RhuW4iFEctCM,5.0,ChIJyR3hwMFAsz4RhuW4iFEctCM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,Pakistan,"{'compound_code': 'X3CC+XJ North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3CC+XJ'}",,,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.976263, 'lng': 67.0720262}, 'viewport': {'northeast': {'lat': 24.9776126802915, 'lng': 67.07338473029151}, 'southwest': {'lat': 24.9749147197085, 'lng': 67.0706867697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Al Rahim Hotel,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114336043150262365886"">basheer khan</a>'], 'photo_reference': 'AUGGfZkBdoagRlqki1ITlS79X9etTD7pdBDdp-SzNWl52eIiGR17ptfTlpYlnMfB7aDCL2UpIY9yqTkszaVETCdX2PluVGQGEtZ-Ehys4P_MGSuNBVVg1v9RDob6nSVvR8tf1zA_RN8wq0vkPO6_Nnv8K5liUyQBdnFGgMo_roMp2DgJjog3', 'width': 4608}]",ChIJq2-VaqxBsz4RBF-rYnEvJYU,4.4,ChIJq2-VaqxBsz4RBF-rYnEvJYU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",21.0,"X3GC+GR2, Unnamed Road, Sector 11-J Sector 11 J North Karachi Township, Karachi",,{'open_now': True},,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.9718206, 'lng': 67.07636219999999}, 'viewport': {'northeast': {'lat': 24.9731295302915, 'lng': 67.0777137302915}, 'southwest': {'lat': 24.9704315697085, 'lng': 67.07501576970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sajan Pan Shop,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104171825222710840096"">Fiza Yaseen</a>'], 'photo_reference': 'AUGGfZnmQMNWb2I0w217Uhj97Qhuee7zqXGlX09g5zrSgjdWlC0urnslK3_v21ekUNG7MCuNFXdlYiyLr7RxiUGU2NINTbocDDAJBy9V5p2eY_AP2x_Cgul0ir8j02tdDgKi-FuLxug-gY3quW9DttzZLar_kfHGc0tS-7Xiz1MyquBJnigS', 'width': 3456}]",ChIJraASK8dAsz4R3Od5TugbGs4,4.4,ChIJraASK8dAsz4R3Od5TugbGs4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",18.0,"X3CG+PGH, Sector-11-E Sector 11 E North Karachi Township, Karachi",,{'open_now': True},,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.96893889999999, 'lng': 67.0717769}, 'viewport': {'northeast': {'lat': 24.9702858802915, 'lng': 67.0730935302915}, 'southwest': {'lat': 24.9675879197085, 'lng': 67.0703955697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Owais Cafe,,ChIJb6EmgMNBsz4RAT54oi01u0A,,ChIJb6EmgMNBsz4RAT54oi01u0A,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"X39C+HMV, Unnamed Road, Sector-11-E Sector 11 E North Karachi Township, Karachi",,,,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.9728001, 'lng': 67.0786531}, 'viewport': {'northeast': {'lat': 24.97418693029151, 'lng': 67.0799987802915}, 'southwest': {'lat': 24.9714889697085, 'lng': 67.0773008197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Tea shop,,ChIJ9YcYsw1Bsz4RSOzCZWrFRS4,4.6,ChIJ9YcYsw1Bsz4RSOzCZWrFRS4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,"X3FH+4FC, Sector-11-E Sector 11 E North Karachi Township, Karachi",,{'open_now': True},,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.9720851, 'lng': 67.0669772}, 'viewport': {'northeast': {'lat': 24.9734343302915, 'lng': 67.0683314802915}, 'southwest': {'lat': 24.97073636970849, 'lng': 67.0656335197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Gulshare Agha Hotel,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104145124050791070292"">tanveer mehmood</a>'], 'photo_reference': 'AUGGfZnwKcwkm3Nlj0R_WHtMKBSRvJ3xB8TvEqaPN534PpL1-xUUQRRBMwos-Bpct9jRhyngHPX55Z5qhTI91FjZJ0E-vM99xM_g5ORRNADZyIaGSTwrppM8fHmMRYrkSQ0gorvyVgMs-oSL1lbYAVgb9JVuURQfBnENpBj9WENPDFkVgeGn', 'width': 4640}]",ChIJz6bTy-tAsz4RprM2F9-Lgl4,4.0,ChIJz6bTy-tAsz4RprM2F9-Lgl4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",203.0,"Shahrah-e-Usman, Sector 11H, North Karachi, Karachi, Sindh","{'compound_code': 'X3C8+RQ North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3C8+RQ'}",{'open_now': True},1.0,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.9720395, 'lng': 67.0669846}, 'viewport': {'northeast': {'lat': 24.9733885302915, 'lng': 67.06833328029151}, 'southwest': {'lat': 24.9706905697085, 'lng': 67.06563531970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bismillah Kachori Corner بسمہ اللہ کچوری کارنر,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104145124050791070292"">tanveer mehmood</a>'], 'photo_reference': 'AUGGfZk4lEIIGueQ_5FJz7gl2i4-8m_Xt2JnEtZDDLyc7D57gdyq7v1aFEBlBs6rAEuu6IfnXtLe3i6FjqrR9e6GJ8hjCUyCeToDMFp4Syn4L-js_XKplsIyJQ2FNmh-RS8T-Y5_TkSENUsh7kVywhqObaRln_btY-xpBqonm5OL-Emx3zx4', 'width': 4640}]",ChIJ5fMbyetAsz4R93-VBL4Y9AY,4.1,ChIJ5fMbyetAsz4R93-VBL4Y9AY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,"X3C8+RQ9, Shahrah-e-Usman, Sector-11-E Sector 11 E North Karachi Township, Karachi",,{'open_now': True},,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.9765973, 'lng': 67.0790913}, 'viewport': {'northeast': {'lat': 24.97794548029151, 'lng': 67.08042468029151}, 'southwest': {'lat': 24.9752475197085, 'lng': 67.0777267197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Allah Akbar hotal,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100602531563046148012"">zafar ahmed</a>'], 'photo_reference': 'AUGGfZmezUY5ztJVjSimsnR8hSgY7U8dcU5TO7xE0nKdUi3QHM_pjw6exDXrt44wSqmzVNKTHmiBXqbir_ZlklMBlnbsKB6Is0qsjGgJppw72IOe0iYj1dlP1-oyprLVra4Hi8a3BCncpYA6h5RKWRehu5HuPycWUkqP-PdlUpKT_a8R5lGF', 'width': 1080}]",ChIJB4gsG2NBsz4RT7_-M-sN0Jc,5.0,ChIJB4gsG2NBsz4RT7_-M-sN0Jc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"115 1, Sector 11-G Sector 11 G New Karachi Town, Karachi","{'compound_code': 'X3GH+JJ New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3GH+JJ'}",{'open_now': True},,,8742e4553ffffff
OPERATIONAL,"{'location': {'lat': 24.9707081, 'lng': 67.0796258}, 'viewport': {'northeast': {'lat': 24.9720921302915, 'lng': 67.0809730802915}, 'southwest': {'lat': 24.9693941697085, 'lng': 67.0782751197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Queeta marhaba hotal,,ChIJ9SV-wR5Bsz4RM6O3ml8mWMc,,ChIJ9SV-wR5Bsz4RM6O3ml8mWMc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"11f Godhra Road, Sector 11 G North Karachi Township, Karachi","{'compound_code': 'X3CH+7V North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3CH+7V'}",,,,8742e4553ffffff
